SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024226N24137,2024,42,AMPIL,2024-08-13 00:00:00,24.5,138.2, ,993.6738891601562,24.5,138.0,997.2374877929688,24.5,138.0
2024226N24137,2024,42,AMPIL,2024-08-13 03:00:00,24.8,138.3, ,,24.8,138.3,997.2374877929688,24.5,138.0
2024226N24137,2024,42,AMPIL,2024-08-13 06:00:00,25.1,138.5, ,989.6099853515625,24.5,138.25,993.5613403320312,25.0,138.5
2024226N24137,2024,42,AMPIL,2024-08-13 09:00:00,25.3,138.7, ,,25.3,138.7,993.5613403320312,25.0,138.5
2024226N24137,2024,42,AMPIL,2024-08-13 12:00:00,25.5,138.9, ,985.73583984375,24.5,138.25,992.8340454101562,25.5,139.0
2024226N24137,2024,42,AMPIL,2024-08-13 15:00:00,25.5,139.2, ,,25.5,139.2,992.8340454101562,25.5,139.0
2024226N24137,2024,42,AMPIL,2024-08-13 18:00:00,25.6,139.5, ,981.7667846679688,24.5,138.25,989.2622680664062,26.0,139.5
2024226N24137,2024,42,AMPIL,2024-08-13 21:00:00,25.7,139.9, ,,25.7,139.9,989.2622680664062,26.0,139.5
2024226N24137,2024,42,AMPIL,2024-08-14 00:00:00,26.0,140.2, ,977.9874877929688,24.5,138.25,988.4805297851562,26.5,139.5
2024226N24137,2024,42,AMPIL,2024-08-14 03:00:00,26.4,140.5, ,,26.4,140.5,988.4805297851562,26.5,139.5
2024226N24137,2024,42,AMPIL,2024-08-14 06:00:00,26.9,140.7, ,974.1133422851562,24.5,138.25,984.626953125,27.0,140.0
2024226N24137,2024,42,AMPIL,2024-08-14 09:00:00,27.3,140.9, ,,27.3,140.9,984.626953125,27.0,140.0
2024226N24137,2024,42,AMPIL,2024-08-14 12:00:00,27.6,141.1, ,970.5079956054688,24.5,138.25,981.3057250976562,27.5,140.5
2024226N24137,2024,42,AMPIL,2024-08-14 15:00:00,28.0,141.2, ,,28.0,141.2,981.3057250976562,27.5,140.5
2024226N24137,2024,42,AMPIL,2024-08-14 18:00:00,28.4,141.3, ,966.8077392578125,24.5,138.25,978.47314453125,28.5,140.5
2024226N24137,2024,42,AMPIL,2024-08-14 21:00:00,29.0,141.3, ,,29.0,141.3,978.47314453125,28.5,140.5
2024226N24137,2024,42,AMPIL,2024-08-15 00:00:00,29.7,141.2, ,976.2322387695312,24.5,136.25,979.9166259765625,29.0,141.0
2024226N27150,2024,43,WUKONG,2024-08-13 00:00:00,26.9,150.2, ,1001.6832275390625,32.75,148.25,1006.8900146484375,27.0,150.0
2024226N27150,2024,43,WUKONG,2024-08-13 03:00:00,27.2,150.3, ,,27.2,150.3,1006.8900146484375,27.0,150.0
2024226N27150,2024,43,WUKONG,2024-08-13 06:00:00,27.6,150.3, ,996.5677490234375,33.5,148.75,1005.8213500976562,27.5,150.0
2024226N27150,2024,43,WUKONG,2024-08-13 09:00:00,27.9,150.1, ,,27.9,150.1,1005.8213500976562,27.5,150.0
2024226N27150,2024,43,WUKONG,2024-08-13 12:00:00,28.1,149.8, ,992.2507934570312,34.0,148.5,1007.7115478515625,28.5,149.5
2024226N27150,2024,43,WUKONG,2024-08-13 15:00:00,27.9,149.6, ,,27.9,149.6,1007.7115478515625,28.5,149.5
2024226N27150,2024,43,WUKONG,2024-08-13 18:00:00,27.8,149.3, ,988.6453857421875,33.75,148.75,1005.8172607421875,26.5,143.5
2024226N27150,2024,43,WUKONG,2024-08-13 21:00:00,28.2,149.0, ,,28.2,149.0,1004.8472900390625,26.5,143.0
2024226N27150,2024,43,WUKONG,2024-08-14 00:00:00,28.9,148.6, ,983.806640625,34.5,148.5,1005.5830688476562,26.5,143.0
2024226N27150,2024,43,WUKONG,2024-08-14 03:00:00,29.7,148.3, ,,29.7,148.3,1004.1055297851562,26.5,142.5
2024226N27150,2024,43,WUKONG,2024-08-14 06:00:00,30.6,148.0, ,979.9324951171875,34.5,148.5,1000.846923828125,27.0,142.0
2024226N27150,2024,43,WUKONG,2024-08-14 09:00:00,31.2,147.7, ,,31.2,147.7,1000.846923828125,27.0,142.0
2024226N27150,2024,43,WUKONG,2024-08-14 12:00:00,31.9,147.4, ,976.3270874023438,34.5,148.5,994.9982299804688,27.5,141.5
2024226N27150,2024,43,WUKONG,2024-08-14 15:00:00,33.1,147.1, ,,33.1,147.1,994.9982299804688,27.5,141.5
2024226N27150,2024,43,WUKONG,2024-08-14 18:00:00,34.3,146.9, ,972.626953125,34.5,148.5,981.6781005859375,28.5,141.0
2024226N27150,2024,43,WUKONG,2024-08-14 21:00:00,35.2,146.7, ,,35.2,146.7,995.6881103515625,29.5,141.0
2024226N27150,2024,43,WUKONG,2024-08-15 00:00:00,36.0,146.5, ,969.1480712890625,42.0,140.5,991.0291137695312,30.0,140.5
