SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022180N15117,2022,38,CHABA,2022-06-29 00:00:00,15.1,116.3,998,997.010498046875,14.5,118.0,1000.2379150390625,16.0,116.5
2022180N15117,2022,38,CHABA,2022-06-29 03:00:00,15.3,116.1, ,,15.3,116.1,1000.2379150390625,16.0,116.5
2022180N15117,2022,38,CHABA,2022-06-29 06:00:00,15.4,116.0,998,992.8990478515625,14.5,118.25,998.378173828125,16.5,116.5
2022180N15117,2022,38,CHABA,2022-06-29 09:00:00,15.5,115.9, ,,15.5,115.9,998.378173828125,16.5,116.5
2022180N15117,2022,38,CHABA,2022-06-29 12:00:00,15.5,115.8,998,989.0091552734375,14.5,118.25,998.347900390625,17.0,115.5
2022180N15117,2022,38,CHABA,2022-06-29 15:00:00,15.6,115.6, ,,15.6,115.6,998.347900390625,17.0,115.5
2022180N15117,2022,38,CHABA,2022-06-29 18:00:00,15.6,115.5,998,985.0084228515625,14.5,118.25,997.6531982421875,16.5,115.5
2022180N15117,2022,38,CHABA,2022-06-29 21:00:00,15.7,115.5, ,,15.7,115.5,997.6531982421875,16.5,115.5
2022180N15117,2022,38,CHABA,2022-06-30 00:00:00,15.8,115.4,994,981.21337890625,14.5,118.25,997.4517211914062,17.0,115.5
2022180N15117,2022,38,CHABA,2022-06-30 03:00:00,16.0,115.4, ,,16.0,115.4,997.4517211914062,17.0,115.5
2022180N15117,2022,38,CHABA,2022-06-30 06:00:00,16.1,115.4,992,977.3233642578125,14.5,118.25,996.3165893554688,17.0,115.5
2022180N15117,2022,38,CHABA,2022-06-30 09:00:00,16.5,115.3, ,,16.5,115.3,996.3165893554688,17.0,115.5
2022180N15117,2022,38,CHABA,2022-06-30 12:00:00,17.0,115.1,990,973.7022094726562,14.5,118.25,996.0406494140625,18.5,115.5
2022180N15117,2022,38,CHABA,2022-06-30 15:00:00,17.2,114.9, ,,17.2,114.9,996.0406494140625,18.5,115.5
2022180N15117,2022,38,CHABA,2022-06-30 18:00:00,17.5,114.7,985,970.001953125,14.5,118.25,995.6964721679688,19.0,115.0
2022180N15117,2022,38,CHABA,2022-06-30 21:00:00,17.9,114.4, ,,17.9,114.4,995.6964721679688,19.0,115.0
2022180N15117,2022,38,CHABA,2022-07-01 00:00:00,18.3,114.1,980,966.1752319335938,20.5,108.25,995.7734985351562,19.5,114.0
2022180N15117,2022,38,CHABA,2022-07-01 03:00:00,18.6,113.7, ,,18.6,113.7,995.7734985351562,19.5,114.0
2022180N15117,2022,38,CHABA,2022-07-01 06:00:00,18.9,113.2,980,962.6015014648438,20.5,108.25,994.0426635742188,19.5,114.5
2022180N15117,2022,38,CHABA,2022-07-01 09:00:00,19.1,113.0, ,,19.1,113.0,994.0426635742188,19.5,114.5
2022180N15117,2022,38,CHABA,2022-07-01 12:00:00,19.4,112.7,975,959.28076171875,20.5,108.25,993.4027099609375,20.0,113.5
2022180N15117,2022,38,CHABA,2022-07-01 15:00:00,19.8,112.4, ,,19.8,112.4,993.4027099609375,20.0,113.5
2022180N15117,2022,38,CHABA,2022-07-01 18:00:00,20.1,112.1,970,954.821533203125,20.5,106.25,992.8486938476562,20.0,112.5
2022180N15117,2022,38,CHABA,2022-07-01 21:00:00,20.3,111.9, ,,20.3,111.9,992.8486938476562,20.0,112.5
2022180N15117,2022,38,CHABA,2022-07-01 22:00:00,20.4,111.8, ,,20.4,111.8,992.6968994140625,20.0,112.0
2022180N15117,2022,38,CHABA,2022-07-01 23:00:00,20.5,111.8, ,,20.5,111.8,992.6968994140625,20.0,112.0
2022180N15117,2022,38,CHABA,2022-07-02 00:00:00,20.6,111.7,965,951.6273193359375,20.5,106.25,992.6968994140625,20.0,112.0
2022180N15117,2022,38,CHABA,2022-07-02 01:00:00,20.7,111.6, ,,20.7,111.6,992.6968994140625,20.0,112.0
2022180N15117,2022,38,CHABA,2022-07-02 02:00:00,20.8,111.6, ,,20.8,111.6,992.6968994140625,20.0,112.0
2022180N15117,2022,38,CHABA,2022-07-02 03:00:00,20.9,111.5, ,,20.9,111.5,992.6968994140625,20.0,112.0
2022180N15117,2022,38,CHABA,2022-07-02 06:00:00,21.2,111.2,965,948.369873046875,20.5,106.25,990.0283813476562,20.5,112.5
2022180N15117,2022,38,CHABA,2022-07-02 09:00:00,21.5,111.0, ,,21.5,111.0,990.0283813476562,20.5,112.5
2022180N15117,2022,38,CHABA,2022-07-02 12:00:00,21.9,110.8,980,945.3654174804688,20.5,106.25,990.931396484375,21.5,111.0
