SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021248N11131,2021,71,CONSON,2021-09-05 06:00:00,10.3,130.3,1006,,10.3,130.3,1008.5949096679688,10.5,129.0
2021248N11131,2021,71,CONSON,2021-09-05 09:00:00,10.2,129.9, ,,10.2,129.9,1008.5949096679688,10.5,129.0
2021248N11131,2021,71,CONSON,2021-09-05 12:00:00,10.1,129.5,1006,1002.9640502929688,10.75,132.25,1008.5949096679688,10.5,129.0
2021248N11131,2021,71,CONSON,2021-09-05 15:00:00,10.0,129.1, ,,10.0,129.1,1008.5949096679688,10.5,129.0
2021248N11131,2021,71,CONSON,2021-09-05 18:00:00,10.0,128.6,1004,998.8052368164062,10.5,132.25,1004.810791015625,10.5,129.5
2021248N11131,2021,71,CONSON,2021-09-05 21:00:00,10.1,128.2, ,,10.1,128.2,1004.810791015625,10.5,129.5
2021248N11131,2021,71,CONSON,2021-09-06 00:00:00,10.3,127.8,1002,994.9547729492188,10.5,130.25,1006.9503173828125,11.0,129.0
2021248N11131,2021,71,CONSON,2021-09-06 03:00:00,10.5,127.3, ,,10.5,127.3,1006.9503173828125,11.0,129.0
2021248N11131,2021,71,CONSON,2021-09-06 06:00:00,10.8,126.8,998,990.890869140625,10.5,130.25,1003.836181640625,11.5,128.0
2021248N11131,2021,71,CONSON,2021-09-06 09:00:00,11.0,126.4, ,,11.0,126.4,1003.836181640625,11.5,128.0
2021248N11131,2021,71,CONSON,2021-09-06 12:00:00,11.2,126.0,994,987.4436645507812,10.5,126.25,1004.0855712890625,11.5,127.5
2021248N11131,2021,71,CONSON,2021-09-06 15:00:00,11.4,125.5, ,,11.4,125.5,1004.0855712890625,11.5,127.5
2021248N11131,2021,71,CONSON,2021-09-06 18:00:00,11.6,124.9,994,983.5536499023438,10.5,126.25,1001.8554077148438,12.0,127.0
2021248N11131,2021,71,CONSON,2021-09-06 21:00:00,11.8,124.6, ,,11.8,124.6,1001.8554077148438,12.0,127.0
2021248N11131,2021,71,CONSON,2021-09-07 00:00:00,12.0,124.2,998,979.8692016601562,10.5,126.25,1003.90771484375,13.0,126.5
2021248N11131,2021,71,CONSON,2021-09-07 03:00:00,12.2,123.9, ,,12.2,123.9,1003.90771484375,13.0,126.5
2021248N11131,2021,71,CONSON,2021-09-07 06:00:00,12.4,123.5,998,976.1057739257812,10.5,126.25,1000.7171020507812,13.5,126.5
2021248N11131,2021,71,CONSON,2021-09-07 09:00:00,12.7,123.1, ,,12.7,123.1,1000.7171020507812,13.5,126.5
2021248N11131,2021,71,CONSON,2021-09-07 12:00:00,12.9,122.8,998,972.5953369140625,10.5,126.25,1002.1658325195312,14.0,126.0
2021248N11131,2021,71,CONSON,2021-09-07 15:00:00,13.1,122.4, ,,13.1,122.4,1002.1658325195312,14.0,126.0
2021248N11131,2021,71,CONSON,2021-09-07 18:00:00,13.3,122.0,998,969.1796875,12.5,124.25,995.057373046875,14.5,125.0
2021248N11131,2021,71,CONSON,2021-09-07 21:00:00,13.5,121.7, ,,13.5,121.7,995.057373046875,14.5,125.0
2021248N11131,2021,71,CONSON,2021-09-08 00:00:00,13.7,121.5,998,965.7957153320312,12.5,124.25,1000.111328125,15.0,124.5
2021248N11131,2021,71,CONSON,2021-09-08 03:00:00,13.9,121.1, ,,13.9,121.1,1000.111328125,15.0,124.5
2021248N11131,2021,71,CONSON,2021-09-08 06:00:00,14.2,120.7,998,962.31689453125,12.5,124.25,997.79931640625,15.0,124.0
2021248N11131,2021,71,CONSON,2021-09-08 09:00:00,14.5,120.4, ,,14.5,120.4,997.79931640625,15.0,124.0
2021248N11131,2021,71,CONSON,2021-09-08 12:00:00,14.8,120.1,998,959.2491455078125,14.5,122.25,1001.2427368164062,16.0,123.5
2021248N11131,2021,71,CONSON,2021-09-08 15:00:00,15.1,119.6, ,,15.1,119.6,1001.2427368164062,16.0,123.5
2021248N11131,2021,71,CONSON,2021-09-08 18:00:00,15.3,119.1,998,955.9600830078125,14.5,122.25,998.2313232421875,16.0,122.5
2021248N11131,2021,71,CONSON,2021-09-08 21:00:00,15.4,118.7, ,,15.4,118.7,998.2313232421875,16.0,122.5
2021248N11131,2021,71,CONSON,2021-09-09 00:00:00,15.5,118.1,994,952.892333984375,12.5,114.25,1003.8432006835938,17.0,122.0
2021248N11131,2021,71,CONSON,2021-09-09 03:00:00,15.7,117.4, ,,15.7,117.4,1006.0407104492188,18.0,120.0
2021248N11131,2021,71,CONSON,2021-09-09 06:00:00,15.8,116.8,994,949.6981201171875,12.5,114.25,1002.1900634765625,18.0,120.5
2021248N11131,2021,71,CONSON,2021-09-09 09:00:00,15.9,115.9, ,,15.9,115.9,1004.0125732421875,17.5,119.5
2021248N11131,2021,71,CONSON,2021-09-09 12:00:00,15.9,115.1,992,946.37744140625,12.5,112.25,1001.7867431640625,18.0,119.0
2021248N11131,2021,71,CONSON,2021-09-09 15:00:00,15.9,114.5, ,,15.9,114.5,1004.5367431640625,17.5,118.5
2021248N11131,2021,71,CONSON,2021-09-09 18:00:00,15.8,114.0,992,943.21484375,12.5,110.25,998.0731811523438,17.5,118.0
2021248N11131,2021,71,CONSON,2021-09-09 21:00:00,15.7,113.4, ,,15.7,113.4,1005.0806884765625,17.5,117.0
2021248N11131,2021,71,CONSON,2021-09-10 00:00:00,15.7,112.9,992,940.4318237304688,12.5,110.25,1004.373046875,17.5,116.5
2021248N11131,2021,71,CONSON,2021-09-10 03:00:00,15.7,112.5, ,,15.7,112.5,1004.373046875,17.5,116.5
2021248N11131,2021,71,CONSON,2021-09-10 06:00:00,15.7,112.2,992,937.522216796875,12.5,110.25,998.7449951171875,18.0,116.0
2021248N11131,2021,71,CONSON,2021-09-10 09:00:00,15.7,111.8, ,,15.7,111.8,1002.4500122070312,18.0,115.5
2021248N11131,2021,71,CONSON,2021-09-10 12:00:00,15.7,111.5,992,936.8897094726562,12.5,110.25,998.5515747070312,18.5,115.5
2021248N11131,2021,71,CONSON,2021-09-10 15:00:00,15.7,111.2, ,,15.7,111.2,1001.6165771484375,18.5,115.0
2021248N11131,2021,71,CONSON,2021-09-10 18:00:00,15.7,110.8,992,936.1306762695312,12.5,110.25,997.5427856445312,19.0,114.5
2021248N11131,2021,71,CONSON,2021-09-10 21:00:00,15.7,110.4, ,,15.7,110.4,1000.602783203125,19.0,114.0
2021248N11131,2021,71,CONSON,2021-09-11 00:00:00,15.7,110.0,992,935.11865234375,18.5,106.25,994.4671020507812,19.0,114.0
2021248N11131,2021,71,CONSON,2021-09-11 03:00:00,15.6,109.8, ,,15.6,109.8,999.007080078125,19.0,113.5
2021248N11131,2021,71,CONSON,2021-09-11 06:00:00,15.6,109.6,992,934.29638671875,18.5,106.25,991.7782592773438,19.5,113.5
2021248N11131,2021,71,CONSON,2021-09-11 09:00:00,15.4,109.5, ,,15.4,109.5,995.2432861328125,19.0,113.5
2021248N11131,2021,71,CONSON,2021-09-11 12:00:00,15.3,109.3,994,933.663818359375,18.5,106.25,996.7061767578125,19.0,113.0
2021248N11131,2021,71,CONSON,2021-09-11 15:00:00,15.2,109.2, ,,15.2,109.2,996.7061767578125,19.0,113.0
2021248N11131,2021,71,CONSON,2021-09-11 18:00:00,15.2,109.2,996,932.9048461914062,18.5,106.25,999.5474243164062,19.0,112.5
2021248N11131,2021,71,CONSON,2021-09-11 21:00:00,15.2,109.2, ,,15.2,109.2,999.5474243164062,19.0,112.5
2021248N11131,2021,71,CONSON,2021-09-12 00:00:00,15.3,109.2,996,932.2723388671875,18.5,106.25,1000.6591186523438,19.0,111.0
2021248N11131,2021,71,CONSON,2021-09-12 03:00:00,15.3,109.2, ,,15.3,109.2,1000.6591186523438,19.0,111.0
2021248N11131,2021,71,CONSON,2021-09-12 06:00:00,15.3,109.2,998,931.1337280273438,17.75,106.5,999.5083618164062,19.0,110.5
2021248N11131,2021,71,CONSON,2021-09-12 09:00:00,15.3,109.1, ,,15.3,109.1,999.5083618164062,19.0,110.5
2021248N11131,2021,71,CONSON,2021-09-12 12:00:00,15.3,109.1,1000,929.9320068359375,17.75,106.5,999.6994018554688,19.0,108.5
2021248N11131,2021,71,CONSON,2021-09-12 15:00:00,15.4,109.1, ,,15.4,109.1,999.6994018554688,19.0,108.5
2021248N11131,2021,71,CONSON,2021-09-12 18:00:00,15.5,109.0,1000,928.603759765625,17.75,106.5,998.0744018554688,19.5,109.5
2021248N11131,2021,71,CONSON,2021-09-12 21:00:00,15.6,108.9, ,,15.6,108.9,998.0744018554688,19.5,109.5
2021248N11131,2021,71,CONSON,2021-09-13 00:00:00,15.8,108.8,1002,927.4019775390625,17.75,106.5,998.0744018554688,19.5,109.5
2021248N11131,2021,71,CONSON,2021-09-13 03:00:00,16.0,108.7, ,,16.0,108.7,994.9993896484375,20.0,109.5
2021248N11131,2021,71,CONSON,2021-09-13 06:00:00,16.1,108.5,1002,926.0736694335938,17.75,106.5,994.9993896484375,20.0,109.5
2021248N11131,2021,71,CONSON,2021-09-13 09:00:00,16.1,108.2, ,,16.1,108.2,994.9993896484375,20.0,109.5
2021248N11131,2021,71,CONSON,2021-09-13 12:00:00,16.0,107.9,1004,920.1279907226562,19.75,106.5,994.9993896484375,20.0,109.5
2021248N12141,2021,72,CHANTHU,2021-09-05 06:00:00,12.4,140.5,1006,,12.4,140.5,1007.6774291992188,14.0,139.0
2021248N12141,2021,72,CHANTHU,2021-09-05 09:00:00,12.7,140.2, ,,12.7,140.2,1007.6774291992188,14.0,139.0
2021248N12141,2021,72,CHANTHU,2021-09-05 12:00:00,13.0,139.9,1008,1002.521240234375,12.5,138.25,1007.6774291992188,14.0,139.0
2021248N12141,2021,72,CHANTHU,2021-09-05 15:00:00,13.2,139.7, ,,13.2,139.7,1007.6774291992188,14.0,139.0
2021248N12141,2021,72,CHANTHU,2021-09-05 18:00:00,13.3,139.4,1006,998.3545532226562,12.5,138.25,1006.0432739257812,14.0,138.5
2021248N12141,2021,72,CHANTHU,2021-09-05 21:00:00,13.4,139.1, ,,13.4,139.1,1006.0432739257812,14.0,138.5
2021248N12141,2021,72,CHANTHU,2021-09-06 00:00:00,13.5,138.9,1006,994.3855590820312,12.5,138.25,1008.080322265625,14.5,138.0
2021248N12141,2021,72,CHANTHU,2021-09-06 03:00:00,13.7,138.7, ,,13.7,138.7,1008.080322265625,14.5,138.0
2021248N12141,2021,72,CHANTHU,2021-09-06 06:00:00,14.0,138.6,1004,990.321533203125,12.5,138.25,1005.0611572265625,15.0,137.5
2021248N12141,2021,72,CHANTHU,2021-09-06 09:00:00,14.3,138.3, ,,14.3,138.3,1005.0611572265625,15.0,137.5
2021248N12141,2021,72,CHANTHU,2021-09-06 12:00:00,14.7,138.0,1002,986.5264892578125,12.5,138.25,1007.2755737304688,15.5,137.5
2021248N12141,2021,72,CHANTHU,2021-09-06 15:00:00,14.9,137.7, ,,14.9,137.7,1007.2755737304688,15.5,137.5
2021248N12141,2021,72,CHANTHU,2021-09-06 18:00:00,15.2,137.4,1000,982.636474609375,12.5,138.25,1004.42041015625,16.5,137.0
