SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023234N19154,2023,46,DAMREY,2023-08-27 00:00:00,31.7,147.4,985,988.1235961914062,29.5,149.25,990.7159423828125,31.5,147.5
2023234N19154,2023,46,DAMREY,2023-08-27 03:00:00,32.8,146.5, ,,32.8,146.5,990.7159423828125,31.5,147.5
2023234N19154,2023,46,DAMREY,2023-08-27 06:00:00,33.8,145.7,985,987.7440795898438,30.0,149.25,988.0204467773438,34.0,146.0
2023234N19154,2023,46,DAMREY,2023-08-27 09:00:00,34.8,145.0, ,,34.8,145.0,988.0204467773438,34.0,146.0
2023234N19154,2023,46,DAMREY,2023-08-27 12:00:00,35.6,144.5,985,994.630615234375,31.75,148.5,983.10498046875,35.5,144.5
2023234N19154,2023,46,DAMREY,2023-08-27 15:00:00,36.5,144.2, ,,36.5,144.2,983.10498046875,35.5,144.5
2023234N19154,2023,46,DAMREY,2023-08-27 18:00:00,37.2,144.2,990,992.661865234375,34.5,140.25,981.492919921875,37.0,144.0
2023234N19154,2023,46,DAMREY,2023-08-27 21:00:00,37.9,144.3, ,,37.9,144.3,981.492919921875,37.0,144.0
2023234N19154,2023,46,DAMREY,2023-08-28 00:00:00,38.6,144.6,990,989.4835205078125,34.75,142.25,983.77734375,38.5,144.0
2023234N19154,2023,46,DAMREY,2023-08-28 03:00:00,39.2,144.9, ,,39.2,144.9,983.77734375,38.5,144.0
2023234N19154,2023,46,DAMREY,2023-08-28 06:00:00,39.8,145.5,990,986.2260131835938,36.5,142.25,981.95556640625,39.5,145.5
2023234N19154,2023,46,DAMREY,2023-08-28 09:00:00,40.2,146.4, ,,40.2,146.4,981.95556640625,39.5,145.5
2023234N19154,2023,46,DAMREY,2023-08-28 12:00:00,40.5,147.4,985,982.383544921875,44.5,144.25,986.121826171875,40.5,147.0
2023234N19154,2023,46,DAMREY,2023-08-28 15:00:00,40.8,148.4, ,,40.8,148.4,986.121826171875,40.5,147.0
2023234N19154,2023,46,DAMREY,2023-08-28 18:00:00,41.0,149.5,985,979.552978515625,44.5,146.25,989.1835327148438,41.0,149.0
2023234N19154,2023,46,DAMREY,2023-08-28 21:00:00,41.2,150.8, ,,41.2,150.8,989.1835327148438,41.0,149.0
2023234N19154,2023,46,DAMREY,2023-08-29 00:00:00,41.2,152.4,990,977.908447265625,44.75,148.5,993.4232177734375,41.0,152.0
2023234N19154,2023,46,DAMREY,2023-08-29 03:00:00,41.2,154.4, ,,41.2,154.4,993.4232177734375,41.0,152.0
2023234N19154,2023,46,DAMREY,2023-08-29 06:00:00,41.1,156.6,992,976.8015747070312,44.5,154.25,993.9649047851562,41.0,155.5
2023234N19154,2023,46,DAMREY,2023-08-29 09:00:00,41.2,158.8, ,,41.2,158.8,993.9649047851562,41.0,155.5
2023234N19154,2023,46,DAMREY,2023-08-29 12:00:00,41.3,161.1,992,973.3226318359375,44.5,164.25,995.2666625976562,40.5,159.0
2023234N19154,2023,46,DAMREY,2023-08-29 15:00:00,41.3,163.4, ,,41.3,163.4,995.3216552734375,41.0,159.5
2023234N19154,2023,46,DAMREY,2023-08-29 18:00:00,41.4,165.9,992,969.5908813476562,44.5,166.25,991.1334228515625,41.0,164.0
2023234N19154,2023,46,DAMREY,2023-08-29 21:00:00,41.8,169.1, ,,41.8,169.1,995.8209228515625,40.5,165.5
2023234N19154,2023,46,DAMREY,2023-08-30 00:00:00,42.4,172.7,988,968.009521484375,40.5,170.25,986.6911010742188,40.5,169.0
2023234N19154,2023,46,DAMREY,2023-08-30 03:00:00,43.4,176.0, ,,43.4,176.0,995.3961181640625,42.0,172.5
2023234N19154,2023,46,DAMREY,2023-08-30 06:00:00,44.5,178.8,980,967.8197631835938,40.5,176.25,986.0463256835938,41.5,175.5
2023239N18144,2023,49,HAIKUI,2023-08-27 00:00:00,18.1,144.4, ,996.5914306640625,16.5,142.5,1001.8009643554688,16.0,144.0
2023239N18144,2023,49,HAIKUI,2023-08-27 03:00:00,18.2,144.4, ,,18.2,144.4,1001.8009643554688,16.0,144.0
2023239N18144,2023,49,HAIKUI,2023-08-27 06:00:00,18.3,144.4,998,992.456298828125,16.5,142.5,999.8904418945312,16.0,143.5
2023239N18144,2023,49,HAIKUI,2023-08-27 09:00:00,18.4,144.2, ,,18.4,144.2,999.8904418945312,16.0,143.5
2023239N18144,2023,49,HAIKUI,2023-08-27 12:00:00,18.3,144.0,1000,988.5822143554688,16.5,142.5,1002.125,16.0,144.5
2023239N18144,2023,49,HAIKUI,2023-08-27 15:00:00,18.2,143.8, ,,18.2,143.8,1002.125,16.0,144.5
2023239N18144,2023,49,HAIKUI,2023-08-27 18:00:00,18.2,143.5,998,984.5973510742188,16.5,142.25,999.6004028320312,16.0,144.5
2023239N18144,2023,49,HAIKUI,2023-08-27 21:00:00,18.2,143.2, ,,18.2,143.2,999.6004028320312,16.0,144.5
2023239N18144,2023,49,HAIKUI,2023-08-28 00:00:00,18.3,142.7,998,980.786376953125,16.5,142.25,1001.4073486328125,16.5,145.0
2023239N18144,2023,49,HAIKUI,2023-08-28 03:00:00,18.4,142.2, ,,18.4,142.2,1001.4073486328125,16.5,145.0
2023239N18144,2023,49,HAIKUI,2023-08-28 06:00:00,18.5,141.6,998,976.8964233398438,16.5,142.25,999.4405517578125,17.0,144.5
2023239N18144,2023,49,HAIKUI,2023-08-28 09:00:00,18.5,141.1, ,,18.5,141.1,999.4405517578125,17.0,144.5
2023239N18144,2023,49,HAIKUI,2023-08-28 12:00:00,18.6,140.6,998,973.2594604492188,16.5,142.25,1002.8493041992188,18.0,142.0
