SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023234N19154,2023,46,DAMREY,2023-08-29 00:00:00,41.2,152.4,990,988.4872436523438,41.0,150.0,992.205322265625,41.0,153.0
2023234N19154,2023,46,DAMREY,2023-08-29 03:00:00,41.2,154.4, ,,41.2,154.4,992.205322265625,41.0,153.0
2023234N19154,2023,46,DAMREY,2023-08-29 06:00:00,41.1,156.6,992,999.1135864257812,41.75,152.75,992.92529296875,41.0,156.5
2023234N19154,2023,46,DAMREY,2023-08-29 09:00:00,41.2,158.8, ,,41.2,158.8,992.92529296875,41.0,156.5
2023234N19154,2023,46,DAMREY,2023-08-29 12:00:00,41.3,161.1,992,996.0853881835938,44.75,160.5,993.0636596679688,41.0,161.0
2023234N19154,2023,46,DAMREY,2023-08-29 15:00:00,41.3,163.4, ,,41.3,163.4,993.0636596679688,41.0,161.0
2023234N19154,2023,46,DAMREY,2023-08-29 18:00:00,41.4,165.9,992,993.0413818359375,44.75,162.25,987.9597778320312,41.5,166.5
2023234N19154,2023,46,DAMREY,2023-08-29 21:00:00,41.8,169.1, ,,41.8,169.1,987.9597778320312,41.5,166.5
2023234N19154,2023,46,DAMREY,2023-08-30 00:00:00,42.4,172.7,988,988.629638671875,46.25,176.25,982.9857177734375,42.0,171.5
2023234N19154,2023,46,DAMREY,2023-08-30 03:00:00,43.4,176.0, ,,43.4,176.0,983.3732299804688,42.0,172.0
2023234N19154,2023,46,DAMREY,2023-08-30 06:00:00,44.5,178.8,980,993.70556640625,48.5,182.25,980.1690673828125,43.5,178.0
2023241N10158,2023,51,KIROGI,2023-08-29 00:00:00,10.4,157.5, ,1001.9678344726562,8.5,156.25,1007.4640502929688,7.5,157.5
2023241N10158,2023,51,KIROGI,2023-08-29 03:00:00,10.6,157.0, ,,10.6,157.0,1007.4640502929688,7.5,157.5
2023241N10158,2023,51,KIROGI,2023-08-29 06:00:00,10.8,156.4, ,997.753662109375,8.5,156.25,1005.30029296875,11.5,155.5
2023241N10158,2023,51,KIROGI,2023-08-29 09:00:00,10.9,155.8, ,,10.9,155.8,1005.30029296875,11.5,155.5
2023241N10158,2023,51,KIROGI,2023-08-29 12:00:00,11.1,155.3, ,993.808349609375,8.5,156.25,1007.6636962890625,11.5,155.5
2023241N10158,2023,51,KIROGI,2023-08-29 15:00:00,11.4,155.0, ,,11.4,155.0,1007.6636962890625,11.5,155.5
2023241N10158,2023,51,KIROGI,2023-08-29 18:00:00,11.6,154.7,1004,989.7681274414062,8.5,156.25,1005.4447631835938,14.5,151.0
2023241N10158,2023,51,KIROGI,2023-08-29 21:00:00,12.0,154.6, ,,12.0,154.6,1005.4447631835938,14.5,151.0
2023241N10158,2023,51,KIROGI,2023-08-30 00:00:00,12.4,154.5,1004,985.9255981445312,8.5,156.25,1005.8381958007812,13.0,154.5
2023241N10158,2023,51,KIROGI,2023-08-30 03:00:00,12.6,154.5, ,,12.6,154.5,1005.8381958007812,13.0,154.5
2023241N10158,2023,51,KIROGI,2023-08-30 06:00:00,12.9,154.4,1002,979.1576538085938,16.5,150.5,1002.2728271484375,14.0,154.5
