SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022284N15152,2022,89,HAITANG,2022-10-12 00:00:00,16.0,151.2, ,1000.4181518554688,15.75,152.25,1006.2882690429688,16.0,151.5
2022284N15152,2022,89,HAITANG,2022-10-12 03:00:00,15.9,151.1, ,,15.9,151.1,1006.2882690429688,16.0,151.5
2022284N15152,2022,89,HAITANG,2022-10-12 06:00:00,15.7,151.1, ,996.5597534179688,15.75,152.25,1002.2323608398438,15.5,151.0
2022284N15152,2022,89,HAITANG,2022-10-12 09:00:00,15.5,151.1, ,,15.5,151.1,1002.2323608398438,15.5,151.0
2022284N15152,2022,89,HAITANG,2022-10-12 12:00:00,15.2,151.0, ,992.9307250976562,15.75,152.25,1003.8143920898438,15.0,151.5
2022284N15152,2022,89,HAITANG,2022-10-12 15:00:00,14.8,150.8, ,,14.8,150.8,1003.8143920898438,15.0,151.5
2022284N15152,2022,89,HAITANG,2022-10-12 18:00:00,14.5,150.7, ,989.23046875,15.75,152.25,1000.482666015625,15.0,151.5
2022284N15152,2022,89,HAITANG,2022-10-12 21:00:00,14.5,150.9, ,,14.5,150.9,1000.482666015625,15.0,151.5
2022284N15152,2022,89,HAITANG,2022-10-13 00:00:00,14.6,151.4, ,985.6884155273438,15.75,152.25,1003.5216674804688,15.0,152.5
2022284N15152,2022,89,HAITANG,2022-10-13 03:00:00,14.9,152.0, ,,14.9,152.0,1003.5216674804688,15.0,152.5
2022284N15152,2022,89,HAITANG,2022-10-13 06:00:00,15.2,152.7, ,982.0672607421875,15.75,152.25,1000.031982421875,16.0,153.5
2022284N15152,2022,89,HAITANG,2022-10-13 09:00:00,15.4,153.3, ,,15.4,153.3,1000.031982421875,16.0,153.5
2022284N15152,2022,89,HAITANG,2022-10-13 12:00:00,15.7,153.9, ,978.6832885742188,15.75,152.25,1001.51220703125,16.5,154.5
2022284N15152,2022,89,HAITANG,2022-10-13 15:00:00,16.1,154.5, ,,16.1,154.5,1001.51220703125,16.5,154.5
2022284N15152,2022,89,HAITANG,2022-10-13 18:00:00,16.8,155.1, ,975.09375,16.5,152.25,1000.5673217773438,18.0,156.0
2022284N15152,2022,89,HAITANG,2022-10-13 21:00:00,17.6,155.6, ,,17.6,155.6,1000.5673217773438,18.0,156.0
2022284N15152,2022,89,HAITANG,2022-10-14 00:00:00,18.6,156.0, ,971.5516357421875,16.5,152.25,1002.932861328125,20.0,156.5
2022284N15152,2022,89,HAITANG,2022-10-14 03:00:00,19.9,156.4, ,,19.9,156.4,1002.932861328125,20.0,156.5
2022284N15152,2022,89,HAITANG,2022-10-14 06:00:00,21.2,156.7, ,969.9071044921875,18.5,154.25,1001.7807006835938,22.5,157.5
2022284N15152,2022,89,HAITANG,2022-10-14 09:00:00,22.4,157.1, ,,22.4,157.1,1001.7807006835938,22.5,157.5
2022284N15152,2022,89,HAITANG,2022-10-14 12:00:00,23.6,157.4, ,967.6932983398438,20.5,154.25,1003.0245971679688,25.5,157.0
2022284N15152,2022,89,HAITANG,2022-10-14 15:00:00,25.6,156.8, ,,25.6,156.8,1003.0245971679688,25.5,157.0
2022284N15152,2022,89,HAITANG,2022-10-14 18:00:00,27.1,156.2, ,967.187255859375,24.5,152.25,1002.9378662109375,28.0,157.0
2022284N15152,2022,89,HAITANG,2022-10-14 21:00:00,27.4,156.1, ,,27.4,156.1,1002.9378662109375,28.0,157.0
2022284N15152,2022,89,HAITANG,2022-10-15 00:00:00,27.0,156.3, ,964.37255859375,24.5,154.25,1004.3077392578125,29.5,157.0
2022284N15152,2022,89,HAITANG,2022-10-15 03:00:00,26.9,156.7, ,,26.9,156.7,1004.3077392578125,29.5,157.0
2022284N15152,2022,89,HAITANG,2022-10-15 06:00:00,27.0,156.6, ,961.020263671875,24.5,154.25,1003.7633056640625,30.5,157.5
2022284N15152,2022,89,HAITANG,2022-10-15 09:00:00,27.0,156.6, ,,27.0,156.6,1003.7633056640625,30.5,157.5
2022284N15152,2022,89,HAITANG,2022-10-15 12:00:00,27.0,156.6, ,957.9525146484375,24.5,154.25,1005.2047729492188,31.0,158.5
2022284N15152,2022,89,HAITANG,2022-10-15 15:00:00,27.0,156.6, ,,27.0,156.6,1005.2047729492188,31.0,158.5
2022284N15152,2022,89,HAITANG,2022-10-15 18:00:00,27.0,156.6, ,954.7899169921875,24.5,154.25,1006.0773315429688,31.0,159.5
2022284N15152,2022,89,HAITANG,2022-10-15 21:00:00,27.0,156.7, ,,27.0,156.7,1006.0773315429688,31.0,159.5
2022284N15152,2022,89,HAITANG,2022-10-16 00:00:00,27.0,156.7, ,951.817138671875,24.5,154.25,1009.6011962890625,31.0,160.5
2022284N15152,2022,89,HAITANG,2022-10-16 03:00:00,27.0,156.6, ,,27.0,156.6,1009.6011962890625,31.0,160.5
2022284N15152,2022,89,HAITANG,2022-10-16 06:00:00,27.0,156.4, ,948.7493896484375,24.5,154.25,1008.584228515625,24.5,152.5
2022284N15152,2022,89,HAITANG,2022-10-16 09:00:00,27.0,156.2, ,,27.0,156.2,1008.584228515625,24.5,152.5
2022284N15152,2022,89,HAITANG,2022-10-16 12:00:00,27.0,156.0, ,945.55517578125,24.5,152.25,1010.0914306640625,25.0,152.0
2022284N15152,2022,89,HAITANG,2022-10-16 15:00:00,27.1,156.0, ,,27.1,156.0,1010.0914306640625,25.0,152.0
2022284N15152,2022,89,HAITANG,2022-10-16 18:00:00,27.2,156.1, ,942.7088012695312,24.5,152.25,1009.3206787109375,24.5,152.5
2022284N15152,2022,89,HAITANG,2022-10-16 21:00:00,27.2,156.4, ,,27.2,156.4,1009.3206787109375,24.5,152.5
2022284N15152,2022,89,HAITANG,2022-10-17 00:00:00,27.1,156.6,1006,942.392578125,24.5,154.25,1011.8818969726562,25.0,153.0
2022284N15152,2022,89,HAITANG,2022-10-17 03:00:00,27.1,157.1, ,,27.1,157.1,1012.21435546875,25.5,153.5
2022284N15152,2022,89,HAITANG,2022-10-17 06:00:00,27.2,157.5,1006,941.5703125,24.5,154.25,1010.5671997070312,26.0,153.5
2022284N15152,2022,89,HAITANG,2022-10-17 09:00:00,27.4,157.8, ,,27.4,157.8,1010.7346801757812,25.5,154.0
2022284N15152,2022,89,HAITANG,2022-10-17 12:00:00,27.7,157.9,1008,940.9378051757812,24.5,154.25,1012.24169921875,26.5,154.0
