SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022239N22150,2022,61,HINNAMNOR,2022-09-03 18:00:00,25.1,124.6,950,964.9102172851562,23.75,124.75,960.6049194335938,25.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-03 21:00:00,25.5,124.6,950,,25.5,124.6,960.6049194335938,25.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 00:00:00,26.0,124.6,945,961.4313354492188,23.75,124.75,960.6205444335938,26.0,125.0
2022239N22150,2022,61,HINNAMNOR,2022-09-04 03:00:00,26.5,124.6,945,,26.5,124.6,960.6205444335938,26.0,125.0
2022239N22150,2022,61,HINNAMNOR,2022-09-04 06:00:00,27.0,124.7,940,957.857666015625,23.75,124.75,956.9365844726562,27.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 09:00:00,27.4,124.6,940,,27.4,124.6,956.9365844726562,27.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 12:00:00,27.7,124.6,940,954.5369262695312,23.75,124.75,952.058837890625,28.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 15:00:00,28.1,124.6, ,,28.1,124.6,952.058837890625,28.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 18:00:00,28.6,124.7,940,956.213134765625,24.75,124.5,948.8942260742188,29.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 21:00:00,29.2,124.8, ,,29.2,124.8,948.8942260742188,29.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-05 00:00:00,29.8,124.9,945,966.7445068359375,26.0,124.5,951.3187255859375,30.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-05 03:00:00,30.3,125.1,945,,30.3,125.1,951.3187255859375,30.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-05 06:00:00,31.0,125.6,950,967.883056640625,27.0,124.25,952.653564453125,31.5,125.0
2022239N22150,2022,61,HINNAMNOR,2022-09-05 09:00:00,31.7,126.0,950,,31.7,126.0,952.653564453125,31.5,125.0
2022239N22150,2022,61,HINNAMNOR,2022-09-05 12:00:00,32.4,126.6,955,965.3845825195312,28.5,124.25,956.0543823242188,32.5,126.0
2022239N22150,2022,61,HINNAMNOR,2022-09-05 15:00:00,33.3,127.3,960,,33.3,127.3,956.0543823242188,32.5,126.0
2022239N22150,2022,61,HINNAMNOR,2022-09-05 18:00:00,34.2,128.1,965,965.7324829101562,30.5,124.25,960.954345703125,34.0,127.5
2022239N22150,2022,61,HINNAMNOR,2022-09-05 21:00:00,35.2,129.2,965,,35.2,129.2,960.954345703125,34.0,127.5
