SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021197N17135,2021,47,IN-FA,2021-07-22 12:00:00,23.6,125.8,955,965.0999755859375,23.75,126.0,958.4346313476562,23.5,126.0
2021197N17135,2021,47,IN-FA,2021-07-22 15:00:00,23.6,125.7,955,,23.6,125.7,958.4346313476562,23.5,126.0
2021197N17135,2021,47,IN-FA,2021-07-22 18:00:00,23.7,125.5,960,961.62109375,23.75,126.0,955.888671875,24.0,125.5
2021197N17135,2021,47,IN-FA,2021-07-22 21:00:00,23.9,125.5,960,,23.9,125.5,955.888671875,24.0,125.5
2021197N17135,2021,47,IN-FA,2021-07-23 00:00:00,24.2,125.4,960,958.2687377929688,23.75,126.0,957.5299072265625,24.5,125.0
2021197N17135,2021,47,IN-FA,2021-07-23 03:00:00,24.4,125.2,960,,24.4,125.2,957.5299072265625,24.5,125.0
2021197N17135,2021,47,IN-FA,2021-07-23 06:00:00,24.6,125.1,960,954.8532104492188,23.75,126.0,955.681640625,24.5,124.5
2021197N17135,2021,47,IN-FA,2021-07-23 09:00:00,24.7,125.0,960,,24.7,125.0,955.681640625,24.5,124.5
2021197N17135,2021,47,IN-FA,2021-07-23 12:00:00,24.8,125.0,960,951.6273193359375,23.75,126.25,952.39208984375,25.0,124.5
2021197N17135,2021,47,IN-FA,2021-07-23 15:00:00,25.1,125.0,965,,25.1,125.0,952.39208984375,25.0,124.5
2021197N17135,2021,47,IN-FA,2021-07-23 18:00:00,25.5,125.0,965,948.2117309570312,23.75,126.25,950.4911499023438,25.5,124.0
2021197N17135,2021,47,IN-FA,2021-07-23 21:00:00,26.0,124.8,965,,26.0,124.8,950.4911499023438,25.5,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 00:00:00,26.4,124.7,960,944.9542846679688,23.75,126.25,951.603271484375,26.5,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 03:00:00,26.8,124.5,960,,26.8,124.5,951.603271484375,26.5,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 06:00:00,27.2,124.3,960,941.6336059570312,23.75,126.25,948.8707275390625,27.0,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 09:00:00,27.6,124.2,960,,27.6,124.2,948.8707275390625,27.0,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 12:00:00,28.0,124.0,960,939.79931640625,24.0,126.25,949.0582275390625,27.5,123.5
2021197N17135,2021,47,IN-FA,2021-07-24 15:00:00,28.3,123.9, ,,28.3,123.9,949.0582275390625,27.5,123.5
2021197N17135,2021,47,IN-FA,2021-07-24 18:00:00,28.6,123.7,960,941.44384765625,24.75,126.25,951.0631103515625,28.5,123.5
2021197N17135,2021,47,IN-FA,2021-07-24 21:00:00,29.2,123.4, ,,29.2,123.4,951.0631103515625,28.5,123.5
2021197N17135,2021,47,IN-FA,2021-07-25 00:00:00,29.7,123.0,970,949.4451293945312,25.75,126.25,955.1404418945312,29.0,123.0
2021197N17135,2021,47,IN-FA,2021-07-25 03:00:00,29.9,122.7, ,,29.9,122.7,955.1404418945312,29.0,123.0
2021197N17135,2021,47,IN-FA,2021-07-25 06:00:00,30.0,122.4,970,947.136474609375,26.5,126.25,958.713134765625,29.5,122.5
2021197N17135,2021,47,IN-FA,2021-07-25 09:00:00,30.1,122.2, ,,30.1,122.2,958.713134765625,29.5,122.5
2021197N17135,2021,47,IN-FA,2021-07-25 12:00:00,30.2,122.1,975,945.4603271484375,26.5,124.25,964.8876342773438,29.5,122.0
2021197N17135,2021,47,IN-FA,2021-07-25 15:00:00,30.3,121.8, ,,30.3,121.8,964.8876342773438,29.5,122.0
2021197N17135,2021,47,IN-FA,2021-07-25 18:00:00,30.4,121.6,980,942.2028198242188,26.5,124.25,970.8001708984375,29.5,121.5
2021197N17135,2021,47,IN-FA,2021-07-25 21:00:00,30.5,121.4, ,,30.5,121.4,970.8001708984375,29.5,121.5
2021197N17135,2021,47,IN-FA,2021-07-26 00:00:00,30.6,121.2,985,941.0010986328125,26.75,124.25,975.7117309570312,29.5,121.0
2021197N17135,2021,47,IN-FA,2021-07-26 03:00:00,30.7,121.1, ,,30.7,121.1,975.7117309570312,29.5,121.0
2021197N17135,2021,47,IN-FA,2021-07-26 06:00:00,30.9,120.9,985,941.44384765625,28.5,124.25,977.8870849609375,29.0,121.0
2021197N17135,2021,47,IN-FA,2021-07-26 09:00:00,30.9,120.7, ,,30.9,120.7,977.8870849609375,29.0,121.0
2021197N17135,2021,47,IN-FA,2021-07-26 12:00:00,31.0,120.4,985,938.5974731445312,28.5,124.25,980.0792846679688,29.0,121.0
2021197N17135,2021,47,IN-FA,2021-07-26 15:00:00,31.1,120.2, ,,31.1,120.2,980.0792846679688,29.0,121.0
2021197N17135,2021,47,IN-FA,2021-07-26 18:00:00,31.2,119.9,985,937.0794677734375,28.5,122.25,980.006591796875,28.0,120.5
2021197N17135,2021,47,IN-FA,2021-07-26 21:00:00,31.2,119.7, ,,31.2,119.7,980.006591796875,28.0,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 00:00:00,31.3,119.4,985,934.29638671875,28.5,122.25,980.5834350585938,27.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 03:00:00,31.3,119.2, ,,31.3,119.2,980.5834350585938,27.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 06:00:00,31.3,119.0,985,931.4500732421875,28.5,122.25,982.80859375,27.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 09:00:00,31.4,119.0, ,,31.4,119.0,982.80859375,27.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 12:00:00,31.6,118.9,985,930.8807983398438,28.5,122.25,985.1546020507812,28.0,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 15:00:00,31.8,118.6, ,,31.8,118.6,985.1546020507812,28.0,120.5
2021197N17135,2021,47,IN-FA,2021-07-27 18:00:00,32.2,118.3,990,930.1217041015625,28.5,122.25,985.5455322265625,28.5,120.0
2021197N17135,2021,47,IN-FA,2021-07-27 21:00:00,32.4,117.9, ,,32.4,117.9,985.5455322265625,28.5,120.0
2021197N17135,2021,47,IN-FA,2021-07-28 00:00:00,32.6,117.6,990,931.6397705078125,30.5,114.25,990.9913940429688,29.0,120.0
2021197N17135,2021,47,IN-FA,2021-07-28 03:00:00,32.9,117.3, ,,32.9,117.3,990.9913940429688,29.0,120.0
2021197N17135,2021,47,IN-FA,2021-07-28 06:00:00,33.1,117.1,990,930.8175048828125,30.5,114.25,991.850341796875,29.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-28 09:00:00,33.1,116.9, ,,33.1,116.9,991.850341796875,29.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-28 12:00:00,33.2,116.9,990,930.248291015625,30.5,114.25,992.956298828125,29.5,120.0
2021197N17135,2021,47,IN-FA,2021-07-28 15:00:00,33.5,116.9, ,,33.5,116.9,992.956298828125,29.5,120.0
2021197N17135,2021,47,IN-FA,2021-07-28 18:00:00,34.0,116.8,990,929.4891967773438,30.5,114.25,992.916015625,30.0,120.5
2021197N17135,2021,47,IN-FA,2021-07-28 21:00:00,34.5,116.8, ,,34.5,116.8,993.2935180664062,30.5,120.5
2021197N17135,2021,47,IN-FA,2021-07-29 00:00:00,35.0,116.9,990,929.9952392578125,32.5,114.25,995.28662109375,31.0,120.5
2021197N17135,2021,47,IN-FA,2021-07-29 03:00:00,35.3,117.0, ,,35.3,117.0,995.72412109375,31.5,121.0
