SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022268N20147,2022,80,KULAP,2022-09-26 12:00:00,25.9,142.4,994,996.0300903320312,24.25,142.5,1000.26318359375,25.5,142.5
2022268N20147,2022,80,KULAP,2022-09-26 15:00:00,26.4,142.2, ,,26.4,142.2,1000.26318359375,25.5,142.5
2022268N20147,2022,80,KULAP,2022-09-26 18:00:00,26.9,142.0,990,992.0767822265625,24.5,142.5,995.5037231445312,27.0,141.5
2022268N20147,2022,80,KULAP,2022-09-26 21:00:00,27.5,141.8,990,,27.5,141.8,995.5037231445312,27.0,141.5
2022268N20147,2022,80,KULAP,2022-09-27 00:00:00,27.9,141.6,990,988.2184448242188,24.5,142.5,994.8864135742188,27.5,141.5
2022268N20147,2022,80,KULAP,2022-09-27 03:00:00,28.4,141.6, ,,28.4,141.6,994.8864135742188,27.5,141.5
2022268N20147,2022,80,KULAP,2022-09-27 06:00:00,28.9,141.8,990,987.2222900390625,25.0,142.5,992.069580078125,28.5,141.5
2022268N20147,2022,80,KULAP,2022-09-27 09:00:00,29.4,142.1, ,,29.4,142.1,992.069580078125,28.5,141.5
2022268N20147,2022,80,KULAP,2022-09-27 12:00:00,29.8,142.5,990,988.1077880859375,26.5,142.25,990.718505859375,29.5,142.0
2022268N20147,2022,80,KULAP,2022-09-27 15:00:00,30.3,143.2, ,,30.3,143.2,990.718505859375,29.5,142.0
2022268N20147,2022,80,KULAP,2022-09-27 18:00:00,30.9,144.0,980,987.0167236328125,28.5,140.25,986.2577514648438,30.5,143.0
2022268N20147,2022,80,KULAP,2022-09-27 21:00:00,31.5,144.7, ,,31.5,144.7,986.2577514648438,30.5,143.0
2022268N20147,2022,80,KULAP,2022-09-28 00:00:00,32.1,145.4,975,983.68017578125,28.5,142.25,983.6041259765625,31.5,144.5
2022268N20147,2022,80,KULAP,2022-09-28 03:00:00,32.7,146.4, ,,32.7,146.4,983.6041259765625,31.5,144.5
2022268N20147,2022,80,KULAP,2022-09-28 06:00:00,33.3,147.6,975,981.561279296875,36.5,144.25,978.554443359375,32.5,146.5
2022268N20147,2022,80,KULAP,2022-09-28 09:00:00,34.0,149.0, ,,34.0,149.0,978.554443359375,32.5,146.5
2022268N20147,2022,80,KULAP,2022-09-28 12:00:00,34.7,150.4,975,978.3353881835938,32.5,152.25,980.1300659179688,33.5,149.0
2022268N20147,2022,80,KULAP,2022-09-28 15:00:00,35.6,151.7, ,,35.6,151.7,980.1300659179688,33.5,149.0
2022268N20147,2022,80,KULAP,2022-09-28 18:00:00,36.5,153.0,970,974.745849609375,32.5,152.25,971.3047485351562,34.5,151.5
2022268N20147,2022,80,KULAP,2022-09-28 21:00:00,37.5,154.5, ,,37.5,154.5,971.3047485351562,34.5,151.5
2022268N20147,2022,80,KULAP,2022-09-29 00:00:00,38.7,156.0,970,973.3543090820312,36.5,152.25,972.577392578125,36.0,154.0
2022268N20147,2022,80,KULAP,2022-09-29 03:00:00,40.2,157.6, ,,40.2,157.6,988.1423950195312,36.5,154.0
2022268N20147,2022,80,KULAP,2022-09-29 06:00:00,41.8,159.3,965,968.3258056640625,44.5,162.25,984.94287109375,38.0,157.0
2022268N20147,2022,80,KULAP,2022-09-29 09:00:00,43.0,161.1, ,,43.0,161.1,992.7478637695312,45.0,160.0
2022268N20147,2022,80,KULAP,2022-09-29 12:00:00,44.4,163.0,960,959.6919555664062,48.25,166.25,989.1652221679688,40.5,159.5
2022268N20147,2022,80,KULAP,2022-09-29 15:00:00,46.2,165.1, ,,46.2,165.1,992.0077514648438,46.5,163.5
2022268N20147,2022,80,KULAP,2022-09-29 18:00:00,48.4,167.2,956,940.3052978515625,52.25,170.25,989.9484252929688,49.5,168.5
2022268N20147,2022,80,KULAP,2022-09-29 21:00:00,50.5,169.0, ,,50.5,169.0,989.9484252929688,49.5,168.5
2022268N20147,2022,80,KULAP,2022-09-30 00:00:00,52.4,170.4,950,932.841552734375,54.5,172.25,984.9053955078125,52.0,171.5
2022268N20147,2022,80,KULAP,2022-09-30 03:00:00,53.8,171.0, ,,53.8,171.0,984.9053955078125,52.0,171.5
2022268N20147,2022,80,KULAP,2022-09-30 06:00:00,54.8,171.4,940,929.678955078125,54.5,172.25,976.565185546875,54.0,174.5
2022268N20147,2022,80,KULAP,2022-09-30 09:00:00,55.3,172.4, ,,55.3,172.4,976.565185546875,54.0,174.5
2022268N20147,2022,80,KULAP,2022-09-30 12:00:00,55.7,173.8,944,926.8326416015625,54.5,172.25,973.9389038085938,55.5,177.5
2022268N20147,2022,80,KULAP,2022-09-30 15:00:00,56.1,175.5, ,,56.1,175.5,973.201416015625,55.5,178.0
2022268N20147,2022,80,KULAP,2022-09-30 18:00:00,56.5,177.2,950,925.1248168945312,54.5,174.25,971.6409912109375,56.5,180.5
