SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021276N07131,2021,86,LIONROCK,2021-10-07 00:00:00,16.5,111.8,998,994.7808837890625,16.5,112.25,997.0016479492188,17.0,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 03:00:00,16.7,111.6, ,,16.7,111.6,997.0016479492188,17.0,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 06:00:00,16.8,111.5,996,990.6378173828125,16.5,112.25,995.6034545898438,17.0,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 09:00:00,17.0,111.3, ,,17.0,111.3,995.6034545898438,17.0,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 12:00:00,17.1,111.3,996,986.763671875,16.5,112.25,995.7100830078125,17.0,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 15:00:00,17.3,111.1, ,,17.3,111.1,995.7100830078125,17.0,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 18:00:00,17.4,111.0,994,982.7946166992188,16.5,112.25,994.6204833984375,17.5,111.5
2021276N07131,2021,86,LIONROCK,2021-10-07 21:00:00,17.6,110.9, ,,17.6,110.9,994.6204833984375,17.5,111.5
2021276N07131,2021,86,LIONROCK,2021-10-08 00:00:00,17.8,110.9,994,979.0311889648438,16.5,112.25,993.35400390625,18.5,111.0
2021276N07131,2021,86,LIONROCK,2021-10-08 03:00:00,18.1,110.8, ,,18.1,110.8,993.35400390625,18.5,111.0
2021276N07131,2021,86,LIONROCK,2021-10-08 06:00:00,18.5,110.8,994,975.1885986328125,16.5,112.25,991.702880859375,18.5,111.5
2021276N07131,2021,86,LIONROCK,2021-10-08 09:00:00,18.8,110.7, ,,18.8,110.7,991.702880859375,18.5,111.5
2021276N07131,2021,86,LIONROCK,2021-10-08 12:00:00,19.0,110.6,994,971.6149291992188,16.5,112.25,992.54345703125,19.0,111.0
2021276N07131,2021,86,LIONROCK,2021-10-08 15:00:00,19.2,110.4, ,,19.2,110.4,992.54345703125,19.0,111.0
2021276N07131,2021,86,LIONROCK,2021-10-08 18:00:00,19.3,110.1,994,967.9462280273438,16.5,112.25,992.6090087890625,19.0,110.5
2021276N07131,2021,86,LIONROCK,2021-10-08 21:00:00,19.4,110.0, ,,19.4,110.0,992.6090087890625,19.0,110.5
2021276N07131,2021,86,LIONROCK,2021-10-09 00:00:00,19.6,110.0,994,964.4674072265625,16.5,112.25,994.1922607421875,19.5,110.0
2021276N07131,2021,86,LIONROCK,2021-10-09 03:00:00,19.7,110.1, ,,19.7,110.1,994.1922607421875,19.5,110.0
2021276N07131,2021,86,LIONROCK,2021-10-09 06:00:00,19.9,110.0,994,960.8937377929688,16.5,112.25,992.7926635742188,19.5,110.5
2021276N07131,2021,86,LIONROCK,2021-10-09 09:00:00,20.0,109.8, ,,20.0,109.8,992.7926635742188,19.5,110.5
2021276N07131,2021,86,LIONROCK,2021-10-09 12:00:00,20.1,109.6,994,957.6046142578125,16.5,112.25,994.2919311523438,20.0,110.0
2021276N07131,2021,86,LIONROCK,2021-10-09 15:00:00,20.2,109.2, ,,20.2,109.2,994.2919311523438,20.0,110.0
2021276N07131,2021,86,LIONROCK,2021-10-09 18:00:00,20.4,108.7,996,954.2206420898438,16.5,112.25,994.33837890625,20.5,109.0
2021276N07131,2021,86,LIONROCK,2021-10-09 21:00:00,20.5,108.3, ,,20.5,108.3,994.33837890625,20.5,109.0
2021276N07131,2021,86,LIONROCK,2021-10-10 00:00:00,20.6,107.9,998,953.177001953125,16.75,110.25,995.2227172851562,20.5,107.5
2021276N07131,2021,86,LIONROCK,2021-10-10 03:00:00,20.7,107.4, ,,20.7,107.4,995.2227172851562,20.5,107.5
2021276N07131,2021,86,LIONROCK,2021-10-10 06:00:00,20.7,106.9,1000,950.0144653320312,16.75,110.25,996.2137451171875,20.0,106.5
2021276N07131,2021,86,LIONROCK,2021-10-10 09:00:00,20.7,106.6, ,,20.7,106.6,996.2137451171875,20.0,106.5
2021276N07131,2021,86,LIONROCK,2021-10-10 12:00:00,20.6,106.3,1002,947.136474609375,16.75,110.25,999.6777954101562,20.0,106.0
2021276N07131,2021,86,LIONROCK,2021-10-10 15:00:00,20.4,105.9, ,,20.4,105.9,999.6777954101562,20.0,106.0
2021276N07131,2021,86,LIONROCK,2021-10-10 18:00:00,20.2,105.5,1004,950.3306884765625,18.5,108.25,1003.959228515625,18.5,102.5
2021280N14137,2021,88,KOMPASU,2021-10-07 00:00:00,13.7,136.5,1002,998.536376953125,14.5,138.25,1004.2841186523438,13.5,138.5
2021280N14137,2021,88,KOMPASU,2021-10-07 03:00:00,13.7,136.1, ,,13.7,136.1,1004.2841186523438,13.5,138.5
2021280N14137,2021,88,KOMPASU,2021-10-07 06:00:00,13.7,135.7,1002,994.3696899414062,14.5,138.25,1001.1409301757812,16.5,137.5
2021280N14137,2021,88,KOMPASU,2021-10-07 09:00:00,13.7,135.2, ,,13.7,135.2,1001.1409301757812,16.5,137.5
2021280N14137,2021,88,KOMPASU,2021-10-07 12:00:00,13.8,134.8,1002,990.4639282226562,14.5,138.25,1002.830078125,13.0,133.0
