SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024220N25141,2024,39,MARIA,2024-08-12 06:00:00,39.8,141.0, ,,39.8,141.0,1001.1088256835938,40.0,139.0
2024220N25141,2024,39,MARIA,2024-08-12 09:00:00,40.1,140.4, ,,40.1,140.4,1001.1088256835938,40.0,139.0
2024220N25141,2024,39,MARIA,2024-08-12 12:00:00,40.3,139.8, ,993.8004760742188,40.0,140.0,1001.1088256835938,40.0,139.0
2024220N25141,2024,39,MARIA,2024-08-12 15:00:00,40.5,139.2, ,,40.5,139.2,1001.1088256835938,40.0,139.0
2024220N25141,2024,39,MARIA,2024-08-12 18:00:00,40.8,138.8, ,990.2267456054688,40.0,140.0,1001.71826171875,41.0,139.0
2024220N25141,2024,39,MARIA,2024-08-12 21:00:00,41.2,138.7, ,,41.2,138.7,1001.71826171875,41.0,139.0
2024220N25141,2024,39,MARIA,2024-08-13 00:00:00,41.7,138.9, ,996.6783447265625,44.75,140.25,1003.610595703125,41.5,139.0
2024225N32152,2024,41,SON-TINH,2024-08-12 06:00:00,32.4,151.5, ,,32.4,151.5,1000.4463500976562,33.0,150.5
2024225N32152,2024,41,SON-TINH,2024-08-12 09:00:00,32.7,150.9, ,,32.7,150.9,1000.4463500976562,33.0,150.5
2024225N32152,2024,41,SON-TINH,2024-08-12 12:00:00,33.0,150.4, ,996.0617065429688,32.5,152.0,1000.4463500976562,33.0,150.5
2024225N32152,2024,41,SON-TINH,2024-08-12 15:00:00,33.5,150.0, ,,33.5,150.0,1000.4463500976562,33.0,150.5
2024225N32152,2024,41,SON-TINH,2024-08-12 18:00:00,34.1,149.5, ,992.1084594726562,32.5,152.25,1001.38330078125,34.5,149.0
2024225N32152,2024,41,SON-TINH,2024-08-12 21:00:00,34.7,148.7, ,,34.7,148.7,1001.38330078125,34.5,149.0
2024225N32152,2024,41,SON-TINH,2024-08-13 00:00:00,35.3,147.9, ,1000.9004516601562,38.75,144.25,1004.0656127929688,35.0,148.0
