SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022247N26147,2022,66,MUIFA,2022-09-10 12:00:00,21.7,125.5,965,989.10400390625,21.0,126.0,986.2550048828125,21.5,125.5
2022247N26147,2022,66,MUIFA,2022-09-10 15:00:00,22.0,125.2, ,,22.0,125.2,986.2550048828125,21.5,125.5
2022247N26147,2022,66,MUIFA,2022-09-10 18:00:00,22.2,124.9,960,985.4986572265625,21.0,126.0,984.696533203125,22.0,125.0
2022247N26147,2022,66,MUIFA,2022-09-10 21:00:00,22.4,124.6, ,,22.4,124.6,984.696533203125,22.0,125.0
2022247N26147,2022,66,MUIFA,2022-09-11 00:00:00,22.6,124.5,950,981.9249267578125,20.75,126.0,984.600341796875,22.5,124.5
2022247N26147,2022,66,MUIFA,2022-09-11 03:00:00,22.7,124.4,950,,22.7,124.4,984.600341796875,22.5,124.5
2022247N26147,2022,66,MUIFA,2022-09-11 06:00:00,22.9,124.4,950,978.2246704101562,20.75,126.0,980.1740112304688,23.0,124.0
2022247N26147,2022,66,MUIFA,2022-09-11 09:00:00,23.1,124.3,950,,23.1,124.3,980.1740112304688,23.0,124.0
2022247N26147,2022,66,MUIFA,2022-09-11 12:00:00,23.3,124.3,955,974.7775268554688,20.75,126.0,978.6373291015625,23.5,124.0
2022247N26147,2022,66,MUIFA,2022-09-11 15:00:00,23.5,124.3,955,,23.5,124.3,978.6373291015625,23.5,124.0
2022247N26147,2022,66,MUIFA,2022-09-11 18:00:00,23.7,124.2,965,971.045654296875,20.75,126.25,976.6746215820312,24.0,123.5
2022247N26147,2022,66,MUIFA,2022-09-11 21:00:00,23.8,124.2,965,,23.8,124.2,976.6746215820312,24.0,123.5
2022247N26147,2022,66,MUIFA,2022-09-12 00:00:00,24.0,124.2,965,967.5035400390625,20.75,126.25,976.1907958984375,24.0,123.5
2022247N26147,2022,66,MUIFA,2022-09-12 03:00:00,24.4,124.1,965,,24.4,124.1,976.1907958984375,24.0,123.5
2022247N26147,2022,66,MUIFA,2022-09-12 06:00:00,24.7,124.0,965,963.8665771484375,20.75,126.25,972.2695922851562,24.5,123.5
