SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2011126N11129,2011,23,AERE,2011-05-07 00:00:00,12.6,126.7,996.0,1001.1534423828125,12.0,126.75,1000.0357666015625,13.0,126.5
2011126N11129,2011,23,AERE,2011-05-07 06:00:00,12.9,126.1,993.0,998.7893676757812,13.25,126.25,997.4873657226562,12.5,125.5
2011126N11129,2011,23,AERE,2011-05-07 12:00:00,13.3,125.4,989.0,999.9911499023438,13.25,125.5,997.803466796875,13.5,126.0
2011126N11129,2011,23,AERE,2011-05-07 18:00:00,13.6,124.7,989.0,997.832763671875,13.75,124.75,996.904296875,14.0,124.5
2011126N11129,2011,23,AERE,2011-05-08 00:00:00,14.0,124.2,985.0,999.95166015625,14.0,124.0,997.285888671875,14.5,124.5
2011126N11129,2011,23,AERE,2011-05-08 06:00:00,14.5,123.6,985.0,997.89599609375,15.25,123.75,994.2203369140625,15.0,123.5
2011126N11129,2011,23,AERE,2011-05-08 12:00:00,15.1,123.1,985.0,998.3624877929688,15.25,123.0,994.1351318359375,16.0,123.0
2011126N11129,2011,23,AERE,2011-05-08 18:00:00,15.6,122.9,985.0,997.8880615234375,15.75,122.75,994.7092895507812,17.0,122.5
2011126N11129,2011,23,AERE,2011-05-09 00:00:00,16.4,122.5,989.0,1001.9835815429688,17.25,122.75,996.0340576171875,18.5,121.5
2011126N11129,2011,23,AERE,2011-05-09 06:00:00,17.3,122.3,993.0,1000.8688354492188,17.75,121.5,993.9115600585938,19.0,121.0
2011126N11129,2011,23,AERE,2011-05-09 12:00:00,18.0,122.3,993.0,1002.99560546875,17.75,121.5,995.0804443359375,19.5,121.5
2011126N11129,2011,23,AERE,2011-05-09 18:00:00,19.2,122.3,993.0,1001.8096923828125,19.5,120.75,992.13525390625,20.5,121.5
2011126N11129,2011,23,AERE,2011-05-10 00:00:00,20.3,122.2,996.0,1003.5016479492188,20.0,122.0,993.0614624023438,21.5,122.5
2011126N11129,2011,23,AERE,2011-05-10 06:00:00,21.2,122.9,996.0,1001.042724609375,21.25,123.0,990.0604858398438,22.5,123.0
2011126N11129,2011,23,AERE,2011-05-10 12:00:00,22.3,124.0,996.0,1000.69482421875,21.75,123.0,990.7360229492188,23.5,124.0
2011126N11129,2011,23,AERE,2011-05-10 18:00:00,23.5,124.9,996.0,1000.0307006835938,23.25,123.75,988.0878295898438,25.0,125.0
2011126N11129,2011,23,AERE,2011-05-11 00:00:00,25.1,126.2,996.0,1000.568359375,24.0,124.75,989.3484497070312,26.0,126.5
2011126N11129,2011,23,AERE,2011-05-11 06:00:00,26.6,127.7,996.0,1000.5367431640625,25.25,125.75,992.8367919921875,28.0,128.5
2011126N11129,2011,23,AERE,2011-05-11 12:00:00,28.3,129.6,997.0,1001.9835815429688,27.25,126.75,995.5941162109375,29.0,130.5
2011126N11129,2011,23,AERE,2011-05-11 18:00:00,29.9,132.0,996.0,1001.082275390625,28.0,128.5,995.8224487304688,30.5,133.0
2011126N11129,2011,23,AERE,2011-05-12 00:00:00,31.2,134.5,996.0,993.974365234375,31.5,132.5,996.548583984375,32.5,136.0
