SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015263N14148,2015,81,DUJUAN,2015-09-26 06:00:00,21.6,129.7,952.0,,21.6,129.7,941.47802734375,22.0,129.0
2015263N14148,2015,81,DUJUAN,2015-09-26 12:00:00,22.0,128.9,944.0,973.1329956054688,21.75,129.25,941.47802734375,22.0,129.0
2015263N14148,2015,81,DUJUAN,2015-09-26 18:00:00,22.2,128.1,929.0,971.994384765625,22.0,128.75,948.5064697265625,22.0,128.5
2015263N14148,2015,81,DUJUAN,2015-09-27 00:00:00,22.3,127.5,929.0,972.7218017578125,22.25,128.0,949.95751953125,22.5,127.5
2015263N14148,2015,81,DUJUAN,2015-09-27 06:00:00,22.5,126.7,929.0,969.3378295898438,22.5,127.25,945.0840454101562,22.5,127.0
2015263N14148,2015,81,DUJUAN,2015-09-27 12:00:00,22.7,125.9,929.0,969.87548828125,22.75,126.75,935.2171020507812,23.0,126.0
2015263N14148,2015,81,DUJUAN,2015-09-27 18:00:00,23.0,124.9,926.0,966.934326171875,23.0,125.5,933.65380859375,23.5,125.0
2015263N14148,2015,81,DUJUAN,2015-09-28 00:00:00,23.3,123.9,929.0,967.5035400390625,23.5,124.75,932.7027587890625,24.0,124.0
2015263N14148,2015,81,DUJUAN,2015-09-28 06:00:00,24.0,122.9,933.0,967.66162109375,24.0,123.5,944.0968017578125,24.5,123.0
2015263N14148,2015,81,DUJUAN,2015-09-28 12:00:00,24.2,121.1,948.0,977.6238403320312,24.0,122.0,975.5217895507812,24.0,121.5
2015263N14148,2015,81,DUJUAN,2015-09-28 18:00:00,24.2,120.1,956.0,983.0317993164062,24.5,120.5,981.423828125,24.5,120.0
2015263N14148,2015,81,DUJUAN,2015-09-29 00:00:00,25.0,119.1,967.0,989.372802734375,24.75,119.75,987.4893798828125,25.0,119.5
2015263N14148,2015,81,DUJUAN,2015-09-29 06:00:00,25.5,117.8,982.0,994.796630859375,25.25,118.5,995.8111572265625,26.0,118.0
2015263N14148,2015,81,DUJUAN,2015-09-29 12:00:00,26.3,116.6,989.0,979.5213012695312,21.75,122.0,1001.6487426757812,26.5,116.0
