SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2008169N08135,2008,31,FENGSHEN,2008-06-18 18:00:00,9.6,131.6,996.0,1003.1458740234375,9.5,131.5,1001.5398559570312,9.5,131.5
2008169N08135,2008,31,FENGSHEN,2008-06-19 00:00:00,9.8,131.0,989.0,1003.5095825195312,9.75,130.75,1000.6785278320312,10.0,130.5
2008169N08135,2008,31,FENGSHEN,2008-06-19 06:00:00,10.2,129.9,989.0,1000.8845825195312,10.0,129.75,996.99560546875,10.5,130.0
2008169N08135,2008,31,FENGSHEN,2008-06-19 12:00:00,10.4,128.8,982.0,1001.2957763671875,10.0,128.75,996.9798583984375,10.5,129.0
2008169N08135,2008,31,FENGSHEN,2008-06-19 18:00:00,10.7,127.7,974.0,999.3191528320312,11.25,128.0,993.17041015625,11.0,128.5
2008169N08135,2008,31,FENGSHEN,2008-06-20 00:00:00,11.1,126.6,970.0,999.3824462890625,11.25,127.0,993.5108642578125,11.5,127.5
2008169N08135,2008,31,FENGSHEN,2008-06-20 06:00:00,11.5,125.4,967.0,996.8364868164062,11.75,126.5,989.4978637695312,12.0,127.0
2008169N08135,2008,31,FENGSHEN,2008-06-20 12:00:00,11.7,124.3,963.0,999.95166015625,11.75,126.0,987.40966796875,12.5,126.5
2008169N08135,2008,31,FENGSHEN,2008-06-20 18:00:00,11.7,123.5,952.0,997.5006103515625,12.0,124.75,978.6464233398438,13.0,126.0
2008169N08135,2008,31,FENGSHEN,2008-06-21 00:00:00,11.9,122.7,941.0,1000.4339599609375,12.5,124.0,984.2132568359375,13.5,126.0
2008169N08135,2008,31,FENGSHEN,2008-06-21 06:00:00,12.3,122.3,948.0,997.5955200195312,13.25,123.0,973.349853515625,13.5,125.5
2008169N08135,2008,31,FENGSHEN,2008-06-21 12:00:00,12.9,121.9,959.0,998.4177856445312,13.5,123.0,977.19384765625,14.0,125.5
2008169N08135,2008,31,FENGSHEN,2008-06-21 18:00:00,13.9,121.6,963.0,997.627197265625,13.75,122.75,968.8825073242188,14.5,125.0
2008169N08135,2008,31,FENGSHEN,2008-06-22 00:00:00,14.7,121.0,967.0,998.9949951171875,15.25,122.25,967.353271484375,15.0,125.0
2008169N08135,2008,31,FENGSHEN,2008-06-22 06:00:00,15.5,120.4,978.0,997.8565063476562,17.75,120.25,966.3110961914062,15.5,125.0
2008169N08135,2008,31,FENGSHEN,2008-06-22 12:00:00,16.1,119.5,978.0,997.0657958984375,18.0,120.25,965.5184326171875,16.0,124.5
2008169N08135,2008,31,FENGSHEN,2008-06-22 18:00:00,16.4,118.4,978.0,995.824462890625,17.5,118.75,962.8189697265625,16.5,124.5
2008169N08135,2008,31,FENGSHEN,2008-06-23 00:00:00,17.0,117.7,978.0,995.8956298828125,17.5,118.75,965.3785400390625,17.0,124.5
2008169N08135,2008,31,FENGSHEN,2008-06-23 06:00:00,17.5,117.1,978.0,993.768798828125,18.0,118.75,962.3189697265625,17.5,124.0
2008169N08135,2008,31,FENGSHEN,2008-06-23 12:00:00,18.0,116.6,982.0,996.765380859375,19.5,118.25,965.7507934570312,18.0,124.0
2008169N08135,2008,31,FENGSHEN,2008-06-23 18:00:00,18.7,116.2,982.0,,18.7,116.2,963.0574340820312,18.5,123.5
