SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013272N10135,2013,70,FITOW,2013-10-04 06:00:00,22.7,129.6,963.0,,22.7,129.6,958.532958984375,23.5,129.0
2013272N10135,2013,70,FITOW,2013-10-04 12:00:00,23.3,129.2,959.0,959.1226806640625,23.0,129.25,958.532958984375,23.5,129.0
2013272N10135,2013,70,FITOW,2013-10-04 18:00:00,23.7,128.5,956.0,965.9222412109375,23.75,128.5,957.74658203125,23.5,128.5
2013272N10135,2013,70,FITOW,2013-10-05 00:00:00,24.4,127.7,956.0,965.068359375,24.0,127.75,954.9063110351562,24.0,127.5
2013272N10135,2013,70,FITOW,2013-10-05 06:00:00,24.7,126.9,956.0,965.3845825195312,24.5,127.0,954.000732421875,24.5,127.0
2013272N10135,2013,70,FITOW,2013-10-05 12:00:00,25.0,125.9,956.0,967.5984497070312,25.0,126.25,950.7423706054688,25.0,126.0
2013272N10135,2013,70,FITOW,2013-10-05 18:00:00,25.4,124.9,959.0,967.5035400390625,25.25,125.0,952.8270263671875,25.5,125.0
2013272N10135,2013,70,FITOW,2013-10-06 00:00:00,25.7,123.7,963.0,971.6149291992188,25.5,124.0,952.9654541015625,25.5,124.0
2013272N10135,2013,70,FITOW,2013-10-06 06:00:00,26.1,122.9,963.0,973.2594604492188,26.0,123.0,951.951171875,26.0,123.0
2013272N10135,2013,70,FITOW,2013-10-06 12:00:00,26.8,121.8,967.0,980.2171020507812,26.75,121.75,956.936767578125,27.0,122.0
2013272N10135,2013,70,FITOW,2013-10-06 18:00:00,27.1,120.3,982.0,979.964111328125,22.75,120.0,961.0828247070312,27.5,121.0
