SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2014260N13135,2014,67,FUNG-WONG,2014-09-18 18:00:00,16.8,124.1,996.0,991.096435546875,16.25,124.0,991.49755859375,17.0,124.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 00:00:00,17.9,122.6,996.0,993.152099609375,17.25,122.5,992.8365478515625,17.5,122.5
2014260N13135,2014,67,FUNG-WONG,2014-09-19 06:00:00,18.6,121.3,996.0,988.9774780273438,17.75,120.25,990.8670043945312,18.5,121.5
2014260N13135,2014,67,FUNG-WONG,2014-09-19 12:00:00,18.6,120.3,996.0,989.1356201171875,17.5,119.25,989.0148315429688,18.5,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 18:00:00,18.5,120.1,993.0,984.7870483398438,17.75,118.75,986.3185424804688,19.0,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 00:00:00,19.3,119.8,993.0,986.1152954101562,19.0,118.25,986.700439453125,20.0,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 06:00:00,20.1,119.7,993.0,981.4188842773438,19.75,118.0,983.7916259765625,21.0,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 12:00:00,20.6,119.7,981.0,980.1539306640625,20.25,118.0,983.62744140625,22.0,120.5
2014260N13135,2014,67,FUNG-WONG,2014-09-20 18:00:00,21.3,120.0,989.0,978.7149047851562,21.25,118.0,986.7568969726562,24.0,120.5
2014260N13135,2014,67,FUNG-WONG,2014-09-21 00:00:00,21.8,120.3,985.0,980.7547607421875,22.0,118.0,988.2335205078125,25.5,121.5
2014260N13135,2014,67,FUNG-WONG,2014-09-21 06:00:00,22.7,121.3,985.0,981.4346923828125,23.25,118.5,982.7322387695312,26.0,122.0
2014260N13135,2014,67,FUNG-WONG,2014-09-21 12:00:00,24.2,121.9,985.0,987.6175537109375,24.0,118.75,983.5630493164062,27.5,123.5
2014260N13135,2014,67,FUNG-WONG,2014-09-21 18:00:00,26.0,122.0,985.0,993.3023681640625,25.25,119.25,979.0081787109375,28.5,124.5
2014260N13135,2014,67,FUNG-WONG,2014-09-22 00:00:00,27.3,122.0,989.0,1000.6632690429688,26.0,120.0,977.5364990234375,29.5,125.5
2014260N13135,2014,67,FUNG-WONG,2014-09-22 06:00:00,28.3,122.0,989.0,1002.3314819335938,27.75,120.75,975.52685546875,30.0,126.0
2014260N13135,2014,67,FUNG-WONG,2014-09-22 12:00:00,29.1,122.1,993.0,1004.735107421875,27.75,120.75,974.7447509765625,30.5,126.5
2014260N13135,2014,67,FUNG-WONG,2014-09-22 18:00:00,29.8,122.0,993.0,1004.5374145507812,29.75,120.75,973.9639892578125,31.0,127.0
2014260N13135,2014,67,FUNG-WONG,2014-09-23 00:00:00,30.5,121.7,996.0,1005.519775390625,29.25,116.75,975.390869140625,31.5,127.0
