SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015226N12151,2015,60,GONI,2015-08-19 18:00:00,18.9,126.1,937.0,967.5984497070312,19.0,126.5,946.5618896484375,19.0,126.5
2015226N12151,2015,60,GONI,2015-08-20 00:00:00,18.9,125.3,937.0,966.934326171875,19.0,125.5,935.360595703125,19.0,125.5
2015226N12151,2015,60,GONI,2015-08-20 06:00:00,18.9,124.7,941.0,963.5819702148438,19.25,124.75,934.4136962890625,19.0,125.0
2015226N12151,2015,60,GONI,2015-08-20 12:00:00,19.0,124.0,944.0,963.6451416015625,19.25,124.0,931.712890625,19.0,124.5
2015226N12151,2015,60,GONI,2015-08-20 18:00:00,19.1,123.2,948.0,963.5819702148438,19.25,123.25,932.9746704101562,19.0,124.0
2015226N12151,2015,60,GONI,2015-08-21 00:00:00,19.2,122.9,952.0,966.3016967773438,19.5,122.75,924.6802978515625,19.5,124.0
2015226N12151,2015,60,GONI,2015-08-21 06:00:00,19.3,122.4,956.0,967.8197631835938,19.5,122.25,924.093994140625,20.0,123.5
2015226N12151,2015,60,GONI,2015-08-21 12:00:00,19.4,122.4,959.0,969.6857299804688,19.5,122.0,924.0957641601562,20.0,123.5
2015226N12151,2015,60,GONI,2015-08-21 18:00:00,19.6,122.5,963.0,970.6660766601562,19.75,122.0,919.8662719726562,21.0,123.5
2015226N12151,2015,60,GONI,2015-08-22 00:00:00,20.1,122.6,963.0,974.619384765625,20.0,122.0,915.0057983398438,21.5,123.5
2015226N12151,2015,60,GONI,2015-08-22 06:00:00,20.7,122.7,963.0,977.3233642578125,20.75,122.0,923.1370849609375,22.5,123.5
2015226N12151,2015,60,GONI,2015-08-22 12:00:00,21.4,123.1,967.0,979.07861328125,21.5,122.0,921.687744140625,23.0,123.5
2015226N12151,2015,60,GONI,2015-08-22 18:00:00,22.3,123.2,970.0,981.7193603515625,22.5,122.0,928.292236328125,24.0,123.5
2015226N12151,2015,60,GONI,2015-08-23 00:00:00,23.2,123.3,963.0,982.2411499023438,23.75,122.25,932.2846069335938,24.5,123.5
2015226N12151,2015,60,GONI,2015-08-23 06:00:00,23.8,123.5,956.0,983.253173828125,23.75,122.0,932.9735107421875,25.0,124.0
2015226N12151,2015,60,GONI,2015-08-23 12:00:00,24.5,124.0,944.0,985.1349487304688,25.5,122.75,933.5996704101562,26.0,124.5
2015226N12151,2015,60,GONI,2015-08-23 18:00:00,25.2,124.6,937.0,984.7870483398438,26.0,124.0,948.7039794921875,26.5,125.5
2015226N12151,2015,60,GONI,2015-08-24 00:00:00,26.2,125.9,937.0,983.4113159179688,27.75,124.75,945.2394409179688,28.0,126.0
2015226N12151,2015,60,GONI,2015-08-24 06:00:00,27.9,127.4,937.0,980.8021850585938,29.75,126.0,940.9330444335938,28.5,127.0
2015226N12151,2015,60,GONI,2015-08-24 12:00:00,29.6,128.8,941.0,984.09130859375,31.5,126.75,937.9115600585938,29.5,127.5
2015226N12151,2015,60,GONI,2015-08-24 18:00:00,31.6,130.0,941.0,985.1981811523438,33.25,127.0,933.8030395507812,30.5,128.5
2015226N12151,2015,60,GONI,2015-08-25 00:00:00,33.9,130.5,959.0,988.8668212890625,34.0,128.0,941.083984375,31.5,129.0
2015226N12151,2015,60,GONI,2015-08-25 06:00:00,35.2,131.0,974.0,990.5587768554688,36.0,130.0,946.9449462890625,33.0,129.5
2015226N12151,2015,60,GONI,2015-08-25 12:00:00,36.5,131.8,985.0,993.2549438476562,37.25,129.75,960.2228393554688,34.0,129.5
2015226N12151,2015,60,GONI,2015-08-25 18:00:00,37.8,132.6,985.0,993.357666015625,38.0,130.0,964.6249389648438,35.0,130.0
2015226N12151,2015,60,GONI,2015-08-26 00:00:00,39.1,133.5,989.0,1005.8735961914062,34.0,126.0,969.6553955078125,36.0,129.5
