SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2014334N02156,2014,86,HAGUPIT,2014-12-04 12:00:00,11.0,131.3,911.0,989.2146606445312,10.75,131.75,979.565673828125,11.0,131.0
2014334N02156,2014,86,HAGUPIT,2014-12-04 18:00:00,11.4,130.4,914.0,986.1785888671875,11.25,130.5,973.897705078125,11.5,130.5
2014334N02156,2014,86,HAGUPIT,2014-12-05 00:00:00,11.7,129.7,918.0,987.032470703125,11.5,129.5,965.9573974609375,11.5,129.5
2014334N02156,2014,86,HAGUPIT,2014-12-05 06:00:00,11.9,129.0,922.0,982.77880859375,11.75,128.75,966.4690551757812,11.5,129.0
2014334N02156,2014,86,HAGUPIT,2014-12-05 12:00:00,12.0,128.5,926.0,984.518310546875,11.75,128.0,965.0853881835938,11.5,128.5
2014334N02156,2014,86,HAGUPIT,2014-12-05 18:00:00,12.0,128.0,929.0,981.6560668945312,11.75,127.25,967.8663330078125,11.5,128.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 00:00:00,12.0,127.4,933.0,984.1071166992188,11.5,126.75,964.6967163085938,11.5,127.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 06:00:00,12.1,126.6,937.0,983.474609375,11.5,126.0,964.95263671875,11.5,126.5
2014334N02156,2014,86,HAGUPIT,2014-12-06 12:00:00,12.0,125.9,941.0,989.6416625976562,11.25,125.0,973.5187377929688,11.5,126.0
2014334N02156,2014,86,HAGUPIT,2014-12-06 18:00:00,11.9,125.3,948.0,991.033203125,11.25,124.75,972.9053955078125,11.5,125.0
2014334N02156,2014,86,HAGUPIT,2014-12-07 00:00:00,11.9,124.7,956.0,995.3817138671875,11.25,123.75,974.4492797851562,11.5,124.0
2014334N02156,2014,86,HAGUPIT,2014-12-07 06:00:00,12.2,124.1,959.0,994.630615234375,11.25,123.5,977.5396728515625,11.5,123.5
2014334N02156,2014,86,HAGUPIT,2014-12-07 12:00:00,12.5,123.6,967.0,996.7416381835938,11.5,123.0,985.9804077148438,12.0,122.5
2014334N02156,2014,86,HAGUPIT,2014-12-07 18:00:00,12.9,123.1,974.0,995.9905395507812,11.75,122.0,979.2542114257812,12.0,122.0
2014334N02156,2014,86,HAGUPIT,2014-12-08 00:00:00,13.3,122.5,978.0,999.1688842773438,12.0,121.25,986.1892700195312,12.5,121.5
2014334N02156,2014,86,HAGUPIT,2014-12-08 06:00:00,13.6,121.9,985.0,998.085693359375,12.0,120.75,985.687255859375,12.5,121.0
2014334N02156,2014,86,HAGUPIT,2014-12-08 12:00:00,13.8,121.3,985.0,1000.9320068359375,12.0,120.0,990.9299926757812,13.0,120.5
2014334N02156,2014,86,HAGUPIT,2014-12-08 18:00:00,13.8,120.9,993.0,1000.465576171875,12.0,118.75,988.4785766601562,13.0,120.0
2014334N02156,2014,86,HAGUPIT,2014-12-09 00:00:00,13.7,120.5,993.0,1002.5449829101562,13.0,118.5,992.2927856445312,13.0,120.0
2014334N02156,2014,86,HAGUPIT,2014-12-09 06:00:00,13.5,119.6,993.0,1001.3076782226562,13.25,117.5,982.66650390625,13.5,119.5
2014334N02156,2014,86,HAGUPIT,2014-12-09 12:00:00,13.5,118.7,993.0,1004.015625,13.25,116.75,988.7008056640625,13.5,119.5
2014334N02156,2014,86,HAGUPIT,2014-12-09 18:00:00,13.5,117.7,989.0,1004.039306640625,13.25,115.75,987.0289916992188,13.5,119.0
2014334N02156,2014,86,HAGUPIT,2014-12-10 00:00:00,13.6,116.9,989.0,1005.8933715820312,13.25,115.0,987.965576171875,13.5,118.0
2014334N02156,2014,86,HAGUPIT,2014-12-10 06:00:00,13.7,116.1,989.0,1005.478271484375,11.75,114.25,984.348388671875,13.5,117.5
2014334N02156,2014,86,HAGUPIT,2014-12-10 12:00:00,13.7,115.2,996.0,1002.4302978515625,15.75,110.75,983.738037109375,13.5,116.5
