SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013306N07162,2013,89,HAIYAN,2013-11-06 00:00:00,7.3,139.7,926.0,995.9984130859375,7.25,139.75,992.4720458984375,7.5,139.5
2013306N07162,2013,89,HAIYAN,2013-11-06 06:00:00,7.6,138.0,922.0,990.8750610351562,7.5,138.25,983.99169921875,7.5,138.0
2013306N07162,2013,89,HAIYAN,2013-11-06 12:00:00,7.9,136.2,911.0,992.3615112304688,8.0,136.75,980.7882690429688,8.0,136.5
2013306N07162,2013,89,HAIYAN,2013-11-06 18:00:00,8.2,134.4,907.0,987.7599487304688,8.25,135.0,972.2252197265625,8.5,135.0
2013306N07162,2013,89,HAIYAN,2013-11-07 00:00:00,8.7,132.8,907.0,987.854736328125,9.0,133.25,977.4697875976562,9.0,133.5
2013306N07162,2013,89,HAIYAN,2013-11-07 06:00:00,9.3,131.1,903.0,983.474609375,9.5,131.5,969.0889282226562,10.0,131.5
2013306N07162,2013,89,HAIYAN,2013-11-07 12:00:00,10.2,129.1,895.0,985.9730224609375,10.25,129.75,961.286376953125,10.5,130.0
2013306N07162,2013,89,HAIYAN,2013-11-07 18:00:00,10.6,126.9,895.0,980.7547607421875,11.0,127.5,956.8623657226562,11.0,128.5
2013306N07162,2013,89,HAIYAN,2013-11-08 00:00:00,11.0,124.8,899.0,984.6130981445312,11.5,125.75,952.3407592773438,11.5,126.5
2013306N07162,2013,89,HAIYAN,2013-11-08 06:00:00,11.4,122.6,914.0,984.99267578125,12.0,123.5,958.7400512695312,12.0,124.5
2013306N07162,2013,89,HAIYAN,2013-11-08 12:00:00,11.9,120.5,926.0,989.8945922851562,12.25,121.75,961.9140625,12.5,122.5
2013306N07162,2013,89,HAIYAN,2013-11-08 18:00:00,12.3,118.0,933.0,988.2343139648438,12.5,119.5,969.767578125,13.0,120.5
2013306N07162,2013,89,HAIYAN,2013-11-09 00:00:00,12.5,116.5,937.0,988.882568359375,13.25,117.75,978.09521484375,13.0,118.5
2013306N07162,2013,89,HAIYAN,2013-11-09 06:00:00,13.5,114.7,944.0,985.1981811523438,13.75,116.0,974.2637329101562,13.5,117.0
2013306N07162,2013,89,HAIYAN,2013-11-09 12:00:00,14.5,113.1,948.0,988.1552124023438,14.5,114.25,972.0758056640625,14.5,115.0
2013306N07162,2013,89,HAIYAN,2013-11-09 18:00:00,15.4,111.5,952.0,985.8465576171875,15.5,112.75,969.4769287109375,15.0,113.0
2013306N07162,2013,89,HAIYAN,2013-11-10 00:00:00,16.5,110.2,956.0,986.779541015625,16.0,111.25,971.3328247070312,15.5,111.5
2013306N07162,2013,89,HAIYAN,2013-11-10 06:00:00,17.9,109.1,963.0,986.0362548828125,17.0,110.0,971.4697875976562,16.0,110.0
2013306N07162,2013,89,HAIYAN,2013-11-10 12:00:00,19.3,108.0,963.0,987.1748657226562,17.75,108.75,969.3812255859375,16.5,109.0
2013306N07162,2013,89,HAIYAN,2013-11-10 18:00:00,20.4,107.4,970.0,990.400634765625,18.5,107.75,971.826171875,17.0,107.5
2013306N07162,2013,89,HAIYAN,2013-11-11 00:00:00,21.6,107.3,978.0,1000.876708984375,19.75,106.75,976.5079956054688,17.5,106.5
