SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2008268N12140,2008,68,JANGMI,2008-09-26 06:00:00,16.9,128.9,952.0,,16.9,128.9,981.2288208007812,18.0,128.0
2008268N12140,2008,68,JANGMI,2008-09-26 12:00:00,17.7,128.0,944.0,982.304443359375,17.75,128.25,981.2288208007812,18.0,128.0
2008268N12140,2008,68,JANGMI,2008-09-26 18:00:00,18.7,127.2,933.0,978.857177734375,18.5,127.0,979.1884155273438,19.0,127.5
2008268N12140,2008,68,JANGMI,2008-09-27 00:00:00,19.6,126.5,922.0,977.1177978515625,19.0,126.0,977.499755859375,20.0,126.0
2008268N12140,2008,68,JANGMI,2008-09-27 06:00:00,20.7,125.6,918.0,973.3226318359375,19.75,125.25,976.8599853515625,21.0,125.0
2008268N12140,2008,68,JANGMI,2008-09-27 12:00:00,21.3,124.4,918.0,974.39794921875,20.25,124.25,976.7929077148438,21.0,124.0
2008268N12140,2008,68,JANGMI,2008-09-27 18:00:00,21.7,123.7,922.0,971.172119140625,21.0,123.25,977.7689819335938,21.5,123.0
2008268N12140,2008,68,JANGMI,2008-09-28 00:00:00,22.8,123.2,926.0,972.4371948242188,21.5,122.75,981.3591918945312,22.5,122.5
2008268N12140,2008,68,JANGMI,2008-09-28 06:00:00,23.9,122.4,937.0,975.8527221679688,22.25,122.0,982.6592407226562,23.5,122.0
2008268N12140,2008,68,JANGMI,2008-09-28 12:00:00,24.2,121.4,959.0,984.296875,23.75,120.5,989.1161499023438,24.5,120.5
2008268N12140,2008,68,JANGMI,2008-09-28 18:00:00,24.8,121.3,967.0,985.9572143554688,24.0,120.25,990.4307250976562,23.5,120.0
2008268N12140,2008,68,JANGMI,2008-09-29 00:00:00,25.6,121.1,978.0,992.1558837890625,24.25,120.0,993.6663818359375,24.0,120.0
2008268N12140,2008,68,JANGMI,2008-09-29 06:00:00,26.5,121.5,982.0,996.41748046875,25.75,120.25,993.3152465820312,24.5,119.5
2008268N12140,2008,68,JANGMI,2008-09-29 12:00:00,27.2,122.0,985.0,1001.0269775390625,25.75,120.25,996.3407592773438,25.0,119.5
2008268N12140,2008,68,JANGMI,2008-09-29 18:00:00,27.8,122.8,989.0,1002.7150268554688,24.0,122.0,1001.6329956054688,25.5,119.0
2008268N12140,2008,68,JANGMI,2008-09-30 00:00:00,28.7,123.9,989.0,1005.7728271484375,24.0,122.0,1005.8510131835938,25.5,119.5
2008268N12140,2008,68,JANGMI,2008-09-30 06:00:00,29.5,125.1,993.0,1005.2648315429688,23.25,121.75,1005.181396484375,24.0,122.0
2008268N12140,2008,68,JANGMI,2008-09-30 12:00:00,29.8,126.7,993.0,1009.2536010742188,23.0,121.5,1007.36767578125,26.0,120.0
2008268N12140,2008,68,JANGMI,2008-09-30 18:00:00,29.9,128.4,996.0,1008.8533325195312,21.75,122.75,1007.0831298828125,24.0,122.0
2008268N12140,2008,68,JANGMI,2008-10-01 00:00:00,29.9,130.4,996.0,1000.8688354492188,23.75,122.0,1008.9765625,22.5,121.5
