SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2008193N20126,2008,37,KALMAEGI,2008-07-15 12:00:00,18.1,123.6,996.0,998.8922119140625,19.25,124.0,996.1936645507812,19.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-15 18:00:00,18.3,123.6,993.0,996.7574462890625,19.25,123.5,995.3145141601562,19.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 00:00:00,18.8,123.8,985.0,996.4885864257812,19.5,123.25,995.9269409179688,19.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 06:00:00,19.3,123.8,982.0,994.9310913085938,19.75,123.0,994.6888427734375,20.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 12:00:00,20.4,123.5,982.0,995.579345703125,20.5,123.0,996.6886596679688,21.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-16 18:00:00,21.3,123.3,978.0,993.9427490234375,21.5,122.75,995.9940795898438,23.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 00:00:00,22.5,122.9,963.0,994.504150390625,22.0,122.5,997.87548828125,24.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 06:00:00,23.2,122.5,956.0,995.697998046875,23.25,122.25,997.87939453125,25.0,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-17 12:00:00,24.1,122.0,956.0,995.9351806640625,23.75,120.25,999.5003051757812,26.0,123.5
2008193N20126,2008,37,KALMAEGI,2008-07-17 18:00:00,24.7,121.5,967.0,995.4845581054688,25.25,121.0,1000.6339721679688,27.5,123.5
2008193N20126,2008,37,KALMAEGI,2008-07-18 00:00:00,25.3,121.2,982.0,996.8602294921875,25.25,120.0,1002.281494140625,28.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 06:00:00,26.2,120.5,985.0,996.6467895507812,25.75,120.0,1001.604248046875,29.5,124.0
2008193N20126,2008,37,KALMAEGI,2008-07-18 12:00:00,26.7,119.9,985.0,998.5838012695312,25.5,119.25,1002.6426391601562,30.5,124.5
2008193N20126,2008,37,KALMAEGI,2008-07-18 18:00:00,27.2,119.7,989.0,998.6076049804688,29.5,121.75,1003.0443725585938,31.5,125.0
