SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013237N11129,2013,52,KONG-REY,2013-08-26 18:00:00,17.7,124.0,996.0,997.8643798828125,18.0,124.25,998.011474609375,18.5,124.5
2013237N11129,2013,52,KONG-REY,2013-08-27 00:00:00,18.5,123.9,993.0,998.96337890625,19.0,123.75,998.2800903320312,19.0,123.5
2013237N11129,2013,52,KONG-REY,2013-08-27 06:00:00,19.4,123.9,993.0,996.3304443359375,19.5,123.5,996.22998046875,19.5,124.0
2013237N11129,2013,52,KONG-REY,2013-08-27 12:00:00,20.0,123.6,993.0,996.2039794921875,20.0,122.75,996.53515625,20.5,123.5
2013237N11129,2013,52,KONG-REY,2013-08-27 18:00:00,20.6,123.2,989.0,994.5120239257812,20.5,122.5,993.48828125,21.0,123.0
2013237N11129,2013,52,KONG-REY,2013-08-28 00:00:00,21.0,122.8,989.0,994.3696899414062,21.25,122.25,992.8435668945312,21.5,123.0
2013237N11129,2013,52,KONG-REY,2013-08-28 06:00:00,21.8,122.7,985.0,993.2469482421875,22.0,122.0,992.352294921875,22.5,123.0
2013237N11129,2013,52,KONG-REY,2013-08-28 12:00:00,22.7,122.7,985.0,995.3895874023438,24.0,120.25,993.7125244140625,24.0,123.0
2013237N11129,2013,52,KONG-REY,2013-08-28 18:00:00,23.7,122.6,985.0,994.6068725585938,25.0,121.0,995.205322265625,25.5,122.5
2013237N11129,2013,52,KONG-REY,2013-08-29 00:00:00,25.1,122.5,989.0,995.8956298828125,25.25,121.0,997.146728515625,26.5,122.0
2013237N11129,2013,52,KONG-REY,2013-08-29 06:00:00,26.1,122.3,993.0,995.0812377929688,25.5,120.25,995.685302734375,27.0,122.0
2013237N11129,2013,52,KONG-REY,2013-08-29 12:00:00,26.7,122.3,993.0,996.5914306640625,25.75,120.0,998.524658203125,28.0,122.5
2013237N11129,2013,52,KONG-REY,2013-08-29 18:00:00,27.4,122.7,996.0,996.2435302734375,26.0,120.0,997.8524169921875,29.0,123.5
2013237N11129,2013,52,KONG-REY,2013-08-30 00:00:00,28.7,123.5,996.0,1003.094482421875,24.0,116.0,999.4556884765625,30.5,125.0
