SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009121N13124,2009,24,KUJIRA,2009-05-02 12:00:00,13.4,124.5,997.0,1001.01904296875,13.5,124.75,1002.5939331054688,13.5,125.0
2009121N13124,2009,24,KUJIRA,2009-05-02 18:00:00,13.5,124.5,993.0,999.026611328125,13.5,124.75,1002.3495483398438,13.5,124.5
2009121N13124,2009,24,KUJIRA,2009-05-03 00:00:00,13.8,124.7,989.0,1000.465576171875,13.75,124.75,1004.6068725585938,13.5,124.5
2009121N13124,2009,24,KUJIRA,2009-05-03 06:00:00,14.1,125.1,990.0,1000.180908203125,14.0,125.0,1002.2008666992188,13.5,124.5
2009121N13124,2009,24,KUJIRA,2009-05-03 12:00:00,14.6,125.7,985.0,1001.556640625,15.0,125.5,1003.2865600585938,13.5,126.0
2009121N13124,2009,24,KUJIRA,2009-05-03 18:00:00,15.1,126.5,982.0,998.5601806640625,15.25,126.0,1000.325439453125,14.5,127.0
2009121N13124,2009,24,KUJIRA,2009-05-04 00:00:00,15.7,127.4,974.0,999.7698364257812,15.75,126.75,1001.7019653320312,15.0,127.0
2009121N13124,2009,24,KUJIRA,2009-05-04 06:00:00,16.3,128.5,967.0,998.43359375,15.75,127.0,998.5642700195312,15.0,128.0
2009121N13124,2009,24,KUJIRA,2009-05-04 12:00:00,16.8,129.6,944.0,999.4614868164062,16.0,128.75,998.5010986328125,15.5,129.0
2009121N13124,2009,24,KUJIRA,2009-05-04 18:00:00,17.2,131.1,937.0,999.1688842773438,16.5,129.75,994.9879150390625,15.5,130.0
2009121N13124,2009,24,KUJIRA,2009-05-05 00:00:00,17.6,132.7,937.0,1000.77392578125,17.0,131.0,995.6757202148438,15.5,131.0
2009121N13124,2009,24,KUJIRA,2009-05-05 06:00:00,18.3,134.0,941.0,997.9275512695312,17.0,132.25,992.023193359375,16.0,132.0
2009121N13124,2009,24,KUJIRA,2009-05-05 12:00:00,18.8,135.4,944.0,1000.236328125,17.25,133.5,993.4022827148438,16.0,133.0
2009121N13124,2009,24,KUJIRA,2009-05-05 18:00:00,19.5,136.9,944.0,1007.9520263671875,13.75,130.75,991.162841796875,16.5,134.0
