SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2010239N15118,2010,48,LIONROCK,2010-08-30 00:00:00,20.8,116.6,989.0,999.74609375,20.75,116.5,998.268798828125,21.0,117.0
2010239N15118,2010,48,LIONROCK,2010-08-30 06:00:00,20.8,116.8,985.0,997.8010864257812,21.0,117.0,994.1956176757812,21.0,117.0
2010239N15118,2010,48,LIONROCK,2010-08-30 12:00:00,20.7,117.1,982.0,998.1331787109375,21.0,117.0,994.9545288085938,20.5,117.5
2010239N15118,2010,48,LIONROCK,2010-08-30 18:00:00,20.6,117.3,982.0,997.0895385742188,21.0,117.0,994.0106201171875,20.5,117.5
2010239N15118,2010,48,LIONROCK,2010-08-31 00:00:00,20.4,117.6,978.0,997.8248291015625,21.0,117.5,992.93701171875,20.5,118.0
2010239N15118,2010,48,LIONROCK,2010-08-31 06:00:00,20.4,118.2,982.0,996.7732543945312,21.25,118.0,990.5291137695312,20.5,118.5
2010239N15118,2010,48,LIONROCK,2010-08-31 12:00:00,20.8,119.0,985.0,997.136962890625,21.25,118.25,989.7382202148438,20.5,119.0
2010239N15118,2010,48,LIONROCK,2010-08-31 18:00:00,21.5,119.4,985.0,996.7100219726562,21.5,118.5,988.7245483398438,21.5,119.5
2010239N15118,2010,48,LIONROCK,2010-09-01 00:00:00,22.3,119.5,985.0,998.3308715820312,21.75,118.75,986.8778076171875,21.5,120.0
2010239N15118,2010,48,LIONROCK,2010-09-01 06:00:00,22.8,119.2,982.0,998.7578125,22.0,118.75,989.6415405273438,22.0,120.5
2010239N15118,2010,48,LIONROCK,2010-09-01 12:00:00,23.2,118.9,982.0,1001.1376342773438,22.0,118.75,998.3085327148438,25.0,120.5
2010239N15118,2010,48,LIONROCK,2010-09-01 18:00:00,23.5,118.3,985.0,1001.6199340820312,23.25,118.0,996.2390747070312,25.5,120.0
2010239N15118,2010,48,LIONROCK,2010-09-02 00:00:00,23.9,117.4,989.0,1002.762451171875,22.0,116.75,1000.1863403320312,25.0,119.0
2010239N15118,2010,48,LIONROCK,2010-09-02 06:00:00,24.2,116.2,993.0,1002.7386474609375,22.0,116.75,1000.4227905273438,24.5,117.5
2010239N15118,2010,48,LIONROCK,2010-09-02 12:00:00,24.1,115.1,996.0,992.5670166015625,19.75,120.75,1001.6891479492188,25.0,116.0
