SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015012N09146,2015,2,MEKKHALA,2015-01-15 06:00:00,11.7,133.4,996.0,,11.7,133.4,999.286865234375,11.5,132.5
2015012N09146,2015,2,MEKKHALA,2015-01-15 12:00:00,11.7,132.5,996.0,998.4810791015625,11.75,132.75,999.286865234375,11.5,132.5
2015012N09146,2015,2,MEKKHALA,2015-01-15 18:00:00,11.6,131.7,996.0,996.069580078125,11.25,131.75,996.355224609375,11.5,131.5
2015012N09146,2015,2,MEKKHALA,2015-01-16 00:00:00,11.5,130.8,993.0,998.9554443359375,11.25,131.0,998.6219482421875,11.5,130.5
2015012N09146,2015,2,MEKKHALA,2015-01-16 06:00:00,11.4,129.8,989.0,996.8206787109375,11.25,130.0,995.6693115234375,11.0,129.5
2015012N09146,2015,2,MEKKHALA,2015-01-16 12:00:00,11.3,128.7,985.0,999.6116943359375,11.25,129.25,998.7388305664062,11.0,129.0
2015012N09146,2015,2,MEKKHALA,2015-01-16 18:00:00,11.1,127.6,974.0,997.0421142578125,11.5,128.5,996.9924926757812,11.0,127.5
2015012N09146,2015,2,MEKKHALA,2015-01-17 00:00:00,11.4,126.7,970.0,999.477294921875,11.5,127.25,998.1409912109375,11.5,127.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 06:00:00,11.9,125.8,974.0,996.3779907226562,11.75,126.5,994.611083984375,12.0,126.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 12:00:00,12.4,125.1,982.0,1000.6473999023438,12.0,125.75,995.8464965820312,12.5,125.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 18:00:00,12.7,124.3,985.0,999.3348999023438,12.0,124.5,989.07421875,12.5,124.0
2015012N09146,2015,2,MEKKHALA,2015-01-18 00:00:00,13.5,123.6,993.0,1003.0233764648438,13.0,123.5,992.3683471679688,13.0,123.0
2015012N09146,2015,2,MEKKHALA,2015-01-18 06:00:00,14.0,122.9,996.0,994.630615234375,11.25,123.5,996.8242797851562,13.5,122.0
