SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015344N07145,2015,108,MELOR,2015-12-12 00:00:00,10.3,134.5,989.0,1005.7352294921875,10.25,134.25,1003.3339233398438,10.5,134.5
2015344N07145,2015,108,MELOR,2015-12-12 06:00:00,10.8,133.5,985.0,1001.84130859375,11.25,133.25,999.5745239257812,10.5,133.0
2015344N07145,2015,108,MELOR,2015-12-12 12:00:00,11.2,132.3,985.0,1003.525390625,11.5,132.25,1000.6849975585938,11.0,132.5
2015344N07145,2015,108,MELOR,2015-12-12 18:00:00,11.5,131.2,982.0,1001.042724609375,11.75,131.25,998.3025512695312,11.5,131.0
2015344N07145,2015,108,MELOR,2015-12-13 00:00:00,11.9,130.3,967.0,1002.541015625,12.0,130.25,1000.67529296875,12.0,130.0
2015344N07145,2015,108,MELOR,2015-12-13 06:00:00,12.3,129.1,956.0,1000.9953002929688,12.5,129.5,997.4925537109375,12.0,129.0
2015344N07145,2015,108,MELOR,2015-12-13 12:00:00,12.3,128.0,944.0,1002.2999267578125,13.0,128.75,999.2142333984375,12.0,128.0
2015344N07145,2015,108,MELOR,2015-12-13 18:00:00,12.4,126.9,937.0,999.4298706054688,13.25,127.75,997.158935546875,12.0,127.5
2015344N07145,2015,108,MELOR,2015-12-14 00:00:00,12.5,125.8,933.0,1000.6790771484375,13.25,126.75,998.2130737304688,12.5,126.5
2015344N07145,2015,108,MELOR,2015-12-14 06:00:00,12.6,124.6,933.0,997.7379150390625,13.5,126.0,994.8117065429688,12.5,125.5
2015344N07145,2015,108,MELOR,2015-12-14 12:00:00,12.8,123.5,944.0,999.192626953125,13.5,125.0,996.7100219726562,12.5,124.5
2015344N07145,2015,108,MELOR,2015-12-14 18:00:00,12.9,122.6,941.0,997.2476806640625,13.75,124.5,994.3172607421875,12.5,123.5
2015344N07145,2015,108,MELOR,2015-12-15 00:00:00,13.0,121.8,933.0,1000.6157836914062,13.75,123.25,990.9910278320312,12.5,122.5
2015344N07145,2015,108,MELOR,2015-12-15 06:00:00,13.3,121.2,948.0,997.8643798828125,13.75,122.75,985.4042358398438,13.0,122.0
2015344N07145,2015,108,MELOR,2015-12-15 12:00:00,13.5,120.6,959.0,1001.05859375,14.0,122.25,986.0856323242188,13.0,121.0
2015344N07145,2015,108,MELOR,2015-12-15 18:00:00,13.9,120.3,974.0,1002.0508422851562,14.25,122.0,987.1771850585938,13.0,120.5
2015344N07145,2015,108,MELOR,2015-12-16 00:00:00,14.1,119.9,985.0,999.2400512695312,17.75,122.5,987.301025390625,13.0,120.0
