SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2016253N13144,2016,61,MERANTI,2016-09-11 18:00:00,17.6,131.7,960.0,995.365966796875,17.75,132.0,976.005126953125,17.5,131.5
2016253N13144,2016,61,MERANTI,2016-09-12 00:00:00,18.0,130.4,933.0,995.3184204101562,18.0,130.75,981.2359619140625,18.0,130.0
2016253N13144,2016,61,MERANTI,2016-09-12 06:00:00,18.3,129.4,922.0,992.329833984375,18.5,129.25,974.27294921875,18.5,129.0
2016253N13144,2016,61,MERANTI,2016-09-12 12:00:00,18.9,128.2,907.0,991.4126586914062,18.75,128.0,974.1207885742188,18.5,127.5
2016253N13144,2016,61,MERANTI,2016-09-12 18:00:00,19.3,126.7,904.0,987.1748657226562,19.0,126.75,966.3540649414062,19.0,126.5
2016253N13144,2016,61,MERANTI,2016-09-13 00:00:00,19.6,125.5,903.0,985.0242309570312,19.25,125.5,968.14111328125,19.0,125.0
2016253N13144,2016,61,MERANTI,2016-09-13 06:00:00,20.2,124.1,899.0,980.849609375,19.75,124.25,948.6517944335938,19.5,124.0
2016253N13144,2016,61,MERANTI,2016-09-13 12:00:00,20.4,122.9,895.0,979.4422607421875,19.75,123.25,958.12353515625,19.5,123.0
2016253N13144,2016,61,MERANTI,2016-09-13 18:00:00,20.8,121.8,899.0,976.2322387695312,20.0,122.0,940.2879028320312,20.0,121.5
2016253N13144,2016,61,MERANTI,2016-09-14 00:00:00,21.5,120.8,900.0,978.857177734375,20.25,121.25,945.2557983398438,20.5,120.5
2016253N13144,2016,61,MERANTI,2016-09-14 06:00:00,22.5,119.8,929.0,978.6358642578125,20.75,120.0,951.8972778320312,20.5,119.5
2016253N13144,2016,61,MERANTI,2016-09-14 12:00:00,23.4,119.0,941.0,979.9324951171875,21.25,119.25,948.0890502929688,21.0,118.0
2016253N13144,2016,61,MERANTI,2016-09-14 18:00:00,24.3,118.4,959.0,979.8692016601562,21.5,118.5,937.7951049804688,21.5,117.5
2016253N13144,2016,61,MERANTI,2016-09-15 00:00:00,25.2,117.6,970.0,981.3872680664062,22.0,117.5,953.0903930664062,22.0,116.5
2016253N13144,2016,61,MERANTI,2016-09-15 06:00:00,26.2,116.9,993.0,1008.8810424804688,18.0,120.25,966.298583984375,23.0,115.5
