SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009196N14129,2009,39,MOLAVE,2009-07-16 18:00:00,18.1,124.0,996.0,991.6973266601562,18.25,123.75,990.7218017578125,18.5,124.0
2009196N14129,2009,39,MOLAVE,2009-07-17 00:00:00,18.8,123.3,991.0,992.2191162109375,19.25,123.0,989.638916015625,19.0,123.0
2009196N14129,2009,39,MOLAVE,2009-07-17 06:00:00,19.6,122.6,987.0,990.5587768554688,19.75,122.0,985.0267333984375,19.5,122.5
2009196N14129,2009,39,MOLAVE,2009-07-17 12:00:00,20.7,121.3,980.0,991.0647583007812,19.75,120.75,985.0470581054688,20.5,121.5
2009196N14129,2009,39,MOLAVE,2009-07-17 18:00:00,21.0,119.6,980.0,989.6416625976562,20.25,120.0,983.8084106445312,20.5,120.5
2009196N14129,2009,39,MOLAVE,2009-07-18 00:00:00,21.4,118.3,980.0,990.321533203125,21.25,119.0,982.7471923828125,21.0,119.5
2009196N14129,2009,39,MOLAVE,2009-07-18 06:00:00,21.8,117.1,974.0,989.246337890625,21.75,118.0,981.9071044921875,22.0,118.5
2009196N14129,2009,39,MOLAVE,2009-07-18 12:00:00,22.3,116.0,974.0,989.92626953125,22.0,116.5,982.2296142578125,22.0,117.0
2009196N14129,2009,39,MOLAVE,2009-07-18 18:00:00,22.6,114.4,982.0,991.49169921875,22.5,115.0,981.8479614257812,22.5,116.0
2009196N14129,2009,39,MOLAVE,2009-07-19 00:00:00,22.9,112.8,996.0,1011.33203125,18.5,117.0,982.477294921875,22.5,114.5
