SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2011233N12129,2011,53,NANMADOL,2011-08-25 18:00:00,16.5,124.1,929.0,982.5890502929688,16.5,124.25,967.5770874023438,16.5,124.0
2011233N12129,2011,53,NANMADOL,2011-08-26 00:00:00,16.7,123.9,922.0,982.5890502929688,17.0,123.75,961.5958862304688,17.0,123.5
2011233N12129,2011,53,NANMADOL,2011-08-26 06:00:00,17.2,123.6,918.0,980.8812255859375,17.5,123.5,961.84716796875,17.5,123.5
2011233N12129,2011,53,NANMADOL,2011-08-26 12:00:00,17.6,123.3,918.0,981.9882202148438,18.0,123.25,964.0764770507812,18.0,123.5
2011233N12129,2011,53,NANMADOL,2011-08-26 18:00:00,18.0,122.7,918.0,982.510009765625,18.5,122.75,962.4581909179688,18.5,123.0
2011233N12129,2011,53,NANMADOL,2011-08-27 00:00:00,18.1,122.4,929.0,984.62890625,19.25,122.25,964.1746215820312,19.0,123.0
2011233N12129,2011,53,NANMADOL,2011-08-27 06:00:00,18.7,122.0,933.0,984.296875,19.5,122.0,965.149658203125,19.5,123.0
2011233N12129,2011,53,NANMADOL,2011-08-27 12:00:00,19.3,121.7,941.0,985.81494140625,20.0,121.75,969.182861328125,20.0,122.5
2011233N12129,2011,53,NANMADOL,2011-08-27 18:00:00,19.7,121.4,948.0,986.14697265625,20.75,121.5,968.8660278320312,20.0,122.5
2011233N12129,2011,53,NANMADOL,2011-08-28 00:00:00,20.4,121.4,959.0,987.2222900390625,21.25,121.25,970.547119140625,20.5,122.5
2011233N12129,2011,53,NANMADOL,2011-08-28 06:00:00,21.0,121.2,959.0,988.5979614257812,21.75,121.25,969.676025390625,21.0,122.0
2011233N12129,2011,53,NANMADOL,2011-08-28 12:00:00,21.6,121.1,967.0,989.7048950195312,23.75,120.25,965.9542236328125,21.0,122.0
2011233N12129,2011,53,NANMADOL,2011-08-28 18:00:00,22.1,121.0,970.0,990.764404296875,24.0,120.5,970.4793701171875,21.0,121.5
2011233N12129,2011,53,NANMADOL,2011-08-29 00:00:00,22.8,120.5,974.0,992.5037231445312,23.75,120.25,965.8216552734375,21.5,121.5
2011233N12129,2011,53,NANMADOL,2011-08-29 06:00:00,23.2,120.0,978.0,991.7288818359375,23.75,120.25,959.8223266601562,21.5,121.5
2011233N12129,2011,53,NANMADOL,2011-08-29 12:00:00,23.6,119.7,989.0,992.2824096679688,23.75,120.25,965.859130859375,21.5,121.5
2011233N12129,2011,53,NANMADOL,2011-08-29 18:00:00,23.8,119.4,993.0,1000.1492919921875,27.75,120.25,971.4932250976562,22.0,122.0
