SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2016185N08145,2016,25,NEPARTAK,2016-07-05 18:00:00,18.0,131.9,922.0,998.3545532226562,17.25,132.25,987.6981811523438,18.0,132.0
2016185N08145,2016,25,NEPARTAK,2016-07-06 00:00:00,18.7,130.1,914.0,998.5443115234375,18.0,130.75,989.862548828125,19.0,130.5
2016185N08145,2016,25,NEPARTAK,2016-07-06 06:00:00,19.5,128.5,907.0,996.4649047851562,19.25,129.25,974.445068359375,20.0,128.5
2016185N08145,2016,25,NEPARTAK,2016-07-06 12:00:00,20.1,127.0,907.0,995.76123046875,20.0,127.75,977.5353393554688,20.5,127.0
2016185N08145,2016,25,NEPARTAK,2016-07-06 18:00:00,20.7,125.6,911.0,993.7767333984375,20.5,126.25,980.2206420898438,21.5,125.5
2016185N08145,2016,25,NEPARTAK,2016-07-07 00:00:00,21.3,124.3,914.0,992.4405517578125,21.25,125.0,969.89111328125,22.0,124.5
2016185N08145,2016,25,NEPARTAK,2016-07-07 06:00:00,21.6,123.4,918.0,989.578369140625,21.75,124.0,964.4188842773438,22.5,123.5
2016185N08145,2016,25,NEPARTAK,2016-07-07 12:00:00,22.0,122.6,922.0,988.550537109375,22.0,123.25,964.6964111328125,23.0,122.5
2016185N08145,2016,25,NEPARTAK,2016-07-07 18:00:00,22.4,121.7,933.0,986.542236328125,22.75,122.75,979.10107421875,23.5,121.5
2016185N08145,2016,25,NEPARTAK,2016-07-08 00:00:00,22.6,120.6,952.0,986.4631958007812,23.25,122.0,989.46240234375,24.5,120.5
2016185N08145,2016,25,NEPARTAK,2016-07-08 06:00:00,23.2,120.0,974.0,988.344970703125,24.0,120.5,988.8396606445312,24.0,120.0
2016185N08145,2016,25,NEPARTAK,2016-07-08 12:00:00,23.4,119.7,982.0,989.0407104492188,24.5,120.5,988.0775756835938,24.5,120.0
2016185N08145,2016,25,NEPARTAK,2016-07-08 18:00:00,23.7,119.5,989.0,989.9578857421875,24.75,120.0,991.4689331054688,25.5,119.0
2016185N08145,2016,25,NEPARTAK,2016-07-09 00:00:00,24.4,119.0,993.0,1015.1636962890625,21.25,121.75,994.8289184570312,26.5,118.5
