SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009270N10148,2009,74,PARMA,2009-10-02 12:00:00,15.9,124.7,952.0,991.5392456054688,15.5,124.25,990.7737426757812,16.0,124.5
2009270N10148,2009,74,PARMA,2009-10-02 18:00:00,16.5,123.8,956.0,986.985107421875,16.25,123.75,987.6503295898438,16.5,123.5
2009270N10148,2009,74,PARMA,2009-10-03 00:00:00,17.2,123.0,956.0,989.2146606445312,17.0,122.75,988.7706298828125,17.5,123.0
2009270N10148,2009,74,PARMA,2009-10-03 06:00:00,17.8,122.1,963.0,989.0091552734375,17.25,121.75,987.8203125,18.5,122.5
2009270N10148,2009,74,PARMA,2009-10-03 12:00:00,18.2,121.5,967.0,992.740966796875,18.0,120.5,988.38916015625,18.5,121.5
2009270N10148,2009,74,PARMA,2009-10-03 18:00:00,18.6,120.7,974.0,991.507568359375,18.25,120.0,985.4462280273438,19.0,121.0
2009270N10148,2009,74,PARMA,2009-10-04 00:00:00,18.8,120.2,974.0,992.740966796875,18.75,119.5,985.7153930664062,19.5,121.0
2009270N10148,2009,74,PARMA,2009-10-04 06:00:00,19.3,119.9,974.0,989.2620849609375,19.25,119.25,982.423583984375,20.0,121.0
2009270N10148,2009,74,PARMA,2009-10-04 12:00:00,19.7,119.7,978.0,989.51513671875,19.5,119.0,984.329345703125,20.5,121.5
2009270N10148,2009,74,PARMA,2009-10-04 18:00:00,20.0,119.5,982.0,987.522705078125,19.75,119.0,983.65576171875,21.0,121.5
2009270N10148,2009,74,PARMA,2009-10-05 00:00:00,20.1,119.5,982.0,988.5822143554688,20.0,119.25,985.25927734375,21.5,121.5
2009270N10148,2009,74,PARMA,2009-10-05 06:00:00,20.2,119.6,982.0,987.7440795898438,20.25,119.5,983.1626586914062,22.0,122.0
2009270N10148,2009,74,PARMA,2009-10-05 12:00:00,20.1,119.8,982.0,988.8193969726562,20.25,120.0,982.591064453125,22.0,122.5
2009270N10148,2009,74,PARMA,2009-10-05 18:00:00,19.8,120.0,982.0,988.7402954101562,20.0,120.5,980.0997924804688,22.0,122.5
2009270N10148,2009,74,PARMA,2009-10-06 00:00:00,19.3,120.2,982.0,991.918701171875,19.75,121.0,980.38525390625,21.5,123.0
2009270N10148,2009,74,PARMA,2009-10-06 06:00:00,18.9,120.6,982.0,992.124267578125,19.25,121.5,974.7086181640625,21.5,124.0
2009270N10148,2009,74,PARMA,2009-10-06 12:00:00,18.5,120.9,982.0,995.2789306640625,18.75,122.0,977.5390625,21.0,124.0
2009270N10148,2009,74,PARMA,2009-10-06 18:00:00,18.0,121.3,996.0,995.4450073242188,18.0,122.5,976.6511840820312,21.0,124.5
2009270N10148,2009,74,PARMA,2009-10-07 00:00:00,17.6,122.0,996.0,996.9630737304688,17.75,122.75,976.209716796875,20.5,125.5
2009270N10148,2009,74,PARMA,2009-10-07 06:00:00,17.6,122.4,996.0,994.9943237304688,17.75,122.75,968.5892333984375,21.0,125.5
2009270N10148,2009,74,PARMA,2009-10-07 12:00:00,17.8,122.6,996.0,998.0145874023438,17.75,122.75,970.24951171875,21.0,126.0
2009270N10148,2009,74,PARMA,2009-10-07 18:00:00,17.8,122.6,996.0,998.0778198242188,17.75,122.75,965.2491455078125,21.0,126.5
2009270N10148,2009,74,PARMA,2009-10-08 18:00:00,17.3,120.6,997.0,1005.8577880859375,21.75,122.75,963.3428344726562,22.0,128.5
