SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013178N09133,2013,30,RUMBIA,2013-06-29 06:00:00,12.5,124.1,996.0,,12.5,124.1,1002.3018188476562,13.5,122.5
2013178N09133,2013,30,RUMBIA,2013-06-29 12:00:00,13.5,122.9,996.0,1003.3474731445312,13.5,122.75,1002.3018188476562,13.5,122.5
2013178N09133,2013,30,RUMBIA,2013-06-29 18:00:00,14.0,121.3,996.0,1002.537109375,14.0,122.0,1000.446533203125,14.0,121.0
2013178N09133,2013,30,RUMBIA,2013-06-30 00:00:00,14.6,119.8,996.0,1003.7704467773438,15.25,119.75,998.6326293945312,14.5,120.0
2013178N09133,2013,30,RUMBIA,2013-06-30 06:00:00,15.5,118.5,993.0,1001.5685424804688,16.0,118.75,992.4163208007812,15.5,118.5
2013178N09133,2013,30,RUMBIA,2013-06-30 12:00:00,16.6,117.2,989.0,1000.60791015625,17.25,117.5,993.9320068359375,16.0,117.5
2013178N09133,2013,30,RUMBIA,2013-06-30 18:00:00,17.6,115.5,989.0,997.4690551757812,18.0,116.0,991.832763671875,17.5,116.0
2013178N09133,2013,30,RUMBIA,2013-07-01 00:00:00,18.3,114.0,982.0,997.2871704101562,19.0,114.75,990.7002563476562,18.0,114.5
2013178N09133,2013,30,RUMBIA,2013-07-01 06:00:00,19.1,112.7,978.0,994.6859130859375,19.75,113.5,989.6681518554688,19.0,114.0
2013178N09133,2013,30,RUMBIA,2013-07-01 12:00:00,19.7,111.7,970.0,994.0296630859375,20.5,112.0,989.51123046875,20.5,112.5
2013178N09133,2013,30,RUMBIA,2013-07-01 18:00:00,20.6,110.6,978.0,994.8440551757812,21.75,111.25,991.6766967773438,21.0,111.5
2013178N09133,2013,30,RUMBIA,2013-07-02 00:00:00,21.4,109.9,982.0,998.923828125,23.5,110.5,997.016357421875,22.5,111.0
2013178N09133,2013,30,RUMBIA,2013-07-02 06:00:00,22.8,109.2,993.0,1007.8502197265625,19.5,112.25,999.6941528320312,23.5,110.5
