SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015211N13162,2015,54,SOUDELOR,2015-08-05 18:00:00,20.1,131.5,952.0,962.2536010742188,20.25,131.5,942.1204833984375,20.0,131.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 00:00:00,20.5,130.2,956.0,963.2972412109375,20.5,130.5,934.8001708984375,20.5,130.5
2015211N13162,2015,54,SOUDELOR,2015-08-06 06:00:00,20.9,129.2,959.0,960.3560791015625,21.0,129.5,926.327392578125,21.0,129.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 12:00:00,21.2,128.1,956.0,960.9885864257812,21.25,128.25,919.4876708984375,21.5,128.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 18:00:00,21.5,126.8,952.0,958.45849609375,21.75,127.0,926.7906494140625,22.0,126.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 00:00:00,21.9,125.8,948.0,959.3440551757812,22.0,126.0,918.4439697265625,22.0,125.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 06:00:00,22.4,124.8,944.0,958.5217895507812,22.5,124.75,913.7422485351562,22.5,124.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 12:00:00,22.9,123.8,944.0,958.45849609375,23.0,124.0,919.75048828125,23.5,123.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 18:00:00,23.7,122.6,948.0,961.8108520507812,23.75,123.0,936.5783081054688,24.0,122.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 00:00:00,24.0,121.0,952.0,970.6344604492188,23.75,121.75,963.94482421875,24.0,120.5
2015211N13162,2015,54,SOUDELOR,2015-08-08 06:00:00,24.1,120.0,967.0,973.3859252929688,24.5,120.5,964.9879150390625,24.5,119.5
2015211N13162,2015,54,SOUDELOR,2015-08-08 12:00:00,24.8,119.4,970.0,977.8610229492188,24.75,120.0,972.5751342773438,25.0,119.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 18:00:00,25.4,118.5,982.0,983.3164672851562,25.25,118.75,981.6651611328125,25.5,117.5
2015211N13162,2015,54,SOUDELOR,2015-08-09 00:00:00,25.8,117.6,993.0,990.4639282226562,26.0,116.75,986.379150390625,26.5,117.0
2015211N13162,2015,54,SOUDELOR,2015-08-09 06:00:00,26.6,116.9,996.0,1014.8948974609375,22.0,119.0,987.725830078125,28.0,116.5
