SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013259N17132,2013,65,USAGI,2013-09-19 00:00:00,17.0,128.3,952.0,975.3783569335938,17.25,128.5,976.5777587890625,17.5,128.5
2013259N17132,2013,65,USAGI,2013-09-19 06:00:00,17.5,128.0,933.0,970.5712280273438,17.75,128.0,971.0062255859375,17.5,127.5
2013259N17132,2013,65,USAGI,2013-09-19 12:00:00,18.2,127.2,922.0,969.9071044921875,18.0,127.25,971.7594604492188,18.5,127.0
2013259N17132,2013,65,USAGI,2013-09-19 18:00:00,18.8,126.4,922.0,966.8077392578125,18.5,126.0,966.6288452148438,18.5,126.0
2013259N17132,2013,65,USAGI,2013-09-20 00:00:00,19.3,125.5,922.0,966.364990234375,19.25,125.25,966.1643676757812,19.5,125.5
2013259N17132,2013,65,USAGI,2013-09-20 06:00:00,19.7,124.6,926.0,963.3605346679688,19.75,124.5,961.0310668945312,20.0,124.5
2013259N17132,2013,65,USAGI,2013-09-20 12:00:00,20.2,123.8,926.0,964.3409423828125,20.25,123.5,956.3687744140625,20.5,123.5
2013259N17132,2013,65,USAGI,2013-09-20 18:00:00,20.4,122.6,926.0,963.8348999023438,20.75,122.5,951.2003784179688,21.0,122.5
2013259N17132,2013,65,USAGI,2013-09-21 00:00:00,20.6,121.8,933.0,967.53515625,21.25,121.75,948.249267578125,21.5,121.5
2013259N17132,2013,65,USAGI,2013-09-21 06:00:00,20.8,120.8,944.0,971.93115234375,21.75,120.5,951.4039306640625,21.5,120.5
2013259N17132,2013,65,USAGI,2013-09-21 12:00:00,21.1,119.8,959.0,976.5485229492188,22.0,119.75,960.662353515625,22.0,119.0
2013259N17132,2013,65,USAGI,2013-09-21 18:00:00,21.4,118.9,956.0,978.1456298828125,22.25,118.75,955.7718505859375,22.0,118.0
2013259N17132,2013,65,USAGI,2013-09-22 00:00:00,21.8,117.9,952.0,982.9053344726562,22.75,118.0,954.18603515625,22.0,117.0
2013259N17132,2013,65,USAGI,2013-09-22 06:00:00,22.4,116.8,948.0,984.281005859375,23.0,116.75,959.754638671875,22.0,116.0
2013259N17132,2013,65,USAGI,2013-09-22 12:00:00,22.8,115.4,963.0,988.6138305664062,23.0,115.5,968.157958984375,22.0,114.5
2013259N17132,2013,65,USAGI,2013-09-22 18:00:00,23.2,113.8,978.0,990.9857177734375,23.75,114.5,974.33984375,22.5,113.5
2013259N17132,2013,65,USAGI,2013-09-23 00:00:00,23.7,112.5,982.0,994.836181640625,23.5,113.0,982.1890869140625,22.5,111.5
2013259N17132,2013,65,USAGI,2013-09-23 06:00:00,24.3,111.2,989.0,1003.6795043945312,21.75,112.75,986.031494140625,22.5,110.5
