SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2007257N16134,2007,56,WIPHA,2007-09-16 06:00:00,20.6,130.7,989.0,,20.6,130.7,993.06982421875,21.0,130.0
2007257N16134,2007,56,WIPHA,2007-09-16 12:00:00,21.3,130.0,974.0,990.9857177734375,21.25,130.0,993.06982421875,21.0,130.0
2007257N16134,2007,56,WIPHA,2007-09-16 18:00:00,22.0,128.7,974.0,987.71240234375,22.0,129.25,990.5831298828125,22.0,129.0
2007257N16134,2007,56,WIPHA,2007-09-17 00:00:00,22.4,127.7,967.0,987.7440795898438,22.75,128.0,990.8412475585938,23.0,128.0
2007257N16134,2007,56,WIPHA,2007-09-17 06:00:00,22.9,126.8,952.0,983.743408203125,23.5,127.0,987.3055419921875,23.5,127.0
2007257N16134,2007,56,WIPHA,2007-09-17 12:00:00,23.4,125.7,937.0,982.3361206054688,24.0,126.0,987.1473388671875,24.0,126.0
2007257N16134,2007,56,WIPHA,2007-09-17 18:00:00,23.9,124.6,929.0,980.2171020507812,24.5,124.75,983.94677734375,24.5,125.0
2007257N16134,2007,56,WIPHA,2007-09-18 00:00:00,24.4,123.7,922.0,978.7149047851562,25.25,123.75,983.3778076171875,25.0,124.5
2007257N16134,2007,56,WIPHA,2007-09-18 06:00:00,25.6,122.6,926.0,978.5725708007812,26.25,122.75,980.9971313476562,26.5,124.0
2007257N16134,2007,56,WIPHA,2007-09-18 12:00:00,26.2,121.5,933.0,979.9799194335938,27.25,122.0,982.2471313476562,28.0,123.0
2007257N16134,2007,56,WIPHA,2007-09-18 18:00:00,27.1,120.7,944.0,985.9097900390625,28.0,121.5,981.070556640625,29.0,122.5
2007257N16134,2007,56,WIPHA,2007-09-19 00:00:00,27.8,119.7,967.0,992.1400756835938,30.0,120.75,984.0200805664062,30.5,122.5
2007257N16134,2007,56,WIPHA,2007-09-19 06:00:00,29.2,119.1,985.0,992.1716918945312,31.75,120.75,984.0328369140625,33.0,123.0
2007257N16134,2007,56,WIPHA,2007-09-19 12:00:00,30.5,119.0,996.0,995.35009765625,33.5,121.0,988.3900756835938,36.0,124.0
2007257N16134,2007,56,WIPHA,2007-09-19 18:00:00,32.4,119.3,996.0,995.1919555664062,35.75,122.75,989.184326171875,39.5,125.5
2007257N16134,2007,56,WIPHA,2007-09-20 00:00:00,35.1,120.5,996.0,,35.1,120.5,991.649658203125,42.0,129.5
