SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2023201N13134,2023,32,DOKSURI,2023-07-26 18:00:00,20.0,120.0,955
2023201N13134,2023,32,DOKSURI,2023-07-27 00:00:00,20.7,119.7,955
2023201N13134,2023,32,DOKSURI,2023-07-27 06:00:00,21.1,119.3,955
2023201N13134,2023,32,DOKSURI,2023-07-27 12:00:00,21.8,119.1,955
2023201N13134,2023,32,DOKSURI,2023-07-27 18:00:00,22.8,119.0,955
2023201N13134,2023,32,DOKSURI,2023-07-28 00:00:00,24.2,118.8,965
2023201N13134,2023,32,DOKSURI,2023-07-28 06:00:00,25.5,118.3,985
2023201N13134,2023,32,DOKSURI,2023-07-28 12:00:00,27.1,117.7,994
2023201N13134,2023,32,DOKSURI,2023-07-28 18:00:00,28.7,117.1,996
2023201N13134,2023,32,DOKSURI,2023-07-29 00:00:00,30.3,115.8,998
2023201N13134,2023,32,DOKSURI,2023-07-29 06:00:00,31.9,114.9,998
2023201N13134,2023,32,DOKSURI,2023-07-29 12:00:00,33.0,114.5,998
2023201N13134,2023,32,DOKSURI,2023-07-29 18:00:00,34.0,114.3,998
2023201N13134,2023,32,DOKSURI,2023-07-30 00:00:00,35.5,113.8,1000
2023201N13134,2023,32,DOKSURI,2023-07-30 06:00:00,36.0,113.5,1000
2023201N13134,2023,32,DOKSURI,2023-07-30 12:00:00,36.5,112.9,1000
2023207N09141,2023,34,KHANUN,2023-07-26 18:00:00,10.6,140.6,1006
2023207N09141,2023,34,KHANUN,2023-07-27 00:00:00,11.4,139.9,1006
2023207N09141,2023,34,KHANUN,2023-07-27 06:00:00,11.8,138.7,1004
2023207N09141,2023,34,KHANUN,2023-07-27 12:00:00,12.1,137.8,1004
2023207N09141,2023,34,KHANUN,2023-07-27 18:00:00,12.5,137.1,1002
2023207N09141,2023,34,KHANUN,2023-07-28 00:00:00,12.9,136.5,1000
2023207N09141,2023,34,KHANUN,2023-07-28 06:00:00,13.5,136.0,998
2023207N09141,2023,34,KHANUN,2023-07-28 12:00:00,14.1,135.5,998
2023207N09141,2023,34,KHANUN,2023-07-28 18:00:00,14.8,134.7,996
2023207N09141,2023,34,KHANUN,2023-07-29 00:00:00,15.6,134.0,996
2023207N09141,2023,34,KHANUN,2023-07-29 06:00:00,16.3,133.7,992
2023207N09141,2023,34,KHANUN,2023-07-29 12:00:00,16.9,133.4,985
2023207N09141,2023,34,KHANUN,2023-07-29 18:00:00,17.7,133.1,980
2023207N09141,2023,34,KHANUN,2023-07-30 00:00:00,18.7,132.8,970
2023207N09141,2023,34,KHANUN,2023-07-30 06:00:00,19.7,132.6,965
2023207N09141,2023,34,KHANUN,2023-07-30 12:00:00,20.3,132.4,960
