SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2023239N18144,2023,49,HAIKUI,2023-08-29 18:00:00,19.7,136.6,990
2023239N18144,2023,49,HAIKUI,2023-08-30 00:00:00,20.1,136.1,990
2023239N18144,2023,49,HAIKUI,2023-08-30 06:00:00,20.4,135.5,990
2023239N18144,2023,49,HAIKUI,2023-08-30 12:00:00,20.8,134.9,990
2023239N18144,2023,49,HAIKUI,2023-08-30 18:00:00,21.0,133.8,985
2023239N18144,2023,49,HAIKUI,2023-08-31 00:00:00,21.1,133.0,980
2023239N18144,2023,49,HAIKUI,2023-08-31 06:00:00,21.3,132.1,980
2023239N18144,2023,49,HAIKUI,2023-08-31 12:00:00,21.7,131.2,980
2023239N18144,2023,49,HAIKUI,2023-08-31 18:00:00,21.9,130.3,980
2023239N18144,2023,49,HAIKUI,2023-09-01 00:00:00,22.1,129.5,975
2023239N18144,2023,49,HAIKUI,2023-09-01 06:00:00,22.1,128.5,975
2023239N18144,2023,49,HAIKUI,2023-09-01 12:00:00,21.9,127.8,970
2023239N18144,2023,49,HAIKUI,2023-09-01 18:00:00,21.9,127.1,970
2023239N18144,2023,49,HAIKUI,2023-09-02 00:00:00,22.1,126.3,965
2023239N18144,2023,49,HAIKUI,2023-09-02 06:00:00,22.4,125.3,960
2023239N18144,2023,49,HAIKUI,2023-09-02 12:00:00,22.7,124.3,960
2023239N18144,2023,49,HAIKUI,2023-09-02 18:00:00,22.6,123.2,945
2023239N18144,2023,49,HAIKUI,2023-09-03 00:00:00,22.6,122.6,950
2023239N18144,2023,49,HAIKUI,2023-09-03 06:00:00,22.9,121.5,965
2023239N18144,2023,49,HAIKUI,2023-09-03 12:00:00,22.8,120.2,975
2023239N18144,2023,49,HAIKUI,2023-09-03 18:00:00,22.6,120.1,980
2023239N18144,2023,49,HAIKUI,2023-09-04 00:00:00,23.2,119.8,985
2023239N18144,2023,49,HAIKUI,2023-09-04 06:00:00,23.2,119.2,985
2023239N18144,2023,49,HAIKUI,2023-09-04 12:00:00,23.6,118.6,992
2023239N18144,2023,49,HAIKUI,2023-09-04 18:00:00,23.6,117.5,996
2023239N18144,2023,49,HAIKUI,2023-09-05 00:00:00,23.5,116.9,1000
2023239N18144,2023,49,HAIKUI,2023-09-05 06:00:00,23.6,116.6,1000
2023239N18144,2023,49,HAIKUI,2023-09-05 12:00:00,23.6,116.2,1002
2023239N18144,2023,49,HAIKUI,2023-09-05 18:00:00,23.4,115.6,1004
2023239N18144,2023,49,HAIKUI,2023-09-06 00:00:00,23.3,115.1,1006
2023241N10158,2023,51,KIROGI,2023-08-29 18:00:00,11.6,154.7,1004
2023241N10158,2023,51,KIROGI,2023-08-30 00:00:00,12.4,154.5,1004
2023241N10158,2023,51,KIROGI,2023-08-30 06:00:00,12.9,154.4,1002
2023241N10158,2023,51,KIROGI,2023-08-30 12:00:00,13.3,154.4,1000
2023241N10158,2023,51,KIROGI,2023-08-30 18:00:00,14.1,154.5,998
2023241N10158,2023,51,KIROGI,2023-08-31 00:00:00,15.2,154.5,998
2023241N10158,2023,51,KIROGI,2023-08-31 06:00:00,16.7,154.2,994
2023241N10158,2023,51,KIROGI,2023-08-31 12:00:00,17.9,153.6,994
2023241N10158,2023,51,KIROGI,2023-08-31 18:00:00,19.1,152.8,994
2023241N10158,2023,51,KIROGI,2023-09-01 00:00:00,20.4,151.8,994
2023241N10158,2023,51,KIROGI,2023-09-01 06:00:00,21.9,150.8,998
2023241N10158,2023,51,KIROGI,2023-09-01 12:00:00,23.3,149.4,998
2023241N10158,2023,51,KIROGI,2023-09-01 18:00:00,24.4,148.4,998
2023241N10158,2023,51,KIROGI,2023-09-02 00:00:00,25.4,147.6,1000
2023241N10158,2023,51,KIROGI,2023-09-02 06:00:00,27.1,146.2,1000
2023241N10158,2023,51,KIROGI,2023-09-02 12:00:00,28.6,144.9,1000
2023241N10158,2023,51,KIROGI,2023-09-02 18:00:00,29.1,143.0,1000
2023241N10158,2023,51,KIROGI,2023-09-03 00:00:00,29.5,142.0,1002
2023241N10158,2023,51,KIROGI,2023-09-03 06:00:00,30.2,140.7,1002
2023241N10158,2023,51,KIROGI,2023-09-03 12:00:00,30.5,139.7,1002
2023241N10158,2023,51,KIROGI,2023-09-03 18:00:00,31.3,138.5,1002
2023241N10158,2023,51,KIROGI,2023-09-04 00:00:00,31.8,137.1,1002
2023241N10158,2023,51,KIROGI,2023-09-04 06:00:00,31.7,135.8,1002
2023241N10158,2023,51,KIROGI,2023-09-04 12:00:00,31.5,134.4,1004
2023241N10158,2023,51,KIROGI,2023-09-04 18:00:00,31.2,133.4,1004
2023241N10158,2023,51,KIROGI,2023-09-05 00:00:00,31.0,132.1,1004
2023241N10158,2023,51,KIROGI,2023-09-05 06:00:00,30.9,132.1,1004
2023241N10158,2023,51,KIROGI,2023-09-05 12:00:00,31.2,132.4,1004
2023241N10158,2023,51,KIROGI,2023-09-05 18:00:00,31.8,132.7,1004
2023241N10158,2023,51,KIROGI,2023-09-06 00:00:00,32.1,133.3,1004
