SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022268N20147,2022,80,KULAP,2022-09-27 06:00:00,28.9,141.8,992.0
2022268N20147,2022,80,KULAP,2022-09-27 12:00:00,29.8,142.5,989.0
2022268N20147,2022,80,KULAP,2022-09-27 18:00:00,30.9,144.0,985.0
2022268N20147,2022,80,KULAP,2022-09-28 00:00:00,32.1,145.4,985.0
2022268N20147,2022,80,KULAP,2022-09-28 06:00:00,33.3,147.6,977.0
2022268N20147,2022,80,KULAP,2022-09-28 12:00:00,34.7,150.4,973.0
2022268N20147,2022,80,KULAP,2022-09-28 18:00:00,36.5,153.0,968.0
2022268N20147,2022,80,KULAP,2022-09-29 00:00:00,38.7,156.0,963.0
2022268N20147,2022,80,KULAP,2022-09-29 06:00:00,41.8,159.3,966.0
2022268N20147,2022,80,KULAP,2022-09-29 12:00:00,44.4,163.0,964.0
2022270N14136,2022,82,ROKE,2022-09-27 06:00:00,17.4,135.0,998.0
2022270N14136,2022,82,ROKE,2022-09-27 18:00:00,19.8,133.4,996.0
2022270N14136,2022,82,ROKE,2022-09-28 00:00:00,21.0,132.6,995.0
2022270N14136,2022,82,ROKE,2022-09-28 06:00:00,21.7,132.1,991.0
2022270N14136,2022,82,ROKE,2022-09-28 12:00:00,23.0,131.7,994.0
2022270N14136,2022,82,ROKE,2022-09-28 18:00:00,23.9,131.6,990.0
2022270N14136,2022,82,ROKE,2022-09-29 00:00:00,25.0,131.7,986.0
2022270N14136,2022,82,ROKE,2022-09-29 06:00:00,25.8,132.2,976.0
2022270N14136,2022,82,ROKE,2022-09-29 12:00:00,26.6,133.1,967.0
