SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021214N21110,2021,55,LUPIT,2021-08-03 06:00:00,21.5,113.6,996
2021214N21110,2021,55,LUPIT,2021-08-03 12:00:00,21.2,114.1,996
2021214N21110,2021,55,LUPIT,2021-08-03 18:00:00,21.0,114.7,996
2021214N21110,2021,55,LUPIT,2021-08-04 00:00:00,21.2,115.5,994
2021214N21110,2021,55,LUPIT,2021-08-04 06:00:00,21.5,115.8,992
2021214N21110,2021,55,LUPIT,2021-08-04 12:00:00,21.7,116.3,990
2021214N21110,2021,55,LUPIT,2021-08-04 18:00:00,22.4,116.8,990
2021214N21110,2021,55,LUPIT,2021-08-05 00:00:00,23.1,116.9,990
2021214N21110,2021,55,LUPIT,2021-08-05 06:00:00,23.5,117.0,990
2021214N21110,2021,55,LUPIT,2021-08-05 12:00:00,23.9,117.3,992
2021214N21110,2021,55,LUPIT,2021-08-05 18:00:00,24.1,117.5,992
2021214N21110,2021,55,LUPIT,2021-08-06 00:00:00,24.4,118.2,992
2021214N21110,2021,55,LUPIT,2021-08-06 06:00:00,24.7,118.8,992
2021214N21110,2021,55,LUPIT,2021-08-06 12:00:00,25.0,119.4,994
2021214N21110,2021,55,LUPIT,2021-08-06 18:00:00,25.0,119.9,994
2021214N21110,2021,55,LUPIT,2021-08-07 00:00:00,25.0,120.6,994
2021214N21110,2021,55,LUPIT,2021-08-07 06:00:00,25.6,122.7,994
2021214N21110,2021,55,LUPIT,2021-08-07 12:00:00,27.2,124.3,994
2021214N21110,2021,55,LUPIT,2021-08-07 18:00:00,28.4,125.5,992
2021214N21110,2021,55,LUPIT,2021-08-08 00:00:00,29.4,126.8,990
2021214N21110,2021,55,LUPIT,2021-08-08 06:00:00,30.2,128.2,990
2021214N21110,2021,55,LUPIT,2021-08-08 12:00:00,31.5,130.8,988
2021214N21110,2021,55,LUPIT,2021-08-08 18:00:00,33.8,132.3,984
2021214N21110,2021,55,LUPIT,2021-08-09 00:00:00,35.3,133.5,982
2021214N21110,2021,55,LUPIT,2021-08-09 06:00:00,36.6,135.0,982
2021214N21110,2021,55,LUPIT,2021-08-09 12:00:00,37.8,136.2,984
2021214N21110,2021,55,LUPIT,2021-08-09 18:00:00,38.9,138.0,984
2021214N21110,2021,55,LUPIT,2021-08-10 00:00:00,39.6,140.9,988
2021214N21110,2021,55,LUPIT,2021-08-10 06:00:00,40.5,143.4,988
2021214N21110,2021,55,LUPIT,2021-08-10 12:00:00,40.8,145.7,988
2021214N21110,2021,55,LUPIT,2021-08-10 18:00:00,41.3,148.2,988
2021214N21110,2021,55,LUPIT,2021-08-11 00:00:00,41.9,150.9,988
2021215N24124,2021,56,MIRINAE,2021-08-03 06:00:00,23.7,124.4,998
2021215N24124,2021,56,MIRINAE,2021-08-03 12:00:00,23.8,125.0,1000
2021215N24124,2021,56,MIRINAE,2021-08-03 18:00:00,24.2,125.3,998
2021215N24124,2021,56,MIRINAE,2021-08-04 00:00:00,24.7,125.3,1000
2021215N24124,2021,56,MIRINAE,2021-08-04 06:00:00,25.2,125.7,998
2021215N24124,2021,56,MIRINAE,2021-08-04 12:00:00,25.6,126.5,998
2021215N24124,2021,56,MIRINAE,2021-08-04 18:00:00,26.0,126.9,996
2021215N24124,2021,56,MIRINAE,2021-08-05 00:00:00,26.3,127.2,996
2021215N24124,2021,56,MIRINAE,2021-08-05 06:00:00,26.8,128.2,992
2021215N24124,2021,56,MIRINAE,2021-08-05 12:00:00,26.9,128.8,992
2021215N24124,2021,56,MIRINAE,2021-08-05 18:00:00,26.8,130.1,992
2021215N24124,2021,56,MIRINAE,2021-08-06 00:00:00,26.9,131.4,992
2021215N24124,2021,56,MIRINAE,2021-08-06 06:00:00,27.4,133.2,990
2021215N24124,2021,56,MIRINAE,2021-08-06 12:00:00,27.9,134.7,990
2021215N24124,2021,56,MIRINAE,2021-08-06 18:00:00,28.5,136.4,990
2021215N24124,2021,56,MIRINAE,2021-08-07 00:00:00,29.4,137.6,990
2021215N24124,2021,56,MIRINAE,2021-08-07 06:00:00,30.9,138.4,985
2021215N24124,2021,56,MIRINAE,2021-08-07 12:00:00,31.9,138.9,985
2021215N24124,2021,56,MIRINAE,2021-08-07 18:00:00,33.2,139.5,980
2021215N24124,2021,56,MIRINAE,2021-08-08 00:00:00,34.1,140.7,980
2021215N24124,2021,56,MIRINAE,2021-08-08 06:00:00,35.1,142.1,980
2021215N24124,2021,56,MIRINAE,2021-08-08 12:00:00,36.0,143.5,980
2021215N24124,2021,56,MIRINAE,2021-08-08 18:00:00,36.8,145.2,985
2021215N24124,2021,56,MIRINAE,2021-08-09 00:00:00,37.7,147.4,985
2021215N24124,2021,56,MIRINAE,2021-08-09 06:00:00,38.3,149.7,985
2021215N24124,2021,56,MIRINAE,2021-08-09 12:00:00,38.6,152.2,990
2021215N24124,2021,56,MIRINAE,2021-08-09 18:00:00,38.7,154.9,992
2021215N24124,2021,56,MIRINAE,2021-08-10 00:00:00,38.8,158.2,992
2021215N24124,2021,56,MIRINAE,2021-08-10 06:00:00,37.9,161.0,992
2021215N24124,2021,56,MIRINAE,2021-08-10 12:00:00,37.4,164.4,996
2021215N24124,2021,56,MIRINAE,2021-08-10 18:00:00,37.2,167.2,996
2021215N24124,2021,56,MIRINAE,2021-08-11 00:00:00,37.2,169.3,998
