SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022264N17132,2022,76,NORU,2022-09-28 00:00:00,15.9,107.8,980
2022264N17132,2022,76,NORU,2022-09-28 06:00:00,15.8,106.5,990
2022264N17132,2022,76,NORU,2022-09-28 12:00:00,15.8,105.0,996
2022264N17132,2022,76,NORU,2022-09-28 18:00:00,15.9,104.7,996
2022264N17132,2022,76,NORU,2022-09-29 00:00:00,16.0,103.9,998
2022264N17132,2022,76,NORU,2022-09-29 06:00:00,16.0,103.3,1000
2022270N14136,2022,82,ROKE,2022-09-28 00:00:00,21.0,132.6,1004
2022270N14136,2022,82,ROKE,2022-09-28 06:00:00,21.7,132.1,1002
2022270N14136,2022,82,ROKE,2022-09-28 12:00:00,23.0,131.7,1000
2022270N14136,2022,82,ROKE,2022-09-28 18:00:00,23.9,131.6,998
2022270N14136,2022,82,ROKE,2022-09-29 00:00:00,25.0,131.7,994
2022270N14136,2022,82,ROKE,2022-09-29 06:00:00,25.8,132.2,990
