SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022263N18137,2022,74,TALAS,2022-09-25 00:00:00,34.9,142.2,1012
2022263N18137,2022,74,TALAS,2022-09-25 06:00:00,35.3,142.8,1012
2022263N18137,2022,74,TALAS,2022-09-25 12:00:00,35.7,143.2,1014
2022263N18137,2022,74,TALAS,2022-09-25 18:00:00,36.4,143.5,1014
2022263N18137,2022,74,TALAS,2022-09-26 00:00:00,37.0,143.9,1014
2022263N18137,2022,74,TALAS,2022-09-26 06:00:00,37.7,144.6,1012
2022263N18137,2022,74,TALAS,2022-09-26 12:00:00,38.1,145.4,1012
2022263N18137,2022,74,TALAS,2022-09-26 18:00:00,38.3,146.1,1012
2022263N18137,2022,74,TALAS,2022-09-27 00:00:00,38.9,147.8,1012
2022263N18137,2022,74,TALAS,2022-09-27 06:00:00,39.1,148.1,1010
2022263N18137,2022,74,TALAS,2022-09-27 12:00:00,39.5,148.1,1012
2022268N20147,2022,80,KULAP,2022-09-25 00:00:00,19.9,147.1,1006
2022268N20147,2022,80,KULAP,2022-09-25 06:00:00,20.6,145.8,1004
2022268N20147,2022,80,KULAP,2022-09-25 12:00:00,21.0,145.0,1004
2022268N20147,2022,80,KULAP,2022-09-25 18:00:00,22.0,144.5,1002
2022268N20147,2022,80,KULAP,2022-09-26 00:00:00,23.0,143.6,998
2022268N20147,2022,80,KULAP,2022-09-26 06:00:00,24.2,143.1,996
2022268N20147,2022,80,KULAP,2022-09-26 12:00:00,25.9,142.4,994
2022268N20147,2022,80,KULAP,2022-09-26 18:00:00,26.9,142.0,990
2022268N20147,2022,80,KULAP,2022-09-27 00:00:00,27.9,141.6,990
2022268N20147,2022,80,KULAP,2022-09-27 06:00:00,28.9,141.8,990
2022268N20147,2022,80,KULAP,2022-09-27 12:00:00,29.8,142.5,990
