SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024314N14132,2024,83,TORAJI,2024-11-11 00:00:00,16.4,122.3,970.0
2024314N14132,2024,83,TORAJI,2024-11-11 06:00:00,16.9,121.0,982.0
2024314N14132,2024,83,TORAJI,2024-11-11 12:00:00,18.0,120.0,988.0
2024314N14132,2024,83,TORAJI,2024-11-11 18:00:00,18.3,119.1,985.0
2024314N14132,2024,83,TORAJI,2024-11-12 00:00:00,18.7,118.7,987.0
2024314N14132,2024,83,TORAJI,2024-11-12 06:00:00,19.2,118.0,991.0
2024314N14132,2024,83,TORAJI,2024-11-12 12:00:00,19.8,117.5,991.0
2024314N14132,2024,83,TORAJI,2024-11-12 18:00:00,20.0,117.1,997.0
2024314N14132,2024,83,TORAJI,2024-11-13 00:00:00,20.2,116.2,995.0
2024314N14132,2024,83,TORAJI,2024-11-13 06:00:00,20.6,115.3,995.0
2024314N14132,2024,83,TORAJI,2024-11-13 12:00:00,21.8,115.1,995.0
2024316N12139,2024,85,USAGI,2024-11-11 00:00:00,12.4,139.2,999.0
2024316N12139,2024,85,USAGI,2024-11-11 06:00:00,12.3,138.0,997.0
2024316N12139,2024,85,USAGI,2024-11-11 12:00:00,12.5,136.5,995.0
2024316N12139,2024,85,USAGI,2024-11-11 18:00:00,12.8,135.0,991.0
2024316N12139,2024,85,USAGI,2024-11-12 00:00:00,13.8,133.8,990.0
2024316N12139,2024,85,USAGI,2024-11-12 06:00:00,14.0,131.7,988.0
2024316N12139,2024,85,USAGI,2024-11-12 12:00:00,14.5,130.4,988.0
2024316N12139,2024,85,USAGI,2024-11-12 18:00:00,14.7,128.9,987.0
2024316N12139,2024,85,USAGI,2024-11-13 00:00:00,15.1,127.7,985.0
2024316N12139,2024,85,USAGI,2024-11-13 06:00:00,15.6,126.5,981.0
2024316N12139,2024,85,USAGI,2024-11-13 12:00:00,16.2,125.3,949.0
