SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024308N10138,2024,82,YINXING,2024-11-09 12:00:00,19.1,113.6,954.0
2024308N10138,2024,82,YINXING,2024-11-09 18:00:00,19.2,113.3,960.0
2024308N10138,2024,82,YINXING,2024-11-10 00:00:00,19.0,113.2,962.0
2024308N10138,2024,82,YINXING,2024-11-10 06:00:00,18.8,113.0,970.0
2024308N10138,2024,82,YINXING,2024-11-10 12:00:00,18.7,112.8,981.0
2024308N10138,2024,82,YINXING,2024-11-10 18:00:00,18.2,112.0,988.0
2024308N10138,2024,82,YINXING,2024-11-11 00:00:00,17.3,111.2,993.0
2024308N10138,2024,82,YINXING,2024-11-11 06:00:00,16.3,110.6,998.0
2024308N10138,2024,82,YINXING,2024-11-11 12:00:00,15.7,110.2,998.0
2024314N14132,2024,83,TORAJI,2024-11-09 12:00:00,14.7,130.3,992.0
2024314N14132,2024,83,TORAJI,2024-11-09 18:00:00,15.0,128.4,990.0
2024314N14132,2024,83,TORAJI,2024-11-10 00:00:00,15.1,126.9,980.0
2024314N14132,2024,83,TORAJI,2024-11-10 06:00:00,15.2,125.2,986.0
2024314N14132,2024,83,TORAJI,2024-11-10 12:00:00,15.6,124.4,979.0
2024314N14132,2024,83,TORAJI,2024-11-10 18:00:00,15.9,123.3,970.0
2024314N14132,2024,83,TORAJI,2024-11-11 00:00:00,16.4,122.3,970.0
2024314N14132,2024,83,TORAJI,2024-11-11 06:00:00,16.9,121.0,982.0
2024314N14132,2024,83,TORAJI,2024-11-11 12:00:00,18.0,120.0,988.0
