SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2023279N08157,2023,69,BOLAVEN,2023-10-09 00:00:00,10.7,150.3,992.0
2023279N08157,2023,69,BOLAVEN,2023-10-09 06:00:00,11.2,149.3,993.0
2023279N08157,2023,69,BOLAVEN,2023-10-09 12:00:00,11.9,148.5,990.0
2023279N08157,2023,69,BOLAVEN,2023-10-09 18:00:00,12.9,147.6,988.0
2023279N08157,2023,69,BOLAVEN,2023-10-10 00:00:00,13.7,146.5,990.0
2023279N08157,2023,69,BOLAVEN,2023-10-10 06:00:00,14.3,145.6,982.0
2023279N08157,2023,69,BOLAVEN,2023-10-10 12:00:00,15.1,145.0,975.0
2023279N08157,2023,69,BOLAVEN,2023-10-10 18:00:00,16.0,144.5,959.0
2023279N08157,2023,69,BOLAVEN,2023-10-11 00:00:00,17.1,144.0,926.0
2023279N08157,2023,69,BOLAVEN,2023-10-11 06:00:00,18.2,143.4,916.0
2023279N08157,2023,69,BOLAVEN,2023-10-11 12:00:00,18.9,143.0,904.0
2023279N08157,2023,69,BOLAVEN,2023-10-11 18:00:00,19.7,142.8,897.0
2023279N08157,2023,69,BOLAVEN,2023-10-12 00:00:00,20.6,143.0,900.0
2023279N08157,2023,69,BOLAVEN,2023-10-12 06:00:00,21.8,143.4,904.0
2023279N08157,2023,69,BOLAVEN,2023-10-12 12:00:00,22.7,144.3,909.0
2023279N08157,2023,69,BOLAVEN,2023-10-12 18:00:00,24.0,145.4,909.0
2023279N08157,2023,69,BOLAVEN,2023-10-13 00:00:00,25.5,146.9,926.0
2023279N08157,2023,69,BOLAVEN,2023-10-13 06:00:00,27.2,148.7,946.0
2023279N08157,2023,69,BOLAVEN,2023-10-13 12:00:00,29.4,150.8,949.0
2023279N08157,2023,69,BOLAVEN,2023-10-13 18:00:00,31.4,153.3,950.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 00:00:00,34.2,156.5,964.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 06:00:00,37.1,160.3,968.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 12:00:00,40.3,164.6,971.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 18:00:00,42.9,168.2,968.0
