SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2012331N03157,2012,87,BOPHA,2012-11-29 00:00:00,4.1,150.0,982.0
2012331N03157,2012,87,BOPHA,2012-11-29 06:00:00,3.9,149.2,982.0
2012331N03157,2012,87,BOPHA,2012-11-29 12:00:00,3.5,148.2,985.0
2012331N03157,2012,87,BOPHA,2012-11-29 18:00:00,3.5,147.1,985.0
2012331N03157,2012,87,BOPHA,2012-11-30 00:00:00,3.6,146.3,982.0
2012331N03157,2012,87,BOPHA,2012-11-30 06:00:00,3.8,145.3,974.0
2012331N03157,2012,87,BOPHA,2012-11-30 12:00:00,4.1,144.2,967.0
2012331N03157,2012,87,BOPHA,2012-11-30 18:00:00,4.4,143.0,956.0
2012331N03157,2012,87,BOPHA,2012-12-01 00:00:00,4.7,142.0,937.0
2012331N03157,2012,87,BOPHA,2012-12-01 06:00:00,5.1,141.1,937.0
2012331N03157,2012,87,BOPHA,2012-12-01 12:00:00,5.4,140.0,933.0
2012331N03157,2012,87,BOPHA,2012-12-01 18:00:00,5.8,138.8,929.0
2012331N03157,2012,87,BOPHA,2012-12-02 00:00:00,6.1,137.6,926.0
2012331N03157,2012,87,BOPHA,2012-12-02 06:00:00,6.4,136.0,922.0
2012331N03157,2012,87,BOPHA,2012-12-02 12:00:00,6.5,134.6,922.0
2012331N03157,2012,87,BOPHA,2012-12-02 18:00:00,6.6,133.3,929.0
2012331N03157,2012,87,BOPHA,2012-12-03 00:00:00,6.8,131.8,937.0
2012331N03157,2012,87,BOPHA,2012-12-03 06:00:00,7.0,130.4,929.0
2012331N03157,2012,87,BOPHA,2012-12-03 12:00:00,7.4,128.8,918.0
2012331N03157,2012,87,BOPHA,2012-12-03 18:00:00,7.6,127.2,911.0
2012331N03157,2012,87,BOPHA,2012-12-04 00:00:00,7.8,125.9,937.0
2012331N03157,2012,87,BOPHA,2012-12-04 06:00:00,8.7,124.1,948.0
2012331N03157,2012,87,BOPHA,2012-12-04 12:00:00,9.3,122.5,959.0
2012331N03157,2012,87,BOPHA,2012-12-04 18:00:00,9.8,120.8,963.0
2012331N03157,2012,87,BOPHA,2012-12-05 00:00:00,10.0,119.7,963.0
2012331N03157,2012,87,BOPHA,2012-12-05 06:00:00,10.7,118.8,967.0
2012331N03157,2012,87,BOPHA,2012-12-05 12:00:00,11.2,118.1,970.0
2012331N03157,2012,87,BOPHA,2012-12-05 18:00:00,11.5,117.5,974.0
2012331N03157,2012,87,BOPHA,2012-12-06 00:00:00,12.0,117.0,974.0
2012331N03157,2012,87,BOPHA,2012-12-06 06:00:00,12.4,116.6,974.0
2012331N03157,2012,87,BOPHA,2012-12-06 12:00:00,12.8,116.3,978.0
2012331N03157,2012,87,BOPHA,2012-12-06 18:00:00,13.2,115.9,978.0
2012331N03157,2012,87,BOPHA,2012-12-07 00:00:00,13.9,115.7,974.0
2012331N03157,2012,87,BOPHA,2012-12-07 06:00:00,14.6,115.9,963.0
2012331N03157,2012,87,BOPHA,2012-12-07 12:00:00,15.4,116.0,937.0
2012331N03157,2012,87,BOPHA,2012-12-07 18:00:00,16.2,116.3,937.0
2012331N03157,2012,87,BOPHA,2012-12-08 00:00:00,16.8,117.0,941.0
2012331N03157,2012,87,BOPHA,2012-12-08 06:00:00,17.5,118.0,948.0
2012331N03157,2012,87,BOPHA,2012-12-08 12:00:00,17.8,118.6,959.0
2012331N03157,2012,87,BOPHA,2012-12-08 18:00:00,18.1,119.0,985.0
