SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015180N09160,2015,37,CHAN-HOM,2015-07-07 18:00:00,19.1,134.4,959.0
2015180N09160,2015,37,CHAN-HOM,2015-07-08 00:00:00,19.5,133.6,959.0
2015180N09160,2015,37,CHAN-HOM,2015-07-08 06:00:00,20.4,132.7,956.0
2015180N09160,2015,37,CHAN-HOM,2015-07-08 12:00:00,21.0,131.7,956.0
2015180N09160,2015,37,CHAN-HOM,2015-07-08 18:00:00,21.7,130.6,956.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 00:00:00,22.5,129.6,956.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 06:00:00,23.3,128.6,952.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 12:00:00,24.2,127.6,944.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 18:00:00,25.1,126.6,937.0
2015180N09160,2015,37,CHAN-HOM,2015-07-10 00:00:00,25.7,125.5,933.0
2015180N09160,2015,37,CHAN-HOM,2015-07-10 06:00:00,26.6,124.7,933.0
2015180N09160,2015,37,CHAN-HOM,2015-07-10 12:00:00,27.3,124.0,944.0
2015180N09160,2015,37,CHAN-HOM,2015-07-10 18:00:00,27.8,123.3,956.0
2015180N09160,2015,37,CHAN-HOM,2015-07-11 00:00:00,28.6,122.8,963.0
2015180N09160,2015,37,CHAN-HOM,2015-07-11 06:00:00,29.5,122.4,970.0
2015180N09160,2015,37,CHAN-HOM,2015-07-11 12:00:00,30.4,122.8,974.0
2015180N09160,2015,37,CHAN-HOM,2015-07-11 18:00:00,31.5,123.1,982.0
2015180N09160,2015,37,CHAN-HOM,2015-07-12 00:00:00,33.2,123.6,989.0
2015180N09160,2015,37,CHAN-HOM,2015-07-12 06:00:00,35.0,124.2,993.0
