SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2013289N14149,2013,80,FRANCISCO,2013-10-16 12:00:00,11.5,143.6,993.0
2013289N14149,2013,80,FRANCISCO,2013-10-16 18:00:00,11.0,143.1,982.0
2013289N14149,2013,80,FRANCISCO,2013-10-17 00:00:00,11.0,142.8,974.0
2013289N14149,2013,80,FRANCISCO,2013-10-17 06:00:00,11.4,142.7,963.0
2013289N14149,2013,80,FRANCISCO,2013-10-17 12:00:00,12.0,142.9,952.0
2013289N14149,2013,80,FRANCISCO,2013-10-17 18:00:00,13.1,142.7,941.0
2013289N14149,2013,80,FRANCISCO,2013-10-18 00:00:00,13.8,142.3,937.0
2013289N14149,2013,80,FRANCISCO,2013-10-18 06:00:00,14.2,142.0,929.0
2013289N14149,2013,80,FRANCISCO,2013-10-18 12:00:00,15.2,141.8,926.0
2013289N14149,2013,80,FRANCISCO,2013-10-18 18:00:00,15.9,141.1,922.0
2013289N14149,2013,80,FRANCISCO,2013-10-19 00:00:00,16.2,140.4,922.0
2013289N14149,2013,80,FRANCISCO,2013-10-19 06:00:00,16.7,139.7,922.0
2013289N14149,2013,80,FRANCISCO,2013-10-19 12:00:00,17.1,139.1,918.0
2013289N14149,2013,80,FRANCISCO,2013-10-19 18:00:00,17.4,138.3,918.0
2013289N14149,2013,80,FRANCISCO,2013-10-20 00:00:00,17.8,137.7,922.0
2013289N14149,2013,80,FRANCISCO,2013-10-20 06:00:00,18.4,137.3,929.0
2013289N14149,2013,80,FRANCISCO,2013-10-20 12:00:00,18.7,136.9,937.0
2013289N14149,2013,80,FRANCISCO,2013-10-20 18:00:00,19.3,136.6,941.0
2013289N14149,2013,80,FRANCISCO,2013-10-21 00:00:00,19.8,136.2,948.0
2013289N14149,2013,80,FRANCISCO,2013-10-21 06:00:00,20.3,135.9,952.0
2013289N14149,2013,80,FRANCISCO,2013-10-21 12:00:00,21.0,135.6,956.0
2013289N14149,2013,80,FRANCISCO,2013-10-21 18:00:00,21.6,135.2,959.0
2013289N14149,2013,80,FRANCISCO,2013-10-22 00:00:00,22.3,134.5,963.0
2013289N14149,2013,80,FRANCISCO,2013-10-22 06:00:00,22.8,133.7,959.0
2013289N14149,2013,80,FRANCISCO,2013-10-22 12:00:00,23.2,133.0,956.0
2013289N14149,2013,80,FRANCISCO,2013-10-22 18:00:00,23.6,132.2,956.0
2013289N14149,2013,80,FRANCISCO,2013-10-23 00:00:00,24.0,131.3,963.0
2013289N14149,2013,80,FRANCISCO,2013-10-23 06:00:00,24.3,130.5,970.0
2013289N14149,2013,80,FRANCISCO,2013-10-23 12:00:00,24.6,130.1,970.0
