SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015226N12151,2015,60,GONI,2015-08-15 00:00:00,13.5,147.1,993.0
2015226N12151,2015,60,GONI,2015-08-15 06:00:00,13.9,146.4,989.0
2015226N12151,2015,60,GONI,2015-08-15 12:00:00,14.3,145.8,985.0
2015226N12151,2015,60,GONI,2015-08-15 18:00:00,14.4,145.2,982.0
2015226N12151,2015,60,GONI,2015-08-16 00:00:00,14.7,144.7,978.0
2015226N12151,2015,60,GONI,2015-08-16 06:00:00,15.1,144.2,974.0
2015226N12151,2015,60,GONI,2015-08-16 12:00:00,15.5,143.6,970.0
2015226N12151,2015,60,GONI,2015-08-16 18:00:00,16.0,142.7,956.0
2015226N12151,2015,60,GONI,2015-08-17 00:00:00,16.5,141.7,933.0
2015226N12151,2015,60,GONI,2015-08-17 06:00:00,17.0,140.5,937.0
2015226N12151,2015,60,GONI,2015-08-17 12:00:00,17.4,139.2,937.0
2015226N12151,2015,60,GONI,2015-08-17 18:00:00,17.8,137.7,937.0
2015226N12151,2015,60,GONI,2015-08-18 00:00:00,18.2,136.1,944.0
2015226N12151,2015,60,GONI,2015-08-18 06:00:00,18.6,134.6,944.0
2015226N12151,2015,60,GONI,2015-08-18 12:00:00,18.7,132.9,944.0
2015226N12151,2015,60,GONI,2015-08-18 18:00:00,18.8,131.2,948.0
2015226N12151,2015,60,GONI,2015-08-19 00:00:00,18.8,129.8,948.0
2015226N12151,2015,60,GONI,2015-08-19 06:00:00,18.9,128.4,941.0
2015226N12151,2015,60,GONI,2015-08-19 12:00:00,18.9,127.3,933.0
2015226N12151,2015,60,GONI,2015-08-19 18:00:00,18.9,126.1,937.0
2015226N12151,2015,60,GONI,2015-08-20 00:00:00,18.9,125.3,937.0
2015226N12151,2015,60,GONI,2015-08-20 06:00:00,18.9,124.7,941.0
2015226N12151,2015,60,GONI,2015-08-20 12:00:00,19.0,124.0,944.0
2015226N12151,2015,60,GONI,2015-08-20 18:00:00,19.1,123.2,948.0
2015226N12151,2015,60,GONI,2015-08-21 00:00:00,19.2,122.9,952.0
2015226N12151,2015,60,GONI,2015-08-21 06:00:00,19.3,122.4,956.0
2015226N12151,2015,60,GONI,2015-08-21 12:00:00,19.4,122.4,959.0
2015226N12151,2015,60,GONI,2015-08-21 18:00:00,19.6,122.5,963.0
2015226N12151,2015,60,GONI,2015-08-22 00:00:00,20.1,122.6,963.0
2015226N12151,2015,60,GONI,2015-08-22 06:00:00,20.7,122.7,963.0
2015226N12151,2015,60,GONI,2015-08-22 12:00:00,21.4,123.1,967.0
2015226N12151,2015,60,GONI,2015-08-22 18:00:00,22.3,123.2,970.0
2015226N12151,2015,60,GONI,2015-08-23 00:00:00,23.2,123.3,963.0
2015226N12151,2015,60,GONI,2015-08-23 06:00:00,23.8,123.5,956.0
2015226N12151,2015,60,GONI,2015-08-23 12:00:00,24.5,124.0,944.0
2015226N12151,2015,60,GONI,2015-08-23 18:00:00,25.2,124.6,937.0
2015226N12151,2015,60,GONI,2015-08-24 00:00:00,26.2,125.9,937.0
2015226N12151,2015,60,GONI,2015-08-24 06:00:00,27.9,127.4,937.0
2015226N12151,2015,60,GONI,2015-08-24 12:00:00,29.6,128.8,941.0
2015226N12151,2015,60,GONI,2015-08-24 18:00:00,31.6,130.0,941.0
2015226N12151,2015,60,GONI,2015-08-25 00:00:00,33.9,130.5,959.0
2015226N12151,2015,60,GONI,2015-08-25 06:00:00,35.2,131.0,974.0
2015226N12151,2015,60,GONI,2015-08-25 12:00:00,36.5,131.8,985.0
2015226N12151,2015,60,GONI,2015-08-25 18:00:00,37.8,132.6,985.0
2015226N12151,2015,60,GONI,2015-08-26 00:00:00,39.1,133.5,989.0
