SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018082N04147,2018,16,JELAWAT,2018-03-28 12:00:00,14.4,135.3,994.0
2018082N04147,2018,16,JELAWAT,2018-03-28 18:00:00,15.1,135.3,990.0
2018082N04147,2018,16,JELAWAT,2018-03-29 00:00:00,15.3,135.4,990.0
2018082N04147,2018,16,JELAWAT,2018-03-29 06:00:00,15.3,135.7,989.0
2018082N04147,2018,16,JELAWAT,2018-03-29 12:00:00,15.3,136.2,986.0
2018082N04147,2018,16,JELAWAT,2018-03-29 18:00:00,15.4,136.8,977.0
2018082N04147,2018,16,JELAWAT,2018-03-30 00:00:00,15.7,137.3,963.0
2018082N04147,2018,16,JELAWAT,2018-03-30 06:00:00,16.2,138.1,942.0
2018082N04147,2018,16,JELAWAT,2018-03-30 12:00:00,16.8,139.0,926.0
2018082N04147,2018,16,JELAWAT,2018-03-30 18:00:00,17.5,139.8,936.0
2018082N04147,2018,16,JELAWAT,2018-03-31 00:00:00,18.1,140.8,955.0
2018082N04147,2018,16,JELAWAT,2018-03-31 06:00:00,18.6,141.5,974.0
2018082N04147,2018,16,JELAWAT,2018-03-31 12:00:00,18.9,142.4,984.0
2018082N04147,2018,16,JELAWAT,2018-03-31 18:00:00,19.0,143.5,989.0
2018082N04147,2018,16,JELAWAT,2018-04-01 00:00:00,19.3,144.9,993.0
2018082N04147,2018,16,JELAWAT,2018-04-01 06:00:00,19.7,145.9,992.0
2018082N04147,2018,16,JELAWAT,2018-04-01 12:00:00,19.9,146.8,991.0
2018082N04147,2018,16,JELAWAT,2018-04-01 18:00:00,19.9,147.8,994.0
2018082N04147,2018,16,JELAWAT,2018-04-02 00:00:00,19.9,148.6,993.0
2018082N04147,2018,16,JELAWAT,2018-04-02 06:00:00,19.8,149.3,996.0
2018082N04147,2018,16,JELAWAT,2018-04-02 12:00:00,19.7,150.1,996.0
