SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024299N14145,2024,77,KONG-REY,2024-10-27 18:00:00,16.7,130.5,991.0
2024299N14145,2024,77,KONG-REY,2024-10-28 00:00:00,16.8,129.0,986.0
2024299N14145,2024,77,KONG-REY,2024-10-28 06:00:00,16.6,128.9,984.0
2024299N14145,2024,77,KONG-REY,2024-10-28 12:00:00,16.7,128.4,980.0
2024299N14145,2024,77,KONG-REY,2024-10-28 18:00:00,17.2,127.9,979.0
2024299N14145,2024,77,KONG-REY,2024-10-29 00:00:00,17.4,127.2,971.0
2024299N14145,2024,77,KONG-REY,2024-10-29 06:00:00,17.8,126.5,958.0
2024299N14145,2024,77,KONG-REY,2024-10-29 12:00:00,18.5,126.1,945.0
2024299N14145,2024,77,KONG-REY,2024-10-29 18:00:00,18.8,125.5,931.0
2024299N14145,2024,77,KONG-REY,2024-10-30 00:00:00,19.1,124.9,927.0
2024299N14145,2024,77,KONG-REY,2024-10-30 06:00:00,19.8,124.2,932.0
2024299N14145,2024,77,KONG-REY,2024-10-30 12:00:00,20.4,123.6,934.0
2024299N14145,2024,77,KONG-REY,2024-10-30 18:00:00,21.0,122.8,934.0
2024299N14145,2024,77,KONG-REY,2024-10-31 00:00:00,22.0,122.2,938.0
2024299N14145,2024,77,KONG-REY,2024-10-31 06:00:00,23.1,121.3,947.0
2024299N14145,2024,77,KONG-REY,2024-10-31 12:00:00,24.0,120.2,954.0
2024299N14145,2024,77,KONG-REY,2024-10-31 18:00:00,25.2,120.1,980.0
2024299N14145,2024,77,KONG-REY,2024-11-01 00:00:00,26.7,120.6,983.0
2024299N14145,2024,77,KONG-REY,2024-11-01 06:00:00,28.3,121.4,990.0
2024299N14145,2024,77,KONG-REY,2024-11-01 12:00:00,30.5,123.2,990.0
2024299N14145,2024,77,KONG-REY,2024-11-01 18:00:00,32.2,126.1,998.0
