SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024271N20126,2024,66,KRATHON,2024-09-28 06:00:00,18.5,125.6,997.0
2024271N20126,2024,66,KRATHON,2024-09-28 12:00:00,18.5,125.5,996.0
2024271N20126,2024,66,KRATHON,2024-09-28 18:00:00,18.7,124.9,993.0
2024271N20126,2024,66,KRATHON,2024-09-29 00:00:00,18.7,124.3,986.0
2024271N20126,2024,66,KRATHON,2024-09-29 06:00:00,19.2,123.9,973.0
2024271N20126,2024,66,KRATHON,2024-09-29 12:00:00,19.7,123.1,961.0
2024271N20126,2024,66,KRATHON,2024-09-29 18:00:00,20.0,122.3,950.0
2024271N20126,2024,66,KRATHON,2024-09-30 00:00:00,20.1,122.0,940.0
2024271N20126,2024,66,KRATHON,2024-09-30 06:00:00,20.5,121.2,935.0
2024271N20126,2024,66,KRATHON,2024-09-30 12:00:00,20.5,120.5,932.0
2024271N20126,2024,66,KRATHON,2024-09-30 18:00:00,20.6,120.0,927.0
2024271N20126,2024,66,KRATHON,2024-10-01 00:00:00,20.6,119.6,927.0
2024271N20126,2024,66,KRATHON,2024-10-01 06:00:00,20.9,119.4,931.0
2024271N20126,2024,66,KRATHON,2024-10-01 12:00:00,21.3,119.3,943.0
2024271N20126,2024,66,KRATHON,2024-10-01 18:00:00,21.5,119.2,950.0
2024271N20126,2024,66,KRATHON,2024-10-02 00:00:00,21.5,119.3,956.0
2024271N20126,2024,66,KRATHON,2024-10-02 06:00:00,21.9,119.4,957.0
2024271N20126,2024,66,KRATHON,2024-10-02 12:00:00,22.0,119.5,957.0
2024271N20126,2024,66,KRATHON,2024-10-02 18:00:00,22.2,119.7,960.0
2024271N20126,2024,66,KRATHON,2024-10-03 00:00:00,22.4,120.0,965.0
2024271N20126,2024,66,KRATHON,2024-10-03 06:00:00,22.6,120.4,975.0
2024271N20126,2024,66,KRATHON,2024-10-03 12:00:00,22.7,120.7,999.0
