SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2017288N09138,2017,87,LAN,2017-10-18 12:00:00,14.0,131.5,977.0
2017288N09138,2017,87,LAN,2017-10-18 18:00:00,14.7,130.9,970.0
2017288N09138,2017,87,LAN,2017-10-19 00:00:00,15.4,130.3,967.0
2017288N09138,2017,87,LAN,2017-10-19 06:00:00,16.2,130.1,956.0
2017288N09138,2017,87,LAN,2017-10-19 12:00:00,17.0,130.0,959.0
2017288N09138,2017,87,LAN,2017-10-19 18:00:00,17.9,129.9,963.0
2017288N09138,2017,87,LAN,2017-10-20 00:00:00,18.8,130.0,959.0
2017288N09138,2017,87,LAN,2017-10-20 06:00:00,19.7,130.0,952.0
2017288N09138,2017,87,LAN,2017-10-20 12:00:00,20.1,130.2,937.0
2017288N09138,2017,87,LAN,2017-10-20 18:00:00,20.7,130.7,926.0
2017288N09138,2017,87,LAN,2017-10-21 00:00:00,21.3,131.2,926.0
2017288N09138,2017,87,LAN,2017-10-21 06:00:00,22.4,132.0,926.0
2017288N09138,2017,87,LAN,2017-10-21 12:00:00,23.8,132.5,922.0
2017288N09138,2017,87,LAN,2017-10-21 18:00:00,25.5,133.2,926.0
2017288N09138,2017,87,LAN,2017-10-22 00:00:00,27.8,133.8,930.0
2017288N09138,2017,87,LAN,2017-10-22 06:00:00,29.8,134.6,941.0
2017288N09138,2017,87,LAN,2017-10-22 12:00:00,32.1,136.3,956.0
2017288N09138,2017,87,LAN,2017-10-22 18:00:00,34.7,138.2,970.0
2017288N09138,2017,87,LAN,2017-10-23 00:00:00,37.3,141.5,982.0
