SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2011192N18158,2011,35,MA-ON,2011-07-14 06:00:00,20.1,146.2,956.0
2011192N18158,2011,35,MA-ON,2011-07-14 12:00:00,20.2,145.0,952.0
2011192N18158,2011,35,MA-ON,2011-07-14 18:00:00,20.3,143.7,948.0
2011192N18158,2011,35,MA-ON,2011-07-15 00:00:00,20.4,142.5,941.0
2011192N18158,2011,35,MA-ON,2011-07-15 06:00:00,20.6,141.4,941.0
2011192N18158,2011,35,MA-ON,2011-07-15 12:00:00,20.6,140.5,944.0
2011192N18158,2011,35,MA-ON,2011-07-15 18:00:00,20.8,139.6,944.0
2011192N18158,2011,35,MA-ON,2011-07-16 00:00:00,21.1,138.8,944.0
2011192N18158,2011,35,MA-ON,2011-07-16 06:00:00,21.2,137.9,937.0
2011192N18158,2011,35,MA-ON,2011-07-16 12:00:00,21.9,137.1,937.0
2011192N18158,2011,35,MA-ON,2011-07-16 18:00:00,22.7,136.3,941.0
2011192N18158,2011,35,MA-ON,2011-07-17 00:00:00,23.5,135.6,941.0
2011192N18158,2011,35,MA-ON,2011-07-17 06:00:00,24.5,134.6,944.0
2011192N18158,2011,35,MA-ON,2011-07-17 12:00:00,25.2,133.9,948.0
2011192N18158,2011,35,MA-ON,2011-07-17 18:00:00,26.0,133.5,956.0
2011192N18158,2011,35,MA-ON,2011-07-18 00:00:00,27.1,133.3,956.0
2011192N18158,2011,35,MA-ON,2011-07-18 06:00:00,28.4,133.2,959.0
2011192N18158,2011,35,MA-ON,2011-07-18 12:00:00,29.7,132.9,967.0
2011192N18158,2011,35,MA-ON,2011-07-18 18:00:00,30.8,132.8,967.0
2011192N18158,2011,35,MA-ON,2011-07-19 00:00:00,31.8,132.8,970.0
2011192N18158,2011,35,MA-ON,2011-07-19 06:00:00,32.7,133.2,970.0
2011192N18158,2011,35,MA-ON,2011-07-19 12:00:00,33.3,134.2,970.0
