SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2016256N12146,2016,65,MALAKAS,2016-09-14 12:00:00,16.2,131.2,970.0
2016256N12146,2016,65,MALAKAS,2016-09-14 18:00:00,16.6,130.0,967.0
2016256N12146,2016,65,MALAKAS,2016-09-15 00:00:00,16.9,128.8,970.0
2016256N12146,2016,65,MALAKAS,2016-09-15 06:00:00,17.6,127.8,967.0
2016256N12146,2016,65,MALAKAS,2016-09-15 12:00:00,18.4,126.7,956.0
2016256N12146,2016,65,MALAKAS,2016-09-15 18:00:00,19.3,125.6,966.0
2016256N12146,2016,65,MALAKAS,2016-09-16 00:00:00,20.1,124.7,952.0
2016256N12146,2016,65,MALAKAS,2016-09-16 06:00:00,21.1,123.9,944.0
2016256N12146,2016,65,MALAKAS,2016-09-16 12:00:00,22.1,123.4,937.0
2016256N12146,2016,65,MALAKAS,2016-09-16 18:00:00,22.9,123.1,937.0
2016256N12146,2016,65,MALAKAS,2016-09-17 00:00:00,24.1,123.0,941.0
2016256N12146,2016,65,MALAKAS,2016-09-17 06:00:00,25.2,122.8,948.0
2016256N12146,2016,65,MALAKAS,2016-09-17 12:00:00,25.8,122.7,963.0
2016256N12146,2016,65,MALAKAS,2016-09-17 18:00:00,26.2,122.8,967.0
2016256N12146,2016,65,MALAKAS,2016-09-18 00:00:00,26.8,123.4,967.0
2016256N12146,2016,65,MALAKAS,2016-09-18 06:00:00,27.5,124.2,959.0
2016256N12146,2016,65,MALAKAS,2016-09-18 12:00:00,28.0,125.1,961.0
2016256N12146,2016,65,MALAKAS,2016-09-18 18:00:00,28.6,126.1,948.0
2016256N12146,2016,65,MALAKAS,2016-09-19 00:00:00,29.4,127.1,941.0
2016256N12146,2016,65,MALAKAS,2016-09-19 06:00:00,30.2,128.3,941.0
2016256N12146,2016,65,MALAKAS,2016-09-19 12:00:00,30.8,129.7,950.0
2016256N12146,2016,65,MALAKAS,2016-09-19 18:00:00,31.6,131.5,963.0
