SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2020239N13134,2020,64,MAYSAK,2020-08-29 12:00:00,16.8,129.0,986.0
2020239N13134,2020,64,MAYSAK,2020-08-29 18:00:00,17.0,128.9,978.0
2020239N13134,2020,64,MAYSAK,2020-08-30 00:00:00,17.3,129.0,977.0
2020239N13134,2020,64,MAYSAK,2020-08-30 06:00:00,18.4,129.0,971.0
2020239N13134,2020,64,MAYSAK,2020-08-30 12:00:00,19.5,128.9,964.0
2020239N13134,2020,64,MAYSAK,2020-08-30 18:00:00,20.8,128.8,958.0
2020239N13134,2020,64,MAYSAK,2020-08-31 00:00:00,22.4,128.5,953.0
2020239N13134,2020,64,MAYSAK,2020-08-31 06:00:00,24.2,127.6,944.0
2020239N13134,2020,64,MAYSAK,2020-08-31 12:00:00,25.0,127.1,939.0
2020239N13134,2020,64,MAYSAK,2020-08-31 18:00:00,26.1,126.5,933.0
2020239N13134,2020,64,MAYSAK,2020-09-01 00:00:00,26.9,126.0,930.0
2020239N13134,2020,64,MAYSAK,2020-09-01 06:00:00,27.6,126.1,930.0
2020239N13134,2020,64,MAYSAK,2020-09-01 12:00:00,28.4,126.3,935.0
2020239N13134,2020,64,MAYSAK,2020-09-01 18:00:00,29.4,126.6,939.0
2020239N13134,2020,64,MAYSAK,2020-09-02 00:00:00,30.5,126.7,948.0
2020239N13134,2020,64,MAYSAK,2020-09-02 06:00:00,31.7,127.1,955.0
2020239N13134,2020,64,MAYSAK,2020-09-02 12:00:00,33.2,127.9,960.0
2020239N13134,2020,64,MAYSAK,2020-09-02 18:00:00,35.5,128.9,963.0
2020239N13134,2020,64,MAYSAK,2020-09-03 00:00:00,38.9,129.5,974.0
2020239N13134,2020,64,MAYSAK,2020-09-03 06:00:00,42.4,129.1,977.0
2020239N13134,2020,64,MAYSAK,2020-09-03 12:00:00,45.4,127.1,979.0
