SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2008147N10141,2008,26,NAKRI,2008-05-27 12:00:00,14.4,137.5,996.0
2008147N10141,2008,26,NAKRI,2008-05-27 18:00:00,14.6,137.3,989.0
2008147N10141,2008,26,NAKRI,2008-05-28 00:00:00,15.1,137.1,982.0
2008147N10141,2008,26,NAKRI,2008-05-28 06:00:00,15.6,136.9,982.0
2008147N10141,2008,26,NAKRI,2008-05-28 12:00:00,15.8,136.8,974.0
2008147N10141,2008,26,NAKRI,2008-05-28 18:00:00,16.0,136.6,963.0
2008147N10141,2008,26,NAKRI,2008-05-29 00:00:00,16.1,136.3,948.0
2008147N10141,2008,26,NAKRI,2008-05-29 06:00:00,16.2,135.8,929.0
2008147N10141,2008,26,NAKRI,2008-05-29 12:00:00,16.2,135.5,929.0
2008147N10141,2008,26,NAKRI,2008-05-29 18:00:00,16.4,135.1,929.0
2008147N10141,2008,26,NAKRI,2008-05-30 00:00:00,16.6,134.7,929.0
2008147N10141,2008,26,NAKRI,2008-05-30 06:00:00,17.0,134.1,937.0
2008147N10141,2008,26,NAKRI,2008-05-30 12:00:00,17.3,133.5,944.0
2008147N10141,2008,26,NAKRI,2008-05-30 18:00:00,17.9,133.0,952.0
2008147N10141,2008,26,NAKRI,2008-05-31 00:00:00,18.4,132.9,952.0
2008147N10141,2008,26,NAKRI,2008-05-31 06:00:00,19.2,132.9,952.0
2008147N10141,2008,26,NAKRI,2008-05-31 12:00:00,19.7,132.8,959.0
2008147N10141,2008,26,NAKRI,2008-05-31 18:00:00,20.2,132.8,963.0
2008147N10141,2008,26,NAKRI,2008-06-01 00:00:00,20.7,132.9,970.0
2008147N10141,2008,26,NAKRI,2008-06-01 06:00:00,21.6,133.1,970.0
2008147N10141,2008,26,NAKRI,2008-06-01 12:00:00,22.4,133.3,967.0
2008147N10141,2008,26,NAKRI,2008-06-01 18:00:00,23.6,133.6,959.0
2008147N10141,2008,26,NAKRI,2008-06-02 00:00:00,25.1,134.4,956.0
2008147N10141,2008,26,NAKRI,2008-06-02 06:00:00,26.9,135.5,959.0
