SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2014184N08147,2014,38,NEOGURI,2014-07-03 18:00:00,11.3,143.4,993.0
2014184N08147,2014,38,NEOGURI,2014-07-04 00:00:00,12.1,142.4,989.0
2014184N08147,2014,38,NEOGURI,2014-07-04 06:00:00,13.0,141.4,982.0
2014184N08147,2014,38,NEOGURI,2014-07-04 12:00:00,13.9,140.5,978.0
2014184N08147,2014,38,NEOGURI,2014-07-04 18:00:00,14.5,139.1,974.0
2014184N08147,2014,38,NEOGURI,2014-07-05 00:00:00,15.2,138.2,956.0
2014184N08147,2014,38,NEOGURI,2014-07-05 06:00:00,16.0,137.0,937.0
2014184N08147,2014,38,NEOGURI,2014-07-05 12:00:00,16.7,135.9,937.0
2014184N08147,2014,38,NEOGURI,2014-07-05 18:00:00,17.4,134.5,933.0
2014184N08147,2014,38,NEOGURI,2014-07-06 00:00:00,18.0,133.0,933.0
2014184N08147,2014,38,NEOGURI,2014-07-06 06:00:00,18.4,131.5,933.0
2014184N08147,2014,38,NEOGURI,2014-07-06 12:00:00,18.9,130.3,929.0
2014184N08147,2014,38,NEOGURI,2014-07-06 18:00:00,19.7,129.1,922.0
2014184N08147,2014,38,NEOGURI,2014-07-07 00:00:00,20.4,128.3,918.0
2014184N08147,2014,38,NEOGURI,2014-07-07 06:00:00,21.6,127.3,922.0
2014184N08147,2014,38,NEOGURI,2014-07-07 12:00:00,22.4,126.8,933.0
2014184N08147,2014,38,NEOGURI,2014-07-07 18:00:00,23.7,126.2,941.0
2014184N08147,2014,38,NEOGURI,2014-07-08 00:00:00,25.0,126.1,941.0
2014184N08147,2014,38,NEOGURI,2014-07-08 06:00:00,26.6,125.7,941.0
2014184N08147,2014,38,NEOGURI,2014-07-08 12:00:00,27.7,125.7,944.0
2014184N08147,2014,38,NEOGURI,2014-07-08 18:00:00,29.0,125.8,956.0
2014184N08147,2014,38,NEOGURI,2014-07-09 00:00:00,30.4,126.2,967.0
2014184N08147,2014,38,NEOGURI,2014-07-09 06:00:00,31.5,126.7,970.0
2014184N08147,2014,38,NEOGURI,2014-07-09 12:00:00,31.8,127.7,978.0
2014184N08147,2014,38,NEOGURI,2014-07-09 18:00:00,32.1,129.2,982.0
2014184N08147,2014,38,NEOGURI,2014-07-10 00:00:00,32.3,131.3,993.0
2014184N08147,2014,38,NEOGURI,2014-07-10 06:00:00,33.0,134.0,996.0
2014184N08147,2014,38,NEOGURI,2014-07-10 12:00:00,33.8,136.7,996.0
