SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2011266N13139,2011,72,NESAT,2011-09-24 18:00:00,14.7,132.1,982.0
2011266N13139,2011,72,NESAT,2011-09-25 00:00:00,14.6,130.7,978.0
2011266N13139,2011,72,NESAT,2011-09-25 06:00:00,14.6,129.3,974.0
2011266N13139,2011,72,NESAT,2011-09-25 12:00:00,14.7,128.2,974.0
2011266N13139,2011,72,NESAT,2011-09-25 18:00:00,15.0,127.0,967.0
2011266N13139,2011,72,NESAT,2011-09-26 00:00:00,15.2,126.1,963.0
2011266N13139,2011,72,NESAT,2011-09-26 06:00:00,15.5,125.0,959.0
2011266N13139,2011,72,NESAT,2011-09-26 12:00:00,15.9,124.1,956.0
2011266N13139,2011,72,NESAT,2011-09-26 18:00:00,16.2,123.0,937.0
2011266N13139,2011,72,NESAT,2011-09-27 00:00:00,16.4,121.6,956.0
2011266N13139,2011,72,NESAT,2011-09-27 06:00:00,16.6,120.2,956.0
2011266N13139,2011,72,NESAT,2011-09-27 12:00:00,16.8,119.1,963.0
2011266N13139,2011,72,NESAT,2011-09-27 18:00:00,17.3,118.0,967.0
2011266N13139,2011,72,NESAT,2011-09-28 00:00:00,17.3,116.7,970.0
2011266N13139,2011,72,NESAT,2011-09-28 06:00:00,17.5,115.9,974.0
2011266N13139,2011,72,NESAT,2011-09-28 12:00:00,18.2,114.8,974.0
2011266N13139,2011,72,NESAT,2011-09-28 18:00:00,18.8,113.6,974.0
2011266N13139,2011,72,NESAT,2011-09-29 00:00:00,19.6,112.4,974.0
2011266N13139,2011,72,NESAT,2011-09-29 06:00:00,19.8,111.1,974.0
2011266N13139,2011,72,NESAT,2011-09-29 12:00:00,20.1,110.1,978.0
2011266N13139,2011,72,NESAT,2011-09-29 18:00:00,20.7,109.0,978.0
