SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2011253N20145,2011,66,ROKE,2011-09-18 12:00:00,26.2,130.4,978.0
2011253N20145,2011,66,ROKE,2011-09-18 18:00:00,26.4,130.3,978.0
2011253N20145,2011,66,ROKE,2011-09-19 00:00:00,26.7,130.4,974.0
2011253N20145,2011,66,ROKE,2011-09-19 06:00:00,27.7,130.5,970.0
2011253N20145,2011,66,ROKE,2011-09-19 12:00:00,28.2,130.2,956.0
2011253N20145,2011,66,ROKE,2011-09-19 18:00:00,28.2,130.7,948.0
2011253N20145,2011,66,ROKE,2011-09-20 00:00:00,28.9,131.6,941.0
2011253N20145,2011,66,ROKE,2011-09-20 06:00:00,29.4,132.3,941.0
2011253N20145,2011,66,ROKE,2011-09-20 12:00:00,30.3,133.6,937.0
2011253N20145,2011,66,ROKE,2011-09-20 18:00:00,31.7,134.7,937.0
2011253N20145,2011,66,ROKE,2011-09-21 00:00:00,33.0,136.0,948.0
2011253N20145,2011,66,ROKE,2011-09-21 06:00:00,34.9,137.8,967.0
2011253N20145,2011,66,ROKE,2011-09-21 12:00:00,37.2,140.6,978.0
2011253N20145,2011,66,ROKE,2011-09-21 18:00:00,40.6,143.6,985.0
