SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2012254N09135,2012,59,SANBA,2012-09-11 06:00:00,10.8,133.9,996.0
2012254N09135,2012,59,SANBA,2012-09-11 12:00:00,11.5,133.3,989.0
2012254N09135,2012,59,SANBA,2012-09-11 18:00:00,12.0,132.5,989.0
2012254N09135,2012,59,SANBA,2012-09-12 00:00:00,12.6,131.7,982.0
2012254N09135,2012,59,SANBA,2012-09-12 06:00:00,13.1,131.1,978.0
2012254N09135,2012,59,SANBA,2012-09-12 12:00:00,13.7,130.6,970.0
2012254N09135,2012,59,SANBA,2012-09-12 18:00:00,14.1,130.1,963.0
2012254N09135,2012,59,SANBA,2012-09-13 00:00:00,14.8,129.8,952.0
2012254N09135,2012,59,SANBA,2012-09-13 06:00:00,15.6,129.5,937.0
2012254N09135,2012,59,SANBA,2012-09-13 12:00:00,16.3,129.6,918.0
2012254N09135,2012,59,SANBA,2012-09-13 18:00:00,17.2,129.7,907.0
2012254N09135,2012,59,SANBA,2012-09-14 00:00:00,18.1,129.7,907.0
2012254N09135,2012,59,SANBA,2012-09-14 06:00:00,19.1,129.8,911.0
2012254N09135,2012,59,SANBA,2012-09-14 12:00:00,20.2,129.8,922.0
2012254N09135,2012,59,SANBA,2012-09-14 18:00:00,21.4,129.5,929.0
2012254N09135,2012,59,SANBA,2012-09-15 00:00:00,22.3,129.1,941.0
2012254N09135,2012,59,SANBA,2012-09-15 06:00:00,23.4,128.8,941.0
2012254N09135,2012,59,SANBA,2012-09-15 12:00:00,24.5,128.5,941.0
2012254N09135,2012,59,SANBA,2012-09-15 18:00:00,25.6,128.2,944.0
2012254N09135,2012,59,SANBA,2012-09-16 00:00:00,27.0,128.1,948.0
2012254N09135,2012,59,SANBA,2012-09-16 06:00:00,28.8,128.1,948.0
2012254N09135,2012,59,SANBA,2012-09-16 12:00:00,30.6,127.9,948.0
2012254N09135,2012,59,SANBA,2012-09-16 18:00:00,32.3,127.9,952.0
2012254N09135,2012,59,SANBA,2012-09-17 00:00:00,34.1,128.1,959.0
2012254N09135,2012,59,SANBA,2012-09-17 06:00:00,36.3,128.5,989.0
2012254N09135,2012,59,SANBA,2012-09-17 12:00:00,38.6,129.4,989.0
2012254N09135,2012,59,SANBA,2012-09-17 18:00:00,40.9,130.6,996.0
