SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2023234N18128,2023,45,SAOLA,2023-08-24 18:00:00,20.1,124.2,990.0
2023234N18128,2023,45,SAOLA,2023-08-25 00:00:00,19.9,124.0,982.0
2023234N18128,2023,45,SAOLA,2023-08-25 06:00:00,19.8,123.8,981.0
2023234N18128,2023,45,SAOLA,2023-08-25 12:00:00,19.5,123.6,964.0
2023234N18128,2023,45,SAOLA,2023-08-25 18:00:00,19.1,123.4,960.0
2023234N18128,2023,45,SAOLA,2023-08-26 00:00:00,18.5,123.2,959.0
2023234N18128,2023,45,SAOLA,2023-08-26 06:00:00,18.0,123.2,952.0
2023234N18128,2023,45,SAOLA,2023-08-26 12:00:00,17.5,123.1,947.0
2023234N18128,2023,45,SAOLA,2023-08-26 18:00:00,17.2,123.0,938.0
2023234N18128,2023,45,SAOLA,2023-08-27 00:00:00,16.8,122.9,942.0
2023234N18128,2023,45,SAOLA,2023-08-27 06:00:00,16.5,123.0,943.0
2023234N18128,2023,45,SAOLA,2023-08-27 12:00:00,16.2,123.2,940.0
2023234N18128,2023,45,SAOLA,2023-08-27 18:00:00,16.0,123.8,954.0
2023234N18128,2023,45,SAOLA,2023-08-28 00:00:00,16.8,124.4,963.0
2023234N18128,2023,45,SAOLA,2023-08-28 06:00:00,17.5,124.2,950.0
2023234N18128,2023,45,SAOLA,2023-08-28 12:00:00,17.9,124.1,946.0
2023234N18128,2023,45,SAOLA,2023-08-28 18:00:00,18.3,123.8,954.0
2023234N18128,2023,45,SAOLA,2023-08-29 00:00:00,18.5,123.5,955.0
2023234N18128,2023,45,SAOLA,2023-08-29 06:00:00,18.9,123.1,935.0
2023234N18128,2023,45,SAOLA,2023-08-29 12:00:00,19.3,122.7,922.0
2023234N18128,2023,45,SAOLA,2023-08-29 18:00:00,19.9,121.9,917.0
2023234N18128,2023,45,SAOLA,2023-08-30 00:00:00,20.1,121.0,923.0
2023234N18128,2023,45,SAOLA,2023-08-30 06:00:00,20.4,120.3,927.0
2023234N18128,2023,45,SAOLA,2023-08-30 12:00:00,20.7,119.6,922.0
2023234N18128,2023,45,SAOLA,2023-08-30 18:00:00,20.9,118.7,926.0
2023234N18128,2023,45,SAOLA,2023-08-31 00:00:00,21.0,118.2,922.0
2023234N18128,2023,45,SAOLA,2023-08-31 06:00:00,21.2,117.8,926.0
2023234N18128,2023,45,SAOLA,2023-08-31 12:00:00,21.5,117.3,935.0
2023234N18128,2023,45,SAOLA,2023-08-31 18:00:00,21.6,116.8,944.0
2023234N18128,2023,45,SAOLA,2023-09-01 00:00:00,21.9,116.2,939.0
2023234N18128,2023,45,SAOLA,2023-09-01 06:00:00,22.0,115.4,939.0
2023234N18128,2023,45,SAOLA,2023-09-01 12:00:00,22.0,114.4,943.0
2023234N18128,2023,45,SAOLA,2023-09-01 18:00:00,22.0,113.5,959.0
2023234N18128,2023,45,SAOLA,2023-09-02 00:00:00,21.7,112.8,970.0
2023234N18128,2023,45,SAOLA,2023-09-02 06:00:00,21.7,111.9,979.0
2023234N18128,2023,45,SAOLA,2023-09-02 12:00:00,21.7,111.0,988.0
2023234N18128,2023,45,SAOLA,2023-09-02 18:00:00,21.5,110.2,997.0
2023234N18128,2023,45,SAOLA,2023-09-03 00:00:00,21.2,109.6,996.0
2023234N18128,2023,45,SAOLA,2023-09-03 06:00:00,21.1,109.4,999.0
