SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2007223N19136,2007,44,SEPAT,2007-08-13 00:00:00,16.8,134.5,985.0
2007223N19136,2007,44,SEPAT,2007-08-13 06:00:00,16.6,133.8,982.0
2007223N19136,2007,44,SEPAT,2007-08-13 12:00:00,16.5,133.1,978.0
2007223N19136,2007,44,SEPAT,2007-08-13 18:00:00,16.5,132.4,970.0
2007223N19136,2007,44,SEPAT,2007-08-14 00:00:00,16.4,131.6,963.0
2007223N19136,2007,44,SEPAT,2007-08-14 06:00:00,16.2,130.7,956.0
2007223N19136,2007,44,SEPAT,2007-08-14 12:00:00,15.8,130.0,948.0
2007223N19136,2007,44,SEPAT,2007-08-14 18:00:00,15.7,129.2,941.0
2007223N19136,2007,44,SEPAT,2007-08-15 00:00:00,15.6,128.6,926.0
2007223N19136,2007,44,SEPAT,2007-08-15 06:00:00,15.8,128.1,926.0
2007223N19136,2007,44,SEPAT,2007-08-15 12:00:00,16.0,127.7,922.0
2007223N19136,2007,44,SEPAT,2007-08-15 18:00:00,16.7,127.2,918.0
2007223N19136,2007,44,SEPAT,2007-08-16 00:00:00,17.2,126.6,918.0
2007223N19136,2007,44,SEPAT,2007-08-16 06:00:00,17.9,126.1,918.0
2007223N19136,2007,44,SEPAT,2007-08-16 12:00:00,18.7,125.6,918.0
2007223N19136,2007,44,SEPAT,2007-08-16 18:00:00,19.4,124.8,918.0
2007223N19136,2007,44,SEPAT,2007-08-17 00:00:00,20.4,124.2,922.0
2007223N19136,2007,44,SEPAT,2007-08-17 06:00:00,21.0,123.4,933.0
2007223N19136,2007,44,SEPAT,2007-08-17 12:00:00,21.8,122.9,937.0
2007223N19136,2007,44,SEPAT,2007-08-17 18:00:00,22.7,122.0,944.0
2007223N19136,2007,44,SEPAT,2007-08-18 00:00:00,23.6,121.0,948.0
2007223N19136,2007,44,SEPAT,2007-08-18 06:00:00,24.0,119.9,959.0
2007223N19136,2007,44,SEPAT,2007-08-18 12:00:00,24.4,119.5,967.0
2007223N19136,2007,44,SEPAT,2007-08-18 18:00:00,24.8,119.0,974.0
2007223N19136,2007,44,SEPAT,2007-08-19 00:00:00,25.2,118.5,982.0
2007223N19136,2007,44,SEPAT,2007-08-19 06:00:00,25.6,118.2,989.0
2007223N19136,2007,44,SEPAT,2007-08-19 12:00:00,26.1,117.8,996.0
