SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021102N06144,2021,26,SURIGAE,2021-04-15 00:00:00,8.8,136.4,992.0
2021102N06144,2021,26,SURIGAE,2021-04-15 06:00:00,8.7,136.1,987.0
2021102N06144,2021,26,SURIGAE,2021-04-15 12:00:00,8.7,135.7,986.0
2021102N06144,2021,26,SURIGAE,2021-04-15 18:00:00,8.7,135.3,980.0
2021102N06144,2021,26,SURIGAE,2021-04-16 00:00:00,8.9,134.6,978.0
2021102N06144,2021,26,SURIGAE,2021-04-16 06:00:00,9.1,133.7,972.0
2021102N06144,2021,26,SURIGAE,2021-04-16 12:00:00,9.4,133.1,962.0
2021102N06144,2021,26,SURIGAE,2021-04-16 18:00:00,10.0,132.1,947.0
2021102N06144,2021,26,SURIGAE,2021-04-17 00:00:00,10.7,131.1,935.0
2021102N06144,2021,26,SURIGAE,2021-04-17 06:00:00,11.4,130.1,895.0
2021102N06144,2021,26,SURIGAE,2021-04-17 12:00:00,12.0,129.2,882.0
2021102N06144,2021,26,SURIGAE,2021-04-17 18:00:00,12.6,128.4,888.0
2021102N06144,2021,26,SURIGAE,2021-04-18 00:00:00,13.1,127.7,902.0
2021102N06144,2021,26,SURIGAE,2021-04-18 06:00:00,13.4,127.1,924.0
2021102N06144,2021,26,SURIGAE,2021-04-18 12:00:00,13.6,126.8,932.0
2021102N06144,2021,26,SURIGAE,2021-04-18 18:00:00,13.9,126.5,932.0
2021102N06144,2021,26,SURIGAE,2021-04-19 00:00:00,14.2,126.3,931.0
2021102N06144,2021,26,SURIGAE,2021-04-19 06:00:00,14.5,126.3,930.0
2021102N06144,2021,26,SURIGAE,2021-04-19 12:00:00,14.8,126.3,935.0
2021102N06144,2021,26,SURIGAE,2021-04-19 18:00:00,15.1,126.3,940.0
2021102N06144,2021,26,SURIGAE,2021-04-20 00:00:00,15.5,126.1,939.0
2021102N06144,2021,26,SURIGAE,2021-04-20 06:00:00,15.8,125.9,929.0
2021102N06144,2021,26,SURIGAE,2021-04-20 12:00:00,16.4,125.8,935.0
2021102N06144,2021,26,SURIGAE,2021-04-20 18:00:00,16.9,125.5,940.0
2021102N06144,2021,26,SURIGAE,2021-04-21 00:00:00,17.5,125.2,941.0
2021102N06144,2021,26,SURIGAE,2021-04-21 06:00:00,18.1,124.9,940.0
2021102N06144,2021,26,SURIGAE,2021-04-21 12:00:00,18.8,124.8,942.0
2021102N06144,2021,26,SURIGAE,2021-04-21 18:00:00,19.3,124.8,948.0
2021102N06144,2021,26,SURIGAE,2021-04-22 00:00:00,19.7,124.9,954.0
2021102N06144,2021,26,SURIGAE,2021-04-22 06:00:00,20.3,125.4,953.0
2021102N06144,2021,26,SURIGAE,2021-04-22 12:00:00,21.0,126.2,958.0
2021102N06144,2021,26,SURIGAE,2021-04-22 18:00:00,21.6,127.1,962.0
2021102N06144,2021,26,SURIGAE,2021-04-23 00:00:00,22.5,128.1,972.0
2021102N06144,2021,26,SURIGAE,2021-04-23 06:00:00,23.0,129.0,975.0
2021102N06144,2021,26,SURIGAE,2021-04-23 12:00:00,23.3,129.9,983.0
2021102N06144,2021,26,SURIGAE,2021-04-23 18:00:00,23.3,130.5,985.0
2021102N06144,2021,26,SURIGAE,2021-04-24 00:00:00,23.0,131.2,990.0
2021102N06144,2021,26,SURIGAE,2021-04-24 06:00:00,22.7,131.8,988.0
